
Velocity Angle Y
 ==================== 
Velocity Angle Y,Unit,Category,Collection,Time,TrackID,ID,
111.339,°,Spot,Velocity Angle,8,1000188973,188973,
126.154,°,Spot,Velocity Angle,9,1000188973,188974,
78.0731,°,Spot,Velocity Angle,10,1000188973,188975,
56.9406,°,Spot,Velocity Angle,11,1000188973,188976,
62.6564,°,Spot,Velocity Angle,12,1000188973,188977,
90.3189,°,Spot,Velocity Angle,13,1000188973,188978,
104.232,°,Spot,Velocity Angle,14,1000188973,188979,
132.083,°,Spot,Velocity Angle,15,1000188973,188980,
30.8653,°,Spot,Velocity Angle,46,1000188985,188985,
35.9828,°,Spot,Velocity Angle,47,1000188985,188986,
35.776,°,Spot,Velocity Angle,48,1000188985,188987,
77.9618,°,Spot,Velocity Angle,49,1000188985,188988,
129.903,°,Spot,Velocity Angle,50,1000188985,188989,
136.17,°,Spot,Velocity Angle,51,1000188985,188990,
60.4674,°,Spot,Velocity Angle,52,1000188985,188991,
91.4568,°,Spot,Velocity Angle,76,1000188994,188994,
155.52,°,Spot,Velocity Angle,77,1000188994,188995,
94.5301,°,Spot,Velocity Angle,78,1000188994,188996,
77.6765,°,Spot,Velocity Angle,79,1000188994,188997,
129.237,°,Spot,Velocity Angle,158,1000189006,189006,
108.195,°,Spot,Velocity Angle,159,1000189006,189007,
41.3235,°,Spot,Velocity Angle,160,1000189006,189008,
81.9378,°,Spot,Velocity Angle,195,1000189009,189009,
57.5567,°,Spot,Velocity Angle,196,1000189009,189010,
36.7181,°,Spot,Velocity Angle,197,1000189009,189011,
57.1926,°,Spot,Velocity Angle,198,1000189009,189012,
91.5311,°,Spot,Velocity Angle,248,1000189013,189013,
51.9774,°,Spot,Velocity Angle,249,1000189013,189014,
34.015,°,Spot,Velocity Angle,250,1000189013,189015,
102.7,°,Spot,Velocity Angle,251,1000189013,189016,
114.769,°,Spot,Velocity Angle,252,1000189013,189017,
75.4539,°,Spot,Velocity Angle,270,1000189020,189020,
103.001,°,Spot,Velocity Angle,271,1000189020,189021,
151.2,°,Spot,Velocity Angle,272,1000189020,189022,
155.977,°,Spot,Velocity Angle,63,1000189023,189023,
121.883,°,Spot,Velocity Angle,64,1000189023,189024,
100.339,°,Spot,Velocity Angle,65,1000189023,189025,
102.467,°,Spot,Velocity Angle,177,1000189026,189026,
47.4167,°,Spot,Velocity Angle,178,1000189026,189027,
61.029,°,Spot,Velocity Angle,179,1000189026,189028,
62.5375,°,Spot,Velocity Angle,180,1000189026,189029,
53.0239,°,Spot,Velocity Angle,327,1000189030,189030,
45.7007,°,Spot,Velocity Angle,328,1000189030,189031,
31.4879,°,Spot,Velocity Angle,329,1000189030,189032,
77.3402,°,Spot,Velocity Angle,330,1000189030,189033,
75.0909,°,Spot,Velocity Angle,347,1000189035,189035,
21.1445,°,Spot,Velocity Angle,348,1000189035,189036,
64.3475,°,Spot,Velocity Angle,349,1000189035,189037,
94.6958,°,Spot,Velocity Angle,346,1000189035,189038,
