
Velocity Angle Z
 ==================== 
Velocity Angle Z,Unit,Category,Collection,Time,TrackID,ID,
145.529,°,Spot,Velocity Angle,8,1000188973,188973,
106.924,°,Spot,Velocity Angle,9,1000188973,188974,
11.9295,°,Spot,Velocity Angle,10,1000188973,188975,
33.0621,°,Spot,Velocity Angle,11,1000188973,188976,
27.3463,°,Spot,Velocity Angle,12,1000188973,188977,
152.483,°,Spot,Velocity Angle,13,1000188973,188978,
160.947,°,Spot,Velocity Angle,14,1000188973,188979,
90.0027,°,Spot,Velocity Angle,15,1000188973,188980,
77.9245,°,Spot,Velocity Angle,46,1000188985,188985,
107.355,°,Spot,Velocity Angle,47,1000188985,188986,
106.844,°,Spot,Velocity Angle,48,1000188985,188987,
140.508,°,Spot,Velocity Angle,49,1000188985,188988,
139.94,°,Spot,Velocity Angle,50,1000188985,188989,
127.433,°,Spot,Velocity Angle,51,1000188985,188990,
58.4279,°,Spot,Velocity Angle,52,1000188985,188991,
10.1104,°,Spot,Velocity Angle,76,1000188994,188994,
90.0027,°,Spot,Velocity Angle,77,1000188994,188995,
172.281,°,Spot,Velocity Angle,78,1000188994,188996,
16.0441,°,Spot,Velocity Angle,79,1000188994,188997,
127.164,°,Spot,Velocity Angle,158,1000189006,189006,
125.432,°,Spot,Velocity Angle,159,1000189006,189007,
87.7102,°,Spot,Velocity Angle,160,1000189006,189008,
10.8851,°,Spot,Velocity Angle,195,1000189009,189009,
32.4462,°,Spot,Velocity Angle,196,1000189009,189010,
57.7918,°,Spot,Velocity Angle,197,1000189009,189011,
88.3762,°,Spot,Velocity Angle,198,1000189009,189012,
175.636,°,Spot,Velocity Angle,248,1000189013,189013,
141.683,°,Spot,Velocity Angle,249,1000189013,189014,
90.0027,°,Spot,Velocity Angle,250,1000189013,189015,
153.223,°,Spot,Velocity Angle,251,1000189013,189016,
121.481,°,Spot,Velocity Angle,252,1000189013,189017,
139.849,°,Spot,Velocity Angle,270,1000189020,189020,
127.088,°,Spot,Velocity Angle,271,1000189020,189021,
80.8819,°,Spot,Velocity Angle,272,1000189020,189022,
90.0027,°,Spot,Velocity Angle,63,1000189023,189023,
145.357,°,Spot,Velocity Angle,64,1000189023,189024,
169.268,°,Spot,Velocity Angle,65,1000189023,189025,
167.481,°,Spot,Velocity Angle,177,1000189026,189026,
102.693,°,Spot,Velocity Angle,178,1000189026,189027,
32.4825,°,Spot,Velocity Angle,179,1000189026,189028,
30.0667,°,Spot,Velocity Angle,180,1000189026,189029,
37.3245,°,Spot,Velocity Angle,327,1000189030,189030,
135.644,°,Spot,Velocity Angle,328,1000189030,189031,
61.1444,°,Spot,Velocity Angle,329,1000189030,189032,
14.6755,°,Spot,Velocity Angle,330,1000189030,189033,
27.6156,°,Spot,Velocity Angle,347,1000189035,189035,
99.1425,°,Spot,Velocity Angle,348,1000189035,189036,
148.851,°,Spot,Velocity Angle,349,1000189035,189037,
13.4535,°,Spot,Velocity Angle,346,1000189035,189038,
