
Displacement Delta Length
 ==================== 
Displacement Delta Length,Unit,Category,Time,TrackID,ID,
0,,Spot,118,1000000128,128,
0.648019,,Spot,119,1000000128,130,
0.774436,,Spot,120,1000000128,132,
0.410743,,Spot,121,1000000128,134,
0.728647,,Spot,122,1000000128,136,
0.642769,,Spot,123,1000000128,138,
1.23285,,Spot,124,1000000128,140,
0,,Spot,124,1000000202,202,
1.29762,,Spot,125,1000000128,204,
0.544981,,Spot,125,1000000202,205,
0.686403,,Spot,126,1000000128,207,
0.467345,,Spot,126,1000000202,208,
0.693765,,Spot,127,1000000128,210,
0.491345,,Spot,127,1000000202,211,
0.412135,,Spot,128,1000000202,212,
0.846614,,Spot,128,1000000128,801,
1.09613,,Spot,129,1000000128,802,
0.598393,,Spot,129,1000000202,803,
0.996336,,Spot,130,1000000128,804,
0.613477,,Spot,130,1000000202,805,
0,,Spot,130,1000000806,806,
1.0661,,Spot,131,1000000128,807,
0.810826,,Spot,131,1000000202,808,
0.636516,,Spot,131,1000000806,809,
0.585014,,Spot,132,1000000128,810,
0.409788,,Spot,132,1000000202,811,
0.19989,,Spot,132,1000000806,812,
1.20117,,Spot,133,1000000128,813,
0.365322,,Spot,133,1000000202,814,
0.718168,,Spot,133,1000000806,815,
0.398278,,Spot,134,1000000128,816,
0.1368,,Spot,134,1000000202,817,
0.440224,,Spot,134,1000000806,818,
0.111469,,Spot,135,1000000128,819,
0.365336,,Spot,135,1000000202,820,
0.157756,,Spot,135,1000000806,821,
0.350355,,Spot,136,1000000128,822,
0.569162,,Spot,136,1000000202,823,
0.354291,,Spot,136,1000000806,824,
0.22283,,Spot,137,1000000128,825,
0.288489,,Spot,137,1000000202,826,
0.520037,,Spot,137,1000000806,827,
1.13408,,Spot,138,1000000128,828,
0.515289,,Spot,138,1000000202,829,
0.373295,,Spot,138,1000000806,830,
0.602767,,Spot,139,1000000128,831,
0.82739,,Spot,139,1000000202,832,
0.49321,,Spot,139,1000000806,833,
1.12777,,Spot,140,1000000128,834,
0.474605,,Spot,140,1000000202,835,
1.08997,,Spot,140,1000000806,836,
0.329566,,Spot,141,1000000128,837,
0.501787,,Spot,141,1000000202,838,
0.803635,,Spot,141,1000000806,839,
0.750763,,Spot,142,1000000128,840,
0.167895,,Spot,142,1000000202,841,
0.673586,,Spot,142,1000000806,842,
1.1431,,Spot,143,1000000128,843,
0.567123,,Spot,143,1000000202,844,
0.752935,,Spot,143,1000000806,845,
0.218559,,Spot,144,1000000128,846,
0.365891,,Spot,144,1000000202,847,
0.77357,,Spot,144,1000000806,848,
0.109278,,Spot,145,1000000128,849,
1.31353,,Spot,145,1000000202,850,
0.889996,,Spot,145,1000000806,851,
0.550288,,Spot,146,1000000128,852,
1.67754,,Spot,146,1000000202,853,
1.13948,,Spot,146,1000000806,854,
0.837662,,Spot,147,1000000128,855,
0.602954,,Spot,147,1000000202,856,
0.67456,,Spot,147,1000000806,857,
1.08074,,Spot,148,1000000128,858,
0.137771,,Spot,148,1000000202,859,
0.969039,,Spot,148,1000000806,860,
0.311991,,Spot,149,1000000128,861,
0.643831,,Spot,149,1000000202,862,
0.854552,,Spot,149,1000000806,863,
1.12874,,Spot,150,1000000128,864,
0.277115,,Spot,150,1000000202,865,
1.30119,,Spot,150,1000000806,866,
1.06972,,Spot,151,1000000128,867,
0.346686,,Spot,151,1000000202,868,
1.51608,,Spot,151,1000000806,869,
0.153477,,Spot,152,1000000128,870,
1.01512,,Spot,152,1000000202,871,
0.510845,,Spot,152,1000000806,872,
0.578072,,Spot,153,1000000128,873,
0.601362,,Spot,153,1000000202,874,
0.67187,,Spot,153,1000000806,875,
0,,Spot,154,1000000128,876,
0.275545,,Spot,154,1000000202,877,
0.376647,,Spot,154,1000000806,878,
0.538716,,Spot,155,1000000128,879,
1.04167,,Spot,155,1000000202,880,
1.25744,,Spot,155,1000000806,881,
0.109402,,Spot,156,1000000128,882,
0.591925,,Spot,156,1000000202,883,
0.580897,,Spot,156,1000000806,884,
0.109429,,Spot,157,1000000128,885,
1.22258,,Spot,157,1000000202,886,
1.56652,,Spot,157,1000000806,887,
0.774998,,Spot,158,1000000128,888,
0.624067,,Spot,158,1000000202,889,
0.817022,,Spot,158,1000000806,890,
0.652267,,Spot,159,1000000128,891,
0.568079,,Spot,159,1000000202,892,
0.547589,,Spot,159,1000000806,893,
0.542354,,Spot,160,1000000128,894,
0.617159,,Spot,160,1000000202,895,
0.651211,,Spot,160,1000000806,896,
0.244354,,Spot,161,1000000128,897,
0.526443,,Spot,161,1000000202,898,
0.937877,,Spot,161,1000000806,899,
0.247295,,Spot,162,1000000128,900,
0.385288,,Spot,162,1000000202,901,
0.12501,,Spot,162,1000000806,902,
0.62286,,Spot,163,1000000128,903,
0.165056,,Spot,163,1000000202,904,
0.422011,,Spot,163,1000000806,905,
0.547977,,Spot,164,1000000128,906,
0.800171,,Spot,164,1000000202,907,
0.800277,,Spot,164,1000000806,908,
1.07417,,Spot,165,1000000128,909,
0.57186,,Spot,165,1000000202,910,
0.418321,,Spot,165,1000000806,911,
0.910768,,Spot,166,1000000128,912,
0.311007,,Spot,166,1000000202,913,
0.512665,,Spot,166,1000000806,914,
0.468525,,Spot,167,1000000128,915,
0.540301,,Spot,167,1000000202,916,
0.281546,,Spot,167,1000000806,917,
0.786017,,Spot,168,1000000128,918,
0.49561,,Spot,168,1000000202,919,
1.08558,,Spot,168,1000000806,920,
0.109853,,Spot,169,1000000128,921,
0.792916,,Spot,169,1000000202,922,
0.363049,,Spot,169,1000000806,923,
0.393949,,Spot,170,1000000128,924,
0.333439,,Spot,170,1000000202,925,
0.273694,,Spot,170,1000000806,926,
0.247079,,Spot,171,1000000128,927,
0.399764,,Spot,171,1000000202,928,
0.426832,,Spot,171,1000000806,929,
0.94185,,Spot,172,1000000128,930,
1.06902,,Spot,172,1000000202,931,
0.501653,,Spot,172,1000000806,932,
0.574238,,Spot,173,1000000128,933,
0.979236,,Spot,173,1000000202,934,
0.181127,,Spot,173,1000000806,935,
0.533592,,Spot,174,1000000128,936,
0.639272,,Spot,174,1000000202,937,
0.163147,,Spot,174,1000000806,938,
0.890549,,Spot,175,1000000128,939,
0.355965,,Spot,175,1000000202,940,
0.125283,,Spot,175,1000000806,941,
0.456273,,Spot,176,1000000128,942,
0.791901,,Spot,176,1000000202,943,
0.74778,,Spot,176,1000000806,944,
1.13182,,Spot,177,1000000128,945,
0.456876,,Spot,177,1000000202,946,
1.04234,,Spot,177,1000000806,947,
2.14106,,Spot,178,1000000128,948,
1.218,,Spot,178,1000000202,949,
0.777946,,Spot,178,1000000806,950,
0.892309,,Spot,179,1000000128,951,
0.666033,,Spot,179,1000000202,952,
0.999186,,Spot,179,1000000806,953,
1.78874,,Spot,180,1000000128,954,
1.19264,,Spot,180,1000000202,955,
0.435922,,Spot,180,1000000806,956,
3.72884,,Spot,181,1000000128,957,
3.40573,,Spot,181,1000000806,958,
5.70303,,Spot,181,1000000202,959,
0.608452,,Spot,182,1000000128,960,
1.81765,,Spot,182,1000000202,961,
2.58657,,Spot,182,1000000806,962,
0.69713,,Spot,183,1000000128,963,
0.897141,,Spot,183,1000000202,964,
3.23082,,Spot,183,1000000806,965,
1.72619,,Spot,184,1000000128,966,
3.84774,,Spot,184,1000000806,967,
3.01869,,Spot,184,1000000202,968,
6.25849,,Spot,185,1000000128,969,
2.16851,,Spot,185,1000000202,970,
2.16516,,Spot,185,1000000806,971,
2.26169,,Spot,186,1000000128,972,
1.7828,,Spot,186,1000000806,973,
1.6481,,Spot,186,1000000202,974,
2.82663,,Spot,187,1000000128,975,
1.60105,,Spot,187,1000000806,976,
2.73839,,Spot,187,1000000202,977,
4.41097,,Spot,188,1000000128,978,
1.37516,,Spot,188,1000000806,979,
2.87376,,Spot,188,1000000202,980,
1.66965,,Spot,189,1000000128,981,
0.638407,,Spot,189,1000000806,982,
1.59835,,Spot,189,1000000202,983,
0.775085,,Spot,190,1000000128,984,
1.35197,,Spot,190,1000000806,985,
0.343398,,Spot,190,1000000202,986,
2.65552,,Spot,191,1000000128,987,
2.25042,,Spot,191,1000000806,988,
2.30443,,Spot,191,1000000202,989,
2.13662,,Spot,192,1000000128,990,
1.91972,,Spot,192,1000000806,991,
4.77843,,Spot,192,1000000202,992,
5.32158,,Spot,193,1000000806,993,
3.97328,,Spot,193,1000000202,994,
2.28699,,Spot,194,1000000806,995,
1.6286,,Spot,194,1000000202,996,
1.20513,,Spot,195,1000000806,997,
2.19656,,Spot,195,1000000202,998,
1.80952,,Spot,196,1000000806,999,
1.45836,,Spot,197,1000000806,1000,
0.268542,,Spot,198,1000000806,1001,
0.675018,,Spot,199,1000000806,1002,
0,,Spot,206,1000001003,1003,
0.612032,,Spot,207,1000001003,1004,
0.366458,,Spot,208,1000001003,1005,
0.39102,,Spot,209,1000001003,1006,
0.282528,,Spot,210,1000001003,1007,
0.494455,,Spot,211,1000001003,1008,
0.39302,,Spot,212,1000001003,1009,
1.56164,,Spot,213,1000001003,1010,
0,,Spot,213,1000001011,1011,
0.397596,,Spot,214,1000001003,1012,
0.768636,,Spot,214,1000001011,1013,
2.80866,,Spot,215,1000001003,1014,
0.958379,,Spot,215,1000001011,1015,
1.83772,,Spot,216,1000001003,1016,
1.4475,,Spot,216,1000001011,1017,
1.1148,,Spot,217,1000001003,1018,
1.29008,,Spot,217,1000001011,1019,
1.09412,,Spot,218,1000001003,1020,
1.62293,,Spot,218,1000001011,1021,
1.04884,,Spot,219,1000001003,1022,
1.43841,,Spot,219,1000001011,1023,
0.658272,,Spot,220,1000001003,1024,
1.28503,,Spot,220,1000001011,1025,
1.24625,,Spot,221,1000001003,1026,
2.33643,,Spot,221,1000001011,1027,
0.445676,,Spot,222,1000001003,1028,
1.68871,,Spot,222,1000001011,1029,
0,,Spot,222,1000001030,1030,
1.35462,,Spot,223,1000001003,1031,
2.12122,,Spot,223,1000001011,1032,
2.74528,,Spot,223,1000001030,1033,
1.61606,,Spot,224,1000001003,1034,
2.30085,,Spot,224,1000001011,1035,
1.84691,,Spot,224,1000001030,1036,
2.01304,,Spot,225,1000001011,1037,
1.27112,,Spot,225,1000001030,1038,
1.10521,,Spot,226,1000001011,1039,
2.14637,,Spot,226,1000001030,1040,
0.575741,,Spot,227,1000001011,1041,
0.946171,,Spot,227,1000001030,1042,
0.815232,,Spot,228,1000001011,1043,
0.827132,,Spot,228,1000001030,1044,
2.67169,,Spot,229,1000001011,1045,
1.92666,,Spot,229,1000001030,1046,
1.34759,,Spot,230,1000001011,1047,
1.02734,,Spot,230,1000001030,1048,
1.27823,,Spot,231,1000001011,1049,
