
Distance to Image Border XY Img=1
 ==================== 
Distance to Image Border XY,Unit,Category,Image,Time,TrackID,ID,
19.2067,µm,Spot,Image 1,118,1000000128,128,
19.5753,µm,Spot,Image 1,119,1000000128,130,
19.8492,µm,Spot,Image 1,120,1000000128,132,
20.204,µm,Spot,Image 1,121,1000000128,134,
20.6287,µm,Spot,Image 1,122,1000000128,136,
21.0567,µm,Spot,Image 1,123,1000000128,138,
21.7938,µm,Spot,Image 1,124,1000000128,140,
18.3905,µm,Spot,Image 1,124,1000000202,202,
21.9274,µm,Spot,Image 1,125,1000000128,204,
18.8775,µm,Spot,Image 1,125,1000000202,205,
21.9406,µm,Spot,Image 1,126,1000000128,207,
19.2428,µm,Spot,Image 1,126,1000000202,208,
22.1989,µm,Spot,Image 1,127,1000000128,210,
19.5455,µm,Spot,Image 1,127,1000000202,211,
19.632,µm,Spot,Image 1,128,1000000202,212,
21.6057,µm,Spot,Image 1,128,1000000128,801,
22.4178,µm,Spot,Image 1,129,1000000128,802,
19.8516,µm,Spot,Image 1,129,1000000202,803,
22.159,µm,Spot,Image 1,130,1000000128,804,
19.6081,µm,Spot,Image 1,130,1000000202,805,
18.5122,µm,Spot,Image 1,130,1000000806,806,
21.8519,µm,Spot,Image 1,131,1000000128,807,
19.121,µm,Spot,Image 1,131,1000000202,808,
18.51,µm,Spot,Image 1,131,1000000806,809,
21.8958,µm,Spot,Image 1,132,1000000128,810,
18.7558,µm,Spot,Image 1,132,1000000202,811,
18.5805,µm,Spot,Image 1,132,1000000806,812,
21.911,µm,Spot,Image 1,133,1000000128,813,
19.121,µm,Spot,Image 1,133,1000000202,814,
18.2687,µm,Spot,Image 1,133,1000000806,815,
22.2582,µm,Spot,Image 1,134,1000000128,816,
19.2428,µm,Spot,Image 1,134,1000000202,817,
18.1469,µm,Spot,Image 1,134,1000000806,818,
22.1967,µm,Spot,Image 1,135,1000000128,819,
19.6081,µm,Spot,Image 1,135,1000000202,820,
18.1469,µm,Spot,Image 1,135,1000000806,821,
21.911,µm,Spot,Image 1,136,1000000128,822,
19.8516,µm,Spot,Image 1,136,1000000202,823,
18.3905,µm,Spot,Image 1,136,1000000806,824,
21.925,µm,Spot,Image 1,137,1000000128,825,
19.7299,µm,Spot,Image 1,137,1000000202,826,
18.1469,µm,Spot,Image 1,137,1000000806,827,
21.9881,µm,Spot,Image 1,138,1000000128,828,
19.6081,µm,Spot,Image 1,138,1000000202,829,
18.2687,µm,Spot,Image 1,138,1000000806,830,
22.1777,µm,Spot,Image 1,139,1000000128,831,
19.9734,µm,Spot,Image 1,139,1000000202,832,
18.1469,µm,Spot,Image 1,139,1000000806,833,
22.4256,µm,Spot,Image 1,140,1000000128,834,
19.8516,µm,Spot,Image 1,140,1000000202,835,
18.5659,µm,Spot,Image 1,140,1000000806,836,
22.3987,µm,Spot,Image 1,141,1000000128,837,
19.4863,µm,Spot,Image 1,141,1000000202,838,
18.1459,µm,Spot,Image 1,141,1000000806,839,
22.6625,µm,Spot,Image 1,142,1000000128,840,
19.6081,µm,Spot,Image 1,142,1000000202,841,
18.3333,µm,Spot,Image 1,142,1000000806,842,
22.4879,µm,Spot,Image 1,143,1000000128,843,
19.8516,µm,Spot,Image 1,143,1000000202,844,
18.3905,µm,Spot,Image 1,143,1000000806,845,
22.5057,µm,Spot,Image 1,144,1000000128,846,
19.4863,µm,Spot,Image 1,144,1000000202,847,
18.6011,µm,Spot,Image 1,144,1000000806,848,
22.3967,µm,Spot,Image 1,145,1000000128,849,
18.8775,µm,Spot,Image 1,145,1000000202,850,
18.1188,µm,Spot,Image 1,145,1000000806,851,
22.5352,µm,Spot,Image 1,146,1000000128,852,
19.2428,µm,Spot,Image 1,146,1000000202,853,
18.5622,µm,Spot,Image 1,146,1000000806,854,
22.5107,µm,Spot,Image 1,147,1000000128,855,
18.9993,µm,Spot,Image 1,147,1000000202,856,
19.1858,µm,Spot,Image 1,147,1000000806,857,
22.6795,µm,Spot,Image 1,148,1000000128,858,
19.121,µm,Spot,Image 1,148,1000000202,859,
18.7251,µm,Spot,Image 1,148,1000000806,860,
22.4433,µm,Spot,Image 1,149,1000000128,861,
18.9993,µm,Spot,Image 1,149,1000000202,862,
19.0629,µm,Spot,Image 1,149,1000000806,863,
22.7404,µm,Spot,Image 1,150,1000000128,864,
19.2428,µm,Spot,Image 1,150,1000000202,865,
19.121,µm,Spot,Image 1,150,1000000806,866,
22.6884,µm,Spot,Image 1,151,1000000128,867,
