
Overall
 ==================== 
Variable,Value,Unit,Time,ID,
Number of Spots per Time Point,1,,118,,
Number of Spots per Time Point,1,,119,,
Number of Spots per Time Point,1,,120,,
Number of Spots per Time Point,1,,121,,
Number of Spots per Time Point,1,,122,,
Number of Spots per Time Point,1,,123,,
Number of Spots per Time Point,2,,124,,
Number of Spots per Time Point,2,,125,,
Number of Spots per Time Point,2,,126,,
Number of Spots per Time Point,2,,127,,
Number of Spots per Time Point,2,,128,,
Number of Spots per Time Point,2,,129,,
Number of Spots per Time Point,3,,130,,
Number of Spots per Time Point,3,,131,,
Number of Spots per Time Point,3,,132,,
Number of Spots per Time Point,3,,133,,
Number of Spots per Time Point,3,,134,,
Number of Spots per Time Point,3,,135,,
Number of Spots per Time Point,3,,136,,
Number of Spots per Time Point,3,,137,,
Number of Spots per Time Point,3,,138,,
Number of Spots per Time Point,3,,139,,
Number of Spots per Time Point,3,,140,,
Number of Spots per Time Point,3,,141,,
Number of Spots per Time Point,3,,142,,
Number of Spots per Time Point,3,,143,,
Number of Spots per Time Point,3,,144,,
Number of Spots per Time Point,3,,145,,
Number of Spots per Time Point,3,,146,,
Number of Spots per Time Point,3,,147,,
Number of Spots per Time Point,3,,148,,
Number of Spots per Time Point,3,,149,,
Number of Spots per Time Point,3,,150,,
Number of Spots per Time Point,3,,151,,
Number of Spots per Time Point,3,,152,,
Number of Spots per Time Point,3,,153,,
Number of Spots per Time Point,3,,154,,
Number of Spots per Time Point,3,,155,,
Number of Spots per Time Point,3,,156,,
Number of Spots per Time Point,3,,157,,
Number of Spots per Time Point,3,,158,,
Number of Spots per Time Point,3,,159,,
Number of Spots per Time Point,3,,160,,
Number of Spots per Time Point,3,,161,,
Number of Spots per Time Point,3,,162,,
Number of Spots per Time Point,3,,163,,
Number of Spots per Time Point,3,,164,,
Number of Spots per Time Point,3,,165,,
Number of Spots per Time Point,3,,166,,
Number of Spots per Time Point,3,,167,,
Number of Spots per Time Point,3,,168,,
Number of Spots per Time Point,3,,169,,
Number of Spots per Time Point,3,,170,,
Number of Spots per Time Point,3,,171,,
Number of Spots per Time Point,3,,172,,
Number of Spots per Time Point,3,,173,,
Number of Spots per Time Point,3,,174,,
Number of Spots per Time Point,3,,175,,
Number of Spots per Time Point,3,,176,,
Number of Spots per Time Point,3,,177,,
Number of Spots per Time Point,3,,178,,
Number of Spots per Time Point,3,,179,,
Number of Spots per Time Point,3,,180,,
Number of Spots per Time Point,3,,181,,
Number of Spots per Time Point,3,,182,,
Number of Spots per Time Point,3,,183,,
Number of Spots per Time Point,3,,184,,
Number of Spots per Time Point,3,,185,,
Number of Spots per Time Point,3,,186,,
Number of Spots per Time Point,3,,187,,
Number of Spots per Time Point,3,,188,,
Number of Spots per Time Point,3,,189,,
Number of Spots per Time Point,3,,190,,
Number of Spots per Time Point,3,,191,,
Number of Spots per Time Point,3,,192,,
Number of Spots per Time Point,2,,193,,
Number of Spots per Time Point,2,,194,,
Number of Spots per Time Point,2,,195,,
Number of Spots per Time Point,1,,196,,
Number of Spots per Time Point,1,,197,,
Number of Spots per Time Point,1,,198,,
Number of Spots per Time Point,1,,199,,
Number of Spots per Time Point,1,,206,,
Number of Spots per Time Point,1,,207,,
Number of Spots per Time Point,1,,208,,
Number of Spots per Time Point,1,,209,,
Number of Spots per Time Point,1,,210,,
Number of Spots per Time Point,1,,211,,
Number of Spots per Time Point,1,,212,,
Number of Spots per Time Point,2,,213,,
Number of Spots per Time Point,2,,214,,
Number of Spots per Time Point,2,,215,,
Number of Spots per Time Point,2,,216,,
Number of Spots per Time Point,2,,217,,
Number of Spots per Time Point,2,,218,,
Number of Spots per Time Point,2,,219,,
Number of Spots per Time Point,2,,220,,
