
Position
 ==================== 
Position X,Position Y,Position Z,Unit,Category,Collection,Time,TrackID,ID,
50.9063,51.4806,11.4487,µm,Spot,Position,118,1000000128,128,
50.8835,51.1121,11.9812,µm,Spot,Position,119,1000000128,130,
50.3924,50.8381,12.5137,µm,Spot,Position,120,1000000128,132,
50.1855,50.4833,12.5137,µm,Spot,Position,121,1000000128,134,
50.0586,50.0024,13.0462,µm,Spot,Position,122,1000000128,136,
49.6306,49.5228,13.0462,µm,Spot,Position,123,1000000128,138,
48.7139,48.8935,13.5787,µm,Spot,Position,124,1000000128,140,
52.2969,51.4745,15.4467,µm,Spot,Position,124,1000000202,202,
47.9847,48.7599,12.5137,µm,Spot,Position,125,1000000128,204,
51.8098,51.3564,15.6609,µm,Spot,Position,125,1000000202,205,
47.5518,48.7467,11.9812,µm,Spot,Position,126,1000000128,207,
51.4445,51.1763,15.4317,µm,Spot,Position,126,1000000202,208,
47.1898,48.4884,12.5137,µm,Spot,Position,127,1000000128,210,
50.9575,51.1418,15.4867,µm,Spot,Position,127,1000000202,211,
50.5922,51.0553,15.6568,µm,Spot,Position,128,1000000202,212,
47.5481,49.0817,13,µm,Spot,Position,128,1000000128,801,
47.0932,48.2695,13.5787,µm,Spot,Position,129,1000000128,802,
50.8357,50.6107,15.9747,µm,Spot,Position,129,1000000202,803,
47.8946,48.5283,14.1112,µm,Spot,Position,130,1000000128,804,
51.0792,50.2306,15.5592,µm,Spot,Position,130,1000000202,805,
51.9004,52.1751,11.8778,µm,Spot,Position,130,1000000806,806,
48.8354,48.0268,14.1112,µm,Spot,Position,131,1000000128,807,
51.5663,50.5379,16.13,µm,Spot,Position,131,1000000202,808,
52.1773,51.9316,12.3966,µm,Spot,Position,131,1000000806,809,
48.7915,48.2651,13.5787,µm,Spot,Position,132,1000000128,810,
51.9316,50.624,15.9654,µm,Spot,Position,132,1000000202,811,
52.1068,51.9316,12.2095,µm,Spot,Position,132,1000000806,812,
48.5743,48.7764,14.6437,µm,Spot,Position,133,1000000128,813,
51.5663,50.6194,15.9671,µm,Spot,Position,133,1000000202,814,
52.147,52.4186,11.6833,µm,Spot,Position,133,1000000806,815,
48.3793,48.4291,14.6437,µm,Spot,Position,134,1000000128,816,
51.4445,50.5907,16.0225,µm,Spot,Position,134,1000000202,817,
52.1471,52.5404,11.2602,µm,Spot,Position,134,1000000806,818,
48.4906,48.4362,14.6437,µm,Spot,Position,135,1000000128,819,
51.0792,50.5864,16.0266,µm,Spot,Position,135,1000000202,820,
52.2984,52.5404,11.305,µm,Spot,Position,135,1000000806,821,
48.5743,48.7764,14.6437,µm,Spot,Position,136,1000000128,822,
50.8357,50.626,16.5395,µm,Spot,Position,136,1000000202,823,
52.2034,52.2969,11.5442,µm,Spot,Position,136,1000000806,824,
48.3519,48.7623,14.6437,µm,Spot,Position,137,1000000128,825,
50.9575,50.3967,16.4137,µm,Spot,Position,137,1000000202,826,
51.7538,52.5404,11.6392,µm,Spot,Position,137,1000000806,827,
47.9673,48.6993,15.7087,µm,Spot,Position,138,1000000128,828,
51.0792,50.4403,16.9125,µm,Spot,Position,138,1000000202,829,
52.0768,52.4186,11.4969,µm,Spot,Position,138,1000000806,830,
48.1767,48.5097,15.1762,µm,Spot,Position,139,1000000128,831,
50.7139,50.1201,17.5822,µm,Spot,Position,139,1000000202,832,
51.6383,52.5404,11.6872,µm,Spot,Position,139,1000000806,833,
48.2617,48.1486,16.2412,µm,Spot,Position,140,1000000128,834,
50.8357,50.0494,17.129,µm,Spot,Position,140,1000000202,835,
52.1214,52.0533,12.5342,µm,Spot,Position,140,1000000806,836,
48.2886,47.8201,16.2412,µm,Spot,Position,141,1000000128,837,
51.201,49.7151,17.2101,µm,Spot,Position,141,1000000202,838,
52.5414,51.4445,12.2198,µm,Spot,Position,141,1000000806,839,
47.8006,48.0248,15.7087,µm,Spot,Position,142,1000000128,840,
51.0792,49.7673,17.107,µm,Spot,Position,142,1000000202,841,
52.354,52.0533,12.4388,µm,Spot,Position,142,1000000806,842,
48.1994,47.9091,16.7738,µm,Spot,Position,143,1000000128,843,
50.8357,49.812,17.6172,µm,Spot,Position,143,1000000202,844,
52.2737,52.2969,11.7309,µm,Spot,Position,143,1000000806,845,
48.1816,48.1269,16.7738,µm,Spot,Position,144,1000000128,846,
51.201,49.813,17.5963,µm,Spot,Position,144,1000000202,847,
52.0863,52.0533,12.4408,µm,Spot,Position,144,1000000806,848,
48.2906,48.1339,16.7738,µm,Spot,Position,145,1000000128,849,
51.8098,49.4964,16.4762,µm,Spot,Position,145,1000000202,850,
52.5686,51.688,11.7881,µm,Spot,Position,145,1000000806,851,
48.1521,48.1415,16.2412,µm,Spot,Position,146,1000000128,852,
51.4445,49.5504,18.1126,µm,Spot,Position,146,1000000202,853,
52.1251,51.5663,12.8306,µm,Spot,Position,146,1000000806,854,
48.1767,47.4954,15.7087,µm,Spot,Position,147,1000000128,855,
51.688,49.1704,17.7129,µm,Spot,Position,147,1000000202,856,
51.5015,51.3228,12.7481,µm,Spot,Position,147,1000000806,857,
48.0079,47.568,16.7738,µm,Spot,Position,148,1000000128,858,
51.5663,49.1437,17.7716,µm,Spot,Position,148,1000000202,859,
51.9622,50.4704,12.7312,µm,Spot,Position,148,1000000806,860,
48.244,47.3641,16.7738,µm,Spot,Position,149,1000000128,861,
51.688,49.1122,18.403,µm,Spot,Position,149,1000000202,862,
51.6244,51.0792,13.2267,µm,Spot,Position,149,1000000806,863,
47.947,47.5912,15.7087,µm,Spot,Position,150,1000000128,864,
51.4445,49.0604,18.5247,µm,Spot,Position,150,1000000202,865,
51.4236,51.5663,12.0369,µm,Spot,Position,150,1000000806,866,
47.9989,47.677,16.7738,µm,Spot,Position,151,1000000128,867,
51.4445,49.3934,18.4281,µm,Spot,Position,151,1000000202,868,
51.7468,50.5922,13.1528,µm,Spot,Position,151,1000000806,869,
47.8986,47.5609,16.7738,µm,Spot,Position,152,1000000128,870,
51.9316,48.888,17.6947,µm,Spot,Position,152,1000000202,871,
52.1584,50.3487,12.9732,µm,Spot,Position,152,1000000806,872,
48.0782,47.6963,16.2412,µm,Spot,Position,153,1000000128,873,
51.8098,48.8827,18.2836,µm,Spot,Position,153,1000000202,874,
51.6324,50.7139,12.77,µm,Spot,Position,153,1000000806,875,
48.0782,47.6963,16.2412,µm,Spot,Position,154,1000000128,876,
52.0533,48.9352,18.1658,µm,Spot,Position,154,1000000202,877,
51.5634,51.0792,12.7094,µm,Spot,Position,154,1000000806,878,
47.9989,47.677,16.7738,µm,Spot,Position,155,1000000128,879,
51.8098,49.0024,19.1764,µm,Spot,Position,155,1000000202,880,
51.279,50.4704,13.7722,µm,Spot,Position,155,1000000806,881,
48.0079,47.568,16.7738,µm,Spot,Position,156,1000000128,882,
52.2969,48.8508,18.8761,µm,Spot,Position,156,1000000202,883,
51.7302,50.1051,13.7916,µm,Spot,Position,156,1000000806,884,
48.0168,47.4589,16.7738,µm,Spot,Position,157,1000000128,885,
53.1492,48.3466,18.1592,µm,Spot,Position,157,1000000202,886,
52.4477,49.2528,12.6904,µm,Spot,Position,157,1000000806,887,
48.5528,47.2866,16.2412,µm,Spot,Position,158,1000000128,888,
52.5404,48.2925,18.2852,µm,Spot,Position,158,1000000202,889,
52.0789,49.8616,13.0914,µm,Spot,Position,158,1000000806,890,
48.2708,47.0369,16.7738,µm,Spot,Position,159,1000000128,891,
52.2969,48.7524,18.5132,µm,Spot,Position,159,1000000202,892,
52.4053,49.9834,13.5139,µm,Spot,Position,159,1000000806,893,
48.2508,46.9359,16.2412,µm,Spot,Position,160,1000000128,894,
52.0533,49.0139,18.01,µm,Spot,Position,160,1000000202,895,
52.2474,50.2269,12.931,µm,Spot,Position,160,1000000806,896,
48.4612,47.0601,16.2412,µm,Spot,Position,161,1000000128,897,
52.0533,49.251,17.54,µm,Spot,Position,161,1000000202,898,
51.5438,50.8357,12.8128,µm,Spot,Position,161,1000000806,899,
48.6895,46.965,16.2412,µm,Spot,Position,162,1000000128,900,
52.0533,49.3488,17.9126,µm,Spot,Position,162,1000000202,901,
51.5159,50.7139,12.8176,µm,Spot,Position,162,1000000806,902,
48.3978,46.8258,16.7738,µm,Spot,Position,163,1000000128,903,
51.9316,49.4012,17.8143,µm,Spot,Position,163,1000000202,904,
51.3142,50.3487,12.8806,µm,Spot,Position,163,1000000806,905,
48.3087,46.9195,17.3062,µm,Spot,Position,164,1000000128,906,
51.5663,49.341,18.5237,µm,Spot,Position,164,1000000202,907,
51.6406,50.8357,13.4253,µm,Spot,Position,164,1000000806,908,
48.3515,47.0529,16.2412,µm,Spot,Position,165,1000000128,909,
51.8098,48.8827,18.2836,µm,Spot,Position,165,1000000202,910,
51.3824,50.8357,13.0961,µm,Spot,Position,165,1000000806,911,
47.615,46.9936,16.7738,µm,Spot,Position,166,1000000128,912,
51.688,49.0131,18.0288,µm,Spot,Position,166,1000000202,913,
51.2328,50.9575,12.6211,µm,Spot,Position,166,1000000806,914,
47.9698,46.6876,16.7738,µm,Spot,Position,167,1000000128,915,
51.4445,48.805,18.4639,µm,Spot,Position,167,1000000202,916,
51.4473,51.0792,12.757,µm,Spot,Position,167,1000000806,917,
47.5854,46.002,16.7738,µm,Spot,Position,168,1000000128,918,
50.9575,48.7802,18.5522,µm,Spot,Position,168,1000000202,919,
50.9875,50.1051,12.8919,µm,Spot,Position,168,1000000806,920,
47.5943,45.8925,16.7738,µm,Spot,Position,169,1000000128,921,
50.4704,48.1669,18.6761,µm,Spot,Position,169,1000000202,922,
50.8832,49.8616,13.1402,µm,Spot,Position,169,1000000806,923,
47.4017,45.5488,16.7738,µm,Spot,Position,170,1000000128,924,
50.5922,47.8582,18.709,µm,Spot,Position,170,1000000202,925,
51.0802,49.8616,12.9501,µm,Spot,Position,170,1000000806,926,
47.2743,45.7605,16.7738,µm,Spot,Position,171,1000000128,927,
50.5922,47.9642,19.0945,µm,Spot,Position,171,1000000202,928,
51.3103,49.7398,13.2884,µm,Spot,Position,171,1000000806,929,
47.6271,46.4526,16.2412,µm,Spot,Position,172,1000000128,930,
51.4445,48.2147,18.4998,µm,Spot,Position,172,1000000202,931,
51.428,50.2269,13.2645,µm,Spot,Position,172,1000000806,932,
47.4315,46.5417,16.7738,µm,Spot,Position,173,1000000128,933,
51.3228,48.6486,19.3692,µm,Spot,Position,173,1000000202,934,
51.3048,50.3487,13.2117,µm,Spot,Position,173,1000000806,935,
47.398,46.5478,16.2412,µm,Spot,Position,174,1000000128,936,
50.8357,49.0339,19.2176,µm,Spot,Position,174,1000000202,937,
51.2241,50.3487,13.3535,µm,Spot,Position,174,1000000806,938,
47.2167,47.4197,16.2412,µm,Spot,Position,175,1000000128,939,
50.9575,49.1582,19.5282,µm,Spot,Position,175,1000000202,940,
51.1952,50.2269,13.3593,µm,Spot,Position,175,1000000806,941,
47.6657,47.3387,16.2412,µm,Spot,Position,176,1000000128,942,
51.4445,49.413,18.9581,µm,Spot,Position,176,1000000202,943,
51.672,49.8616,13.8047,µm,Spot,Position,176,1000000806,944,
48.0456,47.3884,15.1762,µm,Spot,Position,177,1000000128,945,
51.5663,49.341,18.5237,µm,Spot,Position,177,1000000202,946,
51.7591,50.1051,12.795,µm,Spot,Position,177,1000000806,947,
48.3133,47.9134,17.2346,µm,Spot,Position,178,1000000128,948,
52.5404,49.9148,18.977,µm,Spot,Position,178,1000000202,949,
51.0027,49.9834,12.66,µm,Spot,Position,178,1000000806,950,
47.785,48.5222,16.8519,µm,Spot,Position,179,1000000128,951,
52.5404,49.9807,18.3142,µm,Spot,Position,179,1000000202,952,
50.0131,49.9834,12.5214,µm,Spot,Position,179,1000000806,953,
46.2855,49.4963,16.8988,µm,Spot,Position,180,1000000128,954,
52.7839,50.5193,17.2784,µm,Spot,Position,180,1000000202,955,
50.3541,50.1051,12.2786,µm,Spot,Position,180,1000000806,956,
43.1679,51.4445,16.2748,µm,Spot,Position,181,1000000128,957,
51.0792,51.1709,15.431,µm,Spot,Position,181,1000000806,958,
47.174,49.4963,17.1919,µm,Spot,Position,181,1000000202,959,
42.6127,51.3228,16.0576,µm,Spot,Position,182,1000000128,960,
48.1569,51.0212,17.0797,µm,Spot,Position,182,1000000202,961,
49.5889,50.4704,13.4363,µm,Spot,Position,182,1000000806,962,
43.01,51.4445,15.4978,µm,Spot,Position,183,1000000128,963,
47.4264,50.5845,16.7961,µm,Spot,Position,183,1000000202,964,
46.6596,51.8098,13.6874,µm,Spot,Position,183,1000000806,965,
42.7412,53.1492,15.4586,µm,Spot,Position,184,1000000128,966,
43.7068,50.5922,11.5418,µm,Spot,Position,184,1000000806,967,
44.8169,49.6181,15.6259,µm,Spot,Position,184,1000000202,968,
39.6703,47.7917,14.441,µm,Spot,Position,185,1000000128,969,
43.4021,49.4963,13.987,µm,Spot,Position,185,1000000202,970,
42.5784,52.2969,12.255,µm,Spot,Position,185,1000000806,971,
38.2157,46.2897,13.5787,µm,Spot,Position,186,1000000128,972,
43.2677,50.8556,13.0462,µm,Spot,Position,186,1000000806,973,
42.0706,48.8875,14.7439,µm,Spot,Position,186,1000000202,974,
37.8695,43.9836,15.1762,µm,Spot,Position,187,1000000128,975,
41.7549,50.3313,13.0462,µm,Spot,Position,187,1000000806,976,
39.9124,47.5481,13.7206,µm,Spot,Position,187,1000000202,977,
36.2517,43.0429,19.1706,µm,Spot,Position,188,1000000128,978,
40.9837,49.3249,13.5787,µm,Spot,Position,188,1000000806,979,
39.0612,44.8694,14.3191,µm,Spot,Position,188,1000000202,980,
34.9418,42.1906,18.583,µm,Spot,Position,189,1000000128,981,
40.7157,48.7455,13.5787,µm,Spot,Position,189,1000000806,982,
37.7003,44.1388,13.9079,µm,Spot,Position,189,1000000202,983,
34.6953,42.1906,19.3178,µm,Spot,Position,190,1000000128,984,
40.2028,48.0894,12.5137,µm,Spot,Position,190,1000000806,985,
37.8036,44.3823,14.1269,µm,Spot,Position,190,1000000202,986,
35.1125,39.6336,19.9004,µm,Spot,Position,191,1000000128,987,
38.6409,46.5592,13.0462,µm,Spot,Position,191,1000000806,988,
36.8823,42.4341,14.9431,µm,Spot,Position,191,1000000202,989,
35.5276,38.0507,21.2742,µm,Spot,Position,192,1000000128,990,
38.0561,45.0729,14.1112,µm,Spot,Position,192,1000000806,991,
36.8006,41.9471,19.6959,µm,Spot,Position,192,1000000202,992,
36.4798,43.4082,18.9137,µm,Spot,Position,193,1000000806,993,
36.4955,39.0248,22.3707,µm,Spot,Position,193,1000000202,994,
35.8613,41.46,19.9395,µm,Spot,Position,194,1000000806,995,
36.6797,37.6854,23.2786,µm,Spot,Position,194,1000000202,996,
36.1199,40.3642,20.3691,µm,Spot,Position,195,1000000806,997,
35.459,36.2242,24.3739,µm,Spot,Position,195,1000000202,998,
36.1246,39.2683,21.809,µm,Spot,Position,196,1000000806,999,
36.1508,38.7813,23.1834,µm,Spot,Position,197,1000000806,1000,
36.302,38.6595,23.3689,µm,Spot,Position,198,1000000806,1001,
36.5337,39.2683,23.5459,µm,Spot,Position,199,1000000806,1002,
46.4523,24.9399,47.596,µm,Spot,Position,206,1000001003,1003,
46.2087,25.4731,47.4201,µm,Spot,Position,207,1000001003,1004,
45.8435,25.4993,47.4331,µm,Spot,Position,208,1000001003,1005,
45.4782,25.4077,47.5383,µm,Spot,Position,209,1000001003,1006,
45.3564,25.6616,47.5617,µm,Spot,Position,210,1000001003,1007,
45.1129,26.0817,47.4684,µm,Spot,Position,211,1000001003,1008,
44.7476,25.987,47.5782,µm,Spot,Position,212,1000001003,1009,
44.6989,25.9962,46.0174,µm,Spot,Position,213,1000001003,1010,
51.8165,19.2993,47.6542,µm,Spot,Position,213,1000001011,1011,
44.3211,25.8745,46.0414,µm,Spot,Position,214,1000001003,1012,
51.6175,20.0299,47.5221,µm,Spot,Position,214,1000001011,1013,
44.093,27.2138,43.5832,µm,Spot,Position,215,1000001003,1014,
51.1832,20.8822,47.5801,µm,Spot,Position,215,1000001011,1015,
44.017,27.1679,41.7477,µm,Spot,Position,216,1000001003,1016,
51.2687,21.7345,46.4133,µm,Spot,Position,216,1000001011,1017,
43.53,27.926,41.0913,µm,Spot,Position,217,1000001003,1018,
50.057,22.0031,46.0612,µm,Spot,Position,217,1000001011,1019,
43.0429,28.1626,40.1405,µm,Spot,Position,218,1000001003,1020,
49.9358,22.2624,44.4637,µm,Spot,Position,218,1000001011,1021,
43.8953,27.5903,39.926,µm,Spot,Position,219,1000001003,1022,
49.8605,23.2263,43.3987,µm,Spot,Position,219,1000001011,1023,
44.3823,27.6645,40.3626,µm,Spot,Position,220,1000001003,1024,
49.2519,23.6093,44.4637,µm,Spot,Position,220,1000001011,1025,
44.017,28.4242,39.4446,µm,Spot,Position,221,1000001003,1026,
48.2924,23.5741,42.3337,µm,Spot,Position,221,1000001011,1027,
44.2605,28.2461,39.1166,µm,Spot,Position,222,1000001003,1028,
48.8093,24.7784,41.2687,µm,Spot,Position,222,1000001011,1029,
51.4445,19.9408,45.9193,µm,Spot,Position,222,1000001030,1030,
44.6563,28.9507,40.2037,µm,Spot,Position,223,1000001003,1031,
48.7792,26.1736,42.8662,µm,Spot,Position,223,1000001011,1032,
50.3573,22.2216,44.8457,µm,Spot,Position,223,1000001030,1033,
43.8171,29.83,39.1387,µm,Spot,Position,224,1000001003,1034,
48.4463,27.7957,41.2687,µm,Spot,Position,224,1000001011,1035,
50.6157,24.048,44.9375,µm,Spot,Position,224,1000001030,1036,
47.9708,28.9245,39.6712,µm,Spot,Position,225,1000001011,1037,
50.1535,24.9004,44.1156,µm,Spot,Position,225,1000001030,1038,
47.2666,29.5894,39.1387,µm,Spot,Position,226,1000001011,1039,
50.1339,25.5092,42.0574,µm,Spot,Position,226,1000001030,1040,
47.0719,29.6895,38.6062,µm,Spot,Position,227,1000001011,1041,
49.8919,26.118,41.3748,µm,Spot,Position,227,1000001030,1042,
46.6435,30.3831,38.6062,µm,Spot,Position,228,1000001011,1043,
49.3106,25.7527,40.9135,µm,Spot,Position,228,1000001030,1044,
46.4563,30.5012,35.9437,µm,Spot,Position,229,1000001011,1045,
48.9496,26.3615,39.1215,µm,Spot,Position,229,1000001030,1046,
46.1677,31.2748,37.0087,µm,Spot,Position,230,1000001011,1047,
48.0478,26.8486,39.0509,µm,Spot,Position,230,1000001030,1048,
45.4616,31.2414,35.9437,µm,Spot,Position,231,1000001011,1049,
