
Shortest Distance to Spots Spots=Centrosome
 ==================== 
Shortest Distance to Spots,Unit,Category,Spots,Time,TrackID,ID,
20.6098,µm,Spot,Centrosome,118,1000000128,128,
19.1974,µm,Spot,Centrosome,119,1000000128,130,
16.9895,µm,Spot,Centrosome,120,1000000128,132,
16.5457,µm,Spot,Centrosome,121,1000000128,134,
14.3158,µm,Spot,Centrosome,122,1000000128,136,
11.8176,µm,Spot,Centrosome,123,1000000128,138,
9.56425,µm,Spot,Centrosome,124,1000000128,140,
13.526,µm,Spot,Centrosome,124,1000000202,202,
9.93996,µm,Spot,Centrosome,125,1000000128,204,
14.0701,µm,Spot,Centrosome,125,1000000202,205,
10.2474,µm,Spot,Centrosome,126,1000000128,207,
14.3502,µm,Spot,Centrosome,126,1000000202,208,
6.87923,µm,Spot,Centrosome,127,1000000128,210,
10.5723,µm,Spot,Centrosome,127,1000000202,211,
11.7003,µm,Spot,Centrosome,128,1000000202,212,
8.36473,µm,Spot,Centrosome,128,1000000128,801,
8.46424,µm,Spot,Centrosome,129,1000000128,802,
12.6518,µm,Spot,Centrosome,129,1000000202,803,
10.8218,µm,Spot,Centrosome,130,1000000128,804,
14.5169,µm,Spot,Centrosome,130,1000000202,805,
15.8974,µm,Spot,Centrosome,130,1000000806,806,
11.8406,µm,Spot,Centrosome,131,1000000128,807,
15.4079,µm,Spot,Centrosome,131,1000000202,808,
16.3477,µm,Spot,Centrosome,131,1000000806,809,
11.9213,µm,Spot,Centrosome,132,1000000128,810,
15.9508,µm,Spot,Centrosome,132,1000000202,811,
16.1942,µm,Spot,Centrosome,132,1000000806,812,
10.23,µm,Spot,Centrosome,133,1000000128,813,
13.6786,µm,Spot,Centrosome,133,1000000202,814,
14.9677,µm,Spot,Centrosome,133,1000000806,815,
5.84128,µm,Spot,Centrosome,134,1000000128,816,
8.89004,µm,Spot,Centrosome,134,1000000202,817,
11.0968,µm,Spot,Centrosome,134,1000000806,818,
4.39487,µm,Spot,Centrosome,135,1000000128,819,
6.26848,µm,Spot,Centrosome,135,1000000202,820,
9.45395,µm,Spot,Centrosome,135,1000000806,821,
4.27066,µm,Spot,Centrosome,136,1000000128,822,
5.63006,µm,Spot,Centrosome,136,1000000202,823,
8.82496,µm,Spot,Centrosome,136,1000000806,824,
5.25347,µm,Spot,Centrosome,137,1000000128,825,
7.49423,µm,Spot,Centrosome,137,1000000202,826,
9.83511,µm,Spot,Centrosome,137,1000000806,827,
5.37383,µm,Spot,Centrosome,138,1000000128,828,
8.44421,µm,Spot,Centrosome,138,1000000202,829,
11.1195,µm,Spot,Centrosome,138,1000000806,830,
5.13013,µm,Spot,Centrosome,139,1000000128,831,
7.52064,µm,Spot,Centrosome,139,1000000202,832,
10.1221,µm,Spot,Centrosome,139,1000000806,833,
5.41957,µm,Spot,Centrosome,140,1000000128,834,
7.90273,µm,Spot,Centrosome,140,1000000202,835,
10.6229,µm,Spot,Centrosome,140,1000000806,836,
5.39701,µm,Spot,Centrosome,141,1000000128,837,
8.1557,µm,Spot,Centrosome,141,1000000202,838,
10.9534,µm,Spot,Centrosome,141,1000000806,839,
5.02474,µm,Spot,Centrosome,142,1000000128,840,
8.11546,µm,Spot,Centrosome,142,1000000202,841,
10.8185,µm,Spot,Centrosome,142,1000000806,842,
4.64882,µm,Spot,Centrosome,143,1000000128,843,
6.96805,µm,Spot,Centrosome,143,1000000202,844,
10.25,µm,Spot,Centrosome,143,1000000806,845,
4.71501,µm,Spot,Centrosome,144,1000000128,846,
7.39645,µm,Spot,Centrosome,144,1000000202,847,
10.1332,µm,Spot,Centrosome,144,1000000806,848,
5.33495,µm,Spot,Centrosome,145,1000000128,849,
8.89005,µm,Spot,Centrosome,145,1000000202,850,
11.2511,µm,Spot,Centrosome,145,1000000806,851,
6.1284,µm,Spot,Centrosome,146,1000000128,852,
9.51192,µm,Spot,Centrosome,146,1000000202,853,
11.6559,µm,Spot,Centrosome,146,1000000806,854,
6.51022,µm,Spot,Centrosome,147,1000000128,855,
9.95605,µm,Spot,Centrosome,147,1000000202,856,
11.4482,µm,Spot,Centrosome,147,1000000806,857,
6.09095,µm,Spot,Centrosome,148,1000000128,858,
9.78188,µm,Spot,Centrosome,148,1000000202,859,
11.5857,µm,Spot,Centrosome,148,1000000806,860,
7.87391,µm,Spot,Centrosome,149,1000000128,861,
11.6343,µm,Spot,Centrosome,149,1000000202,862,
13.0647,µm,Spot,Centrosome,149,1000000806,863,
7.42122,µm,Spot,Centrosome,150,1000000128,864,
11.0139,µm,Spot,Centrosome,150,1000000202,865,
13.047,µm,Spot,Centrosome,150,1000000806,866,
8.14944,µm,Spot,Centrosome,151,1000000128,867,
11.8107,µm,Spot,Centrosome,151,1000000202,868,
13.5454,µm,Spot,Centrosome,151,1000000806,869,
8.63195,µm,Spot,Centrosome,152,1000000128,870,
12.715,µm,Spot,Centrosome,152,1000000202,871,
14.5485,µm,Spot,Centrosome,152,1000000806,872,
9.53944,µm,Spot,Centrosome,153,1000000128,873,
13.0871,µm,Spot,Centrosome,153,1000000202,874,
