
Shortest Distance to Spots Spots=Microglia
 ==================== 
Shortest Distance to Spots,Unit,Category,Spots,Time,TrackID,ID,
20.5192,µm,Spot,Microglia,118,1000000128,128,
22.7053,µm,Spot,Microglia,119,1000000128,130,
23.0486,µm,Spot,Microglia,120,1000000128,132,
21.7013,µm,Spot,Microglia,121,1000000128,134,
21.0117,µm,Spot,Microglia,122,1000000128,136,
21.0482,µm,Spot,Microglia,123,1000000128,138,
20.5251,µm,Spot,Microglia,124,1000000128,140,
23.8146,µm,Spot,Microglia,124,1000000202,202,
20.8937,µm,Spot,Microglia,125,1000000128,204,
23.7513,µm,Spot,Microglia,125,1000000202,205,
20.1778,µm,Spot,Microglia,126,1000000128,207,
22.6424,µm,Spot,Microglia,126,1000000202,208,
20.027,µm,Spot,Microglia,127,1000000128,210,
22.6934,µm,Spot,Microglia,127,1000000202,211,
22.0502,µm,Spot,Microglia,128,1000000202,212,
19.1969,µm,Spot,Microglia,129,1000000128,213,
22.0071,µm,Spot,Microglia,129,1000000202,214,
19.6207,µm,Spot,Microglia,130,1000000128,215,
22.1287,µm,Spot,Microglia,130,1000000202,216,
25.4383,µm,Spot,Microglia,130,1000000312,312,
20.5023,µm,Spot,Microglia,131,1000000128,313,
23.0138,µm,Spot,Microglia,131,1000000202,314,
25.8199,µm,Spot,Microglia,131,1000000312,315,
20.5203,µm,Spot,Microglia,132,1000000128,316,
23.0892,µm,Spot,Microglia,132,1000000202,317,
25.5179,µm,Spot,Microglia,132,1000000312,318,
20.2272,µm,Spot,Microglia,133,1000000128,319,
22.7865,µm,Spot,Microglia,133,1000000202,320,
26.1234,µm,Spot,Microglia,133,1000000312,321,
20.3311,µm,Spot,Microglia,134,1000000128,322,
23.1363,µm,Spot,Microglia,134,1000000202,323,
26.844,µm,Spot,Microglia,134,1000000312,324,
19.5493,µm,Spot,Microglia,135,1000000128,325,
22.0573,µm,Spot,Microglia,135,1000000202,326,
26.0571,µm,Spot,Microglia,135,1000000312,327,
20.037,µm,Spot,Microglia,136,1000000128,328,
21.8943,µm,Spot,Microglia,136,1000000202,329,
25.9596,µm,Spot,Microglia,136,1000000312,330,
20.3417,µm,Spot,Microglia,137,1000000128,331,
22.3572,µm,Spot,Microglia,137,1000000202,332,
26.2393,µm,Spot,Microglia,137,1000000312,333,
20.1353,µm,Spot,Microglia,138,1000000128,334,
22.7277,µm,Spot,Microglia,138,1000000202,335,
27.0208,µm,Spot,Microglia,138,1000000312,336,
20.6037,µm,Spot,Microglia,139,1000000128,337,
22.2506,µm,Spot,Microglia,139,1000000202,338,
26.9457,µm,Spot,Microglia,139,1000000312,339,
19.7954,µm,Spot,Microglia,140,1000000128,340,
22.3146,µm,Spot,Microglia,140,1000000202,341,
26.3849,µm,Spot,Microglia,140,1000000312,342,
19.4954,µm,Spot,Microglia,141,1000000128,343,
22.1991,µm,Spot,Microglia,141,1000000202,344,
26.3162,µm,Spot,Microglia,141,1000000312,345,
19.3364,µm,Spot,Microglia,142,1000000128,346,
21.927,µm,Spot,Microglia,142,1000000202,347,
26.2207,µm,Spot,Microglia,142,1000000312,348,
19.2004,µm,Spot,Microglia,143,1000000128,349,
21.818,µm,Spot,Microglia,143,1000000202,350,
26.8659,µm,Spot,Microglia,143,1000000312,351,
19.3074,µm,Spot,Microglia,144,1000000128,352,
21.9925,µm,Spot,Microglia,144,1000000202,353,
26.2588,µm,Spot,Microglia,144,1000000312,354,
20.0512,µm,Spot,Microglia,145,1000000128,355,
23.311,µm,Spot,Microglia,145,1000000202,356,
27.3568,µm,Spot,Microglia,145,1000000312,357,
20.2534,µm,Spot,Microglia,146,1000000128,358,
22.3753,µm,Spot,Microglia,146,1000000202,359,
26.4963,µm,Spot,Microglia,146,1000000312,360,
20.2933,µm,Spot,Microglia,147,1000000128,361,
22.5835,µm,Spot,Microglia,147,1000000202,362,
26.151,µm,Spot,Microglia,147,1000000312,363,
19.6525,µm,Spot,Microglia,148,1000000128,364,
22.5254,µm,Spot,Microglia,148,1000000202,365,
25.8895,µm,Spot,Microglia,148,1000000312,366,
19.5514,µm,Spot,Microglia,149,1000000128,367,
22.229,µm,Spot,Microglia,149,1000000202,368,
25.6704,µm,Spot,Microglia,149,1000000312,369,
20.6171,µm,Spot,Microglia,150,1000000128,370,
