
Track Intensity Center Mean Ch=1 Img=1
 ==================== 
Track Intensity Center Mean,Unit,Category,Channel,Image,ID,
581.76,,Track,1,Image 1,1000000128,
656.25,,Track,1,Image 1,1000000202,
605.286,,Track,1,Image 1,1000000806,
626.421,,Track,1,Image 1,1000001003,
619.394,,Track,1,Image 1,1000001011,
635.429,,Track,1,Image 1,1000001030,
534.34,,Track,1,Image 1,1000001092,
702.941,,Track,1,Image 1,1000001192,
563.704,,Track,1,Image 1,1000001217,
701,,Track,1,Image 1,1000001248,
