
Track Intensity Sum Ch=2 Img=1
 ==================== 
Track Intensity Sum,Unit,Category,Channel,Image,ID,
1.15882e+08,,Track,2,Image 1,1000000128,
1.11023e+08,,Track,2,Image 1,1000000202,
1.07104e+08,,Track,2,Image 1,1000000806,
2.56841e+07,,Track,2,Image 1,1000001003,
4.96101e+07,,Track,2,Image 1,1000001011,
1.32383e+08,,Track,2,Image 1,1000001030,
8.27986e+07,,Track,2,Image 1,1000001092,
5.2628e+07,,Track,2,Image 1,1000001192,
4.17262e+07,,Track,2,Image 1,1000001217,
5.33523e+07,,Track,2,Image 1,1000001248,
