
Track Position
 ==================== 
Track Position X Mean,Track Position Y Mean,Track Position Z Mean,Unit,Category,Collection,ID,
46.6948,47.6223,15.7203,µm,Track,Track Position,1000000128,
49.2612,48.6532,17.5063,µm,Track,Track Position,1000000202,
48.6774,49.6636,13.6508,µm,Track,Track Position,1000000806,
44.6279,26.9525,43.6531,µm,Track,Track Position,1000001003,
45.0506,28.4445,36.3673,µm,Track,Track Position,1000001011,
39.9738,32.6718,26.5739,µm,Track,Track Position,1000001030,
36.282,44.5866,22.9929,µm,Track,Track Position,1000001092,
35.5099,50.686,26.4436,µm,Track,Track Position,1000001192,
36.3415,41.6192,20.3389,µm,Track,Track Position,1000001217,
37.9754,31.2226,22.5796,µm,Track,Track Position,1000001248,
