
Track Position Start
 ==================== 
Track Position X Start,Track Position Y Start,Track Position Z Start,Unit,Category,Collection,ID,
50.9063,51.4806,11.4487,µm,Track,Track Position Start,1000000128,
52.2969,51.4745,15.4467,µm,Track,Track Position Start,1000000202,
51.9004,52.1751,11.8778,µm,Track,Track Position Start,1000000806,
46.4523,24.9399,47.596,µm,Track,Track Position Start,1000001003,
51.8165,19.2993,47.6542,µm,Track,Track Position Start,1000001011,
51.4445,19.9408,45.9193,µm,Track,Track Position Start,1000001030,
35.9686,46.1665,22.0987,µm,Track,Track Position Start,1000001092,
33.2195,58.0197,26.8876,µm,Track,Track Position Start,1000001192,
36.2242,45.4655,16.2,µm,Track,Track Position Start,1000001217,
40.1206,23.7858,19.6545,µm,Track,Track Position Start,1000001248,
