
Track Shortest Distance to Spots Min Spots=Cell-Soma
 ==================== 
Track Shortest Distance to Spots Min,Unit,Category,Spots,ID,
6.30563,µm,Track,Cell-Soma,1000000128,
3.46257,µm,Track,Cell-Soma,1000000202,
2.62418,µm,Track,Cell-Soma,1000000806,
7.80904,µm,Track,Cell-Soma,1000001003,
5.15877,µm,Track,Cell-Soma,1000001011,
2.54856,µm,Track,Cell-Soma,1000001030,
7.38844,µm,Track,Cell-Soma,1000001092,
4.95926,µm,Track,Cell-Soma,1000001192,
5.08247,µm,Track,Cell-Soma,1000001217,
5.81716,µm,Track,Cell-Soma,1000001248,
