
Track Shortest Distance to Spots Min Spots=Centrosome
 ==================== 
Track Shortest Distance to Spots Min,Unit,Category,Spots,ID,
4.27066,µm,Track,Centrosome,1000000128,
4.79586,µm,Track,Centrosome,1000000202,
8.82496,µm,Track,Centrosome,1000000806,
2.84413,µm,Track,Centrosome,1000001003,
2.62221,µm,Track,Centrosome,1000001011,
3.17204,µm,Track,Centrosome,1000001030,
2.59826,µm,Track,Centrosome,1000001092,
4.13819,µm,Track,Centrosome,1000001192,
5.93515,µm,Track,Centrosome,1000001217,
5.10856,µm,Track,Centrosome,1000001248,
