
Track Shortest Distance to Spots Min Spots=Microglia
 ==================== 
Track Shortest Distance to Spots Min,Unit,Category,Spots,ID,
6.30563,µm,Track,Microglia,1000000128,
3.46257,µm,Track,Microglia,1000000202,
2.62418,µm,Track,Microglia,1000000312,
7.80904,µm,Track,Microglia,1000000509,
4.9454,µm,Track,Microglia,1000000517,
2.54856,µm,Track,Microglia,1000000536,
7.38844,µm,Track,Microglia,1000000606,
4.95926,µm,Track,Microglia,1000000706,
5.08247,µm,Track,Microglia,1000000731,
5.81716,µm,Track,Microglia,1000000762,
