
Intensity Center Ch=2 Img=1
 ==================== 
Intensity Center,Unit,Category,Channel,Image,Time,TrackID,ID,
242,,Spot,2,Image 1,1,1000004380,4380,
254,,Spot,2,Image 1,2,1000004380,4382,
252,,Spot,2,Image 1,3,,4386,
276,,Spot,2,Image 1,4,1000004387,4387,
254,,Spot,2,Image 1,5,1000004387,4388,
260,,Spot,2,Image 1,6,1000004389,4389,
232,,Spot,2,Image 1,7,1000004389,4390,
268,,Spot,2,Image 1,8,1000004389,4391,
228,,Spot,2,Image 1,9,1000004389,4392,
228,,Spot,2,Image 1,10,1000004389,4393,
218,,Spot,2,Image 1,11,1000004389,4394,
278,,Spot,2,Image 1,12,1000004389,4395,
242,,Spot,2,Image 1,13,1000004389,4396,
250,,Spot,2,Image 1,14,1000004389,4397,
286,,Spot,2,Image 1,15,1000004389,4398,
264,,Spot,2,Image 1,16,1000004389,4399,
246,,Spot,2,Image 1,17,1000004389,4400,
222,,Spot,2,Image 1,18,1000004389,4401,
232,,Spot,2,Image 1,19,1000004389,4402,
246,,Spot,2,Image 1,20,1000004389,4403,
240,,Spot,2,Image 1,21,1000004389,4404,
232,,Spot,2,Image 1,22,1000004389,4405,
228,,Spot,2,Image 1,23,1000004389,4406,
242,,Spot,2,Image 1,24,1000004389,4407,
228,,Spot,2,Image 1,25,1000004389,4408,
268,,Spot,2,Image 1,26,1000004389,4409,
258,,Spot,2,Image 1,27,1000004389,4410,
218,,Spot,2,Image 1,28,1000004389,4411,
230,,Spot,2,Image 1,29,1000004389,4412,
238,,Spot,2,Image 1,30,1000004389,4413,
226,,Spot,2,Image 1,31,1000004389,4414,
218,,Spot,2,Image 1,32,1000004389,4415,
236,,Spot,2,Image 1,33,1000004389,4416,
226,,Spot,2,Image 1,34,1000004389,4417,
218,,Spot,2,Image 1,35,1000004389,4418,
208,,Spot,2,Image 1,36,1000004389,4419,
250,,Spot,2,Image 1,37,1000004431,4431,
236,,Spot,2,Image 1,38,1000004431,4432,
244,,Spot,2,Image 1,39,1000004431,4433,
222,,Spot,2,Image 1,40,1000004431,4434,
210,,Spot,2,Image 1,41,1000004431,4435,
206,,Spot,2,Image 1,42,1000004431,4436,
220,,Spot,2,Image 1,43,1000004431,4437,
230,,Spot,2,Image 1,44,1000004431,4438,
234,,Spot,2,Image 1,45,1000004431,4439,
248,,Spot,2,Image 1,46,1000004431,4440,
224,,Spot,2,Image 1,47,1000004431,4441,
236,,Spot,2,Image 1,48,1000004431,4442,
