
Intensity Max Ch=1 Img=1
 ==================== 
Intensity Max,Unit,Category,Channel,Image,Time,TrackID,ID,
760,,Spot,1,Image 1,1,1000004380,4380,
740,,Spot,1,Image 1,2,1000004380,4382,
752,,Spot,1,Image 1,3,,4386,
794,,Spot,1,Image 1,4,1000004387,4387,
810,,Spot,1,Image 1,5,1000004387,4388,
860,,Spot,1,Image 1,6,1000004389,4389,
900,,Spot,1,Image 1,7,1000004389,4390,
984,,Spot,1,Image 1,8,1000004389,4391,
912,,Spot,1,Image 1,9,1000004389,4392,
948,,Spot,1,Image 1,10,1000004389,4393,
940,,Spot,1,Image 1,11,1000004389,4394,
898,,Spot,1,Image 1,12,1000004389,4395,
960,,Spot,1,Image 1,13,1000004389,4396,
1082,,Spot,1,Image 1,14,1000004389,4397,
978,,Spot,1,Image 1,15,1000004389,4398,
926,,Spot,1,Image 1,16,1000004389,4399,
962,,Spot,1,Image 1,17,1000004389,4400,
986,,Spot,1,Image 1,18,1000004389,4401,
932,,Spot,1,Image 1,19,1000004389,4402,
972,,Spot,1,Image 1,20,1000004389,4403,
930,,Spot,1,Image 1,21,1000004389,4404,
910,,Spot,1,Image 1,22,1000004389,4405,
876,,Spot,1,Image 1,23,1000004389,4406,
808,,Spot,1,Image 1,24,1000004389,4407,
782,,Spot,1,Image 1,25,1000004389,4408,
766,,Spot,1,Image 1,26,1000004389,4409,
766,,Spot,1,Image 1,27,1000004389,4410,
750,,Spot,1,Image 1,28,1000004389,4411,
732,,Spot,1,Image 1,29,1000004389,4412,
752,,Spot,1,Image 1,30,1000004389,4413,
736,,Spot,1,Image 1,31,1000004389,4414,
718,,Spot,1,Image 1,32,1000004389,4415,
648,,Spot,1,Image 1,33,1000004389,4416,
712,,Spot,1,Image 1,34,1000004389,4417,
678,,Spot,1,Image 1,35,1000004389,4418,
844,,Spot,1,Image 1,36,1000004389,4419,
686,,Spot,1,Image 1,37,1000004431,4431,
666,,Spot,1,Image 1,38,1000004431,4432,
666,,Spot,1,Image 1,39,1000004431,4433,
668,,Spot,1,Image 1,40,1000004431,4434,
