
Intensity Mean Ch=1 Img=1
 ==================== 
Intensity Mean,Unit,Category,Channel,Image,Time,TrackID,ID,
289.855,,Spot,1,Image 1,1,1000004380,4380,
294.522,,Spot,1,Image 1,2,1000004380,4382,
288.297,,Spot,1,Image 1,3,,4386,
292.223,,Spot,1,Image 1,4,1000004387,4387,
292.366,,Spot,1,Image 1,5,1000004387,4388,
303.923,,Spot,1,Image 1,6,1000004389,4389,
314.792,,Spot,1,Image 1,7,1000004389,4390,
322.138,,Spot,1,Image 1,8,1000004389,4391,
313.507,,Spot,1,Image 1,9,1000004389,4392,
315.843,,Spot,1,Image 1,10,1000004389,4393,
316.808,,Spot,1,Image 1,11,1000004389,4394,
319.238,,Spot,1,Image 1,12,1000004389,4395,
329.026,,Spot,1,Image 1,13,1000004389,4396,
332.602,,Spot,1,Image 1,14,1000004389,4397,
339.294,,Spot,1,Image 1,15,1000004389,4398,
336.979,,Spot,1,Image 1,16,1000004389,4399,
342.228,,Spot,1,Image 1,17,1000004389,4400,
345.528,,Spot,1,Image 1,18,1000004389,4401,
377.016,,Spot,1,Image 1,19,1000004389,4402,
350.582,,Spot,1,Image 1,20,1000004389,4403,
345.714,,Spot,1,Image 1,21,1000004389,4404,
335.998,,Spot,1,Image 1,22,1000004389,4405,
345.169,,Spot,1,Image 1,23,1000004389,4406,
347.542,,Spot,1,Image 1,24,1000004389,4407,
332.81,,Spot,1,Image 1,25,1000004389,4408,
320.38,,Spot,1,Image 1,26,1000004389,4409,
311.859,,Spot,1,Image 1,27,1000004389,4410,
326.469,,Spot,1,Image 1,28,1000004389,4411,
316.047,,Spot,1,Image 1,29,1000004389,4412,
313.131,,Spot,1,Image 1,30,1000004389,4413,
329.27,,Spot,1,Image 1,31,1000004389,4414,
335.422,,Spot,1,Image 1,32,1000004389,4415,
308.132,,Spot,1,Image 1,33,1000004389,4416,
336.024,,Spot,1,Image 1,34,1000004389,4417,
332.302,,Spot,1,Image 1,35,1000004389,4418,
325.234,,Spot,1,Image 1,36,1000004389,4419,
336.379,,Spot,1,Image 1,37,1000004431,4431,
333.828,,Spot,1,Image 1,38,1000004431,4432,
330.557,,Spot,1,Image 1,39,1000004431,4433,
333.287,,Spot,1,Image 1,40,1000004431,4434,
337.847,,Spot,1,Image 1,41,1000004431,4435,
338.669,,Spot,1,Image 1,42,1000004431,4436,
339.499,,Spot,1,Image 1,43,1000004431,4437,
327.59,,Spot,1,Image 1,44,1000004431,4438,
323.261,,Spot,1,Image 1,45,1000004431,4439,
316.097,,Spot,1,Image 1,46,1000004431,4440,
313.629,,Spot,1,Image 1,47,1000004431,4441,
312.578,,Spot,1,Image 1,48,1000004431,4442,
308.392,,Spot,1,Image 1,49,1000004431,4443,
318.269,,Spot,1,Image 1,50,1000004431,4444,
324.247,,Spot,1,Image 1,51,1000004431,4445,
326.803,,Spot,1,Image 1,52,1000004431,4446,
325.655,,Spot,1,Image 1,53,1000004431,4447,
325.313,,Spot,1,Image 1,54,1000004431,4448,
326.774,,Spot,1,Image 1,55,1000004431,4449,
328.301,,Spot,1,Image 1,56,1000004431,4450,
328.385,,Spot,1,Image 1,57,1000004431,4451,
322.538,,Spot,1,Image 1,58,1000004431,4452,
321.749,,Spot,1,Image 1,59,1000004431,4453,
324.194,,Spot,1,Image 1,60,1000004431,4454,
318.586,,Spot,1,Image 1,61,1000004431,4455,
323.267,,Spot,1,Image 1,62,1000004431,4456,
324.438,,Spot,1,Image 1,63,1000004431,4457,
325.122,,Spot,1,Image 1,64,1000004431,4458,
316.417,,Spot,1,Image 1,65,1000004431,4459,
317.569,,Spot,1,Image 1,66,1000004431,4460,
320.006,,Spot,1,Image 1,67,1000004431,4461,
315.462,,Spot,1,Image 1,68,1000004431,4462,
315.587,,Spot,1,Image 1,69,1000004431,4463,
317.632,,Spot,1,Image 1,70,1000004431,4464,
319.821,,Spot,1,Image 1,71,1000004431,4465,
314.376,,Spot,1,Image 1,72,1000004431,4466,
310.434,,Spot,1,Image 1,73,1000004431,4467,
313.614,,Spot,1,Image 1,74,1000004468,4468,
308.763,,Spot,1,Image 1,75,1000004468,4469,
307.44,,Spot,1,Image 1,76,1000004468,4470,
305.9,,Spot,1,Image 1,77,1000004468,4471,
303.849,,Spot,1,Image 1,78,1000004468,4472,
300.183,,Spot,1,Image 1,79,1000004468,4473,
296.296,,Spot,1,Image 1,80,1000004468,4474,
293.886,,Spot,1,Image 1,81,1000004468,4475,
287.468,,Spot,1,Image 1,82,1000004468,4476,
286.822,,Spot,1,Image 1,83,1000004468,4477,
292.094,,Spot,1,Image 1,84,1000004479,4479,
291.536,,Spot,1,Image 1,85,1000004479,4480,
289.851,,Spot,1,Image 1,86,1000004479,4481,
290.043,,Spot,1,Image 1,87,1000004479,4482,
285.146,,Spot,1,Image 1,88,1000004479,4483,
290.469,,Spot,1,Image 1,89,1000004479,4484,
289.537,,Spot,1,Image 1,90,1000004479,4485,
291.516,,Spot,1,Image 1,91,1000004479,4486,
288.751,,Spot,1,Image 1,92,1000004479,4487,
297.848,,Spot,1,Image 1,93,1000004479,4488,
299.162,,Spot,1,Image 1,94,1000004479,4489,
300.332,,Spot,1,Image 1,95,1000004479,4490,
302.257,,Spot,1,Image 1,96,1000004479,4491,
298.537,,Spot,1,Image 1,97,1000004479,4492,
296.084,,Spot,1,Image 1,98,1000004479,4493,
299.433,,Spot,1,Image 1,99,1000004479,4494,
303.574,,Spot,1,Image 1,100,1000004479,4495,
302.061,,Spot,1,Image 1,101,1000004496,4496,
303.612,,Spot,1,Image 1,102,1000004496,4497,
305.674,,Spot,1,Image 1,103,1000004496,4498,
304.253,,Spot,1,Image 1,104,1000004496,4499,
297.455,,Spot,1,Image 1,105,1000004496,4500,
304.475,,Spot,1,Image 1,106,1000004496,4501,
311.621,,Spot,1,Image 1,107,1000004496,4502,
316.346,,Spot,1,Image 1,108,1000004496,4503,
323.776,,Spot,1,Image 1,109,1000004496,4504,
329.984,,Spot,1,Image 1,110,1000004496,4505,
331.483,,Spot,1,Image 1,111,1000004496,4506,
322.387,,Spot,1,Image 1,112,1000004496,4507,
326.578,,Spot,1,Image 1,113,1000004496,4508,
327.195,,Spot,1,Image 1,114,1000004496,4509,
324.74,,Spot,1,Image 1,115,1000004496,4510,
324.328,,Spot,1,Image 1,116,1000004496,4511,
325.342,,Spot,1,Image 1,117,1000004496,4512,
333.853,,Spot,1,Image 1,118,1000004496,4513,
329.393,,Spot,1,Image 1,119,1000004496,4514,
335.918,,Spot,1,Image 1,120,1000004496,4515,
327.719,,Spot,1,Image 1,121,1000004496,4516,
322.676,,Spot,1,Image 1,122,1000004496,4517,
323.952,,Spot,1,Image 1,123,1000004496,4518,
323.545,,Spot,1,Image 1,124,1000004496,4519,
326.13,,Spot,1,Image 1,125,1000004496,4520,
323.701,,Spot,1,Image 1,126,1000004496,4521,
316.921,,Spot,1,Image 1,127,1000004496,4522,
