
Intensity Min Ch=2 Img=1
 ==================== 
Intensity Min,Unit,Category,Channel,Image,Time,TrackID,ID,
146,,Spot,2,Image 1,1,1000004380,4380,
166,,Spot,2,Image 1,2,1000004380,4382,
146,,Spot,2,Image 1,3,,4386,
168,,Spot,2,Image 1,4,1000004387,4387,
160,,Spot,2,Image 1,5,1000004387,4388,
164,,Spot,2,Image 1,6,1000004389,4389,
158,,Spot,2,Image 1,7,1000004389,4390,
164,,Spot,2,Image 1,8,1000004389,4391,
168,,Spot,2,Image 1,9,1000004389,4392,
146,,Spot,2,Image 1,10,1000004389,4393,
168,,Spot,2,Image 1,11,1000004389,4394,
156,,Spot,2,Image 1,12,1000004389,4395,
154,,Spot,2,Image 1,13,1000004389,4396,
166,,Spot,2,Image 1,14,1000004389,4397,
164,,Spot,2,Image 1,15,1000004389,4398,
146,,Spot,2,Image 1,16,1000004389,4399,
160,,Spot,2,Image 1,17,1000004389,4400,
146,,Spot,2,Image 1,18,1000004389,4401,
168,,Spot,2,Image 1,19,1000004389,4402,
168,,Spot,2,Image 1,20,1000004389,4403,
166,,Spot,2,Image 1,21,1000004389,4404,
166,,Spot,2,Image 1,22,1000004389,4405,
168,,Spot,2,Image 1,23,1000004389,4406,
168,,Spot,2,Image 1,24,1000004389,4407,
168,,Spot,2,Image 1,25,1000004389,4408,
168,,Spot,2,Image 1,26,1000004389,4409,
164,,Spot,2,Image 1,27,1000004389,4410,
170,,Spot,2,Image 1,28,1000004389,4411,
160,,Spot,2,Image 1,29,1000004389,4412,
168,,Spot,2,Image 1,30,1000004389,4413,
168,,Spot,2,Image 1,31,1000004389,4414,
128,,Spot,2,Image 1,32,1000004389,4415,
164,,Spot,2,Image 1,33,1000004389,4416,
158,,Spot,2,Image 1,34,1000004389,4417,
168,,Spot,2,Image 1,35,1000004389,4418,
170,,Spot,2,Image 1,36,1000004389,4419,
170,,Spot,2,Image 1,37,1000004431,4431,
146,,Spot,2,Image 1,38,1000004431,4432,
168,,Spot,2,Image 1,39,1000004431,4433,
164,,Spot,2,Image 1,40,1000004431,4434,
158,,Spot,2,Image 1,41,1000004431,4435,
168,,Spot,2,Image 1,42,1000004431,4436,
158,,Spot,2,Image 1,43,1000004431,4437,
