
Intensity Sum of Square Ch=2 Img=1
 ==================== 
Intensity Sum of Square,Unit,Category,Channel,Image,Time,TrackID,ID,
1.18443e+10,,Spot,2,Image 1,1,1000004380,4380,
1.20287e+10,,Spot,2,Image 1,2,1000004380,4382,
1.17065e+10,,Spot,2,Image 1,3,,4386,
1.14235e+10,,Spot,2,Image 1,4,1000004387,4387,
1.13861e+10,,Spot,2,Image 1,5,1000004387,4388,
1.15006e+10,,Spot,2,Image 1,6,1000004389,4389,
1.1593e+10,,Spot,2,Image 1,7,1000004389,4390,
1.17737e+10,,Spot,2,Image 1,8,1000004389,4391,
1.20325e+10,,Spot,2,Image 1,9,1000004389,4392,
1.15497e+10,,Spot,2,Image 1,10,1000004389,4393,
1.18858e+10,,Spot,2,Image 1,11,1000004389,4394,
1.1878e+10,,Spot,2,Image 1,12,1000004389,4395,
1.14607e+10,,Spot,2,Image 1,13,1000004389,4396,
1.18313e+10,,Spot,2,Image 1,14,1000004389,4397,
1.18715e+10,,Spot,2,Image 1,15,1000004389,4398,
1.18954e+10,,Spot,2,Image 1,16,1000004389,4399,
1.1874e+10,,Spot,2,Image 1,17,1000004389,4400,
1.14581e+10,,Spot,2,Image 1,18,1000004389,4401,
1.14316e+10,,Spot,2,Image 1,19,1000004389,4402,
1.17964e+10,,Spot,2,Image 1,20,1000004389,4403,
1.14614e+10,,Spot,2,Image 1,21,1000004389,4404,
1.17407e+10,,Spot,2,Image 1,22,1000004389,4405,
1.14062e+10,,Spot,2,Image 1,23,1000004389,4406,
1.17773e+10,,Spot,2,Image 1,24,1000004389,4407,
1.13351e+10,,Spot,2,Image 1,25,1000004389,4408,
1.13173e+10,,Spot,2,Image 1,26,1000004389,4409,
1.16118e+10,,Spot,2,Image 1,27,1000004389,4410,
1.12745e+10,,Spot,2,Image 1,28,1000004389,4411,
1.12688e+10,,Spot,2,Image 1,29,1000004389,4412,
1.16329e+10,,Spot,2,Image 1,30,1000004389,4413,
1.15961e+10,,Spot,2,Image 1,31,1000004389,4414,
1.15722e+10,,Spot,2,Image 1,32,1000004389,4415,
1.15218e+10,,Spot,2,Image 1,33,1000004389,4416,
1.148e+10,,Spot,2,Image 1,34,1000004389,4417,
1.1393e+10,,Spot,2,Image 1,35,1000004389,4418,
1.08559e+10,,Spot,2,Image 1,36,1000004389,4419,
1.15914e+10,,Spot,2,Image 1,37,1000004431,4431,
1.15798e+10,,Spot,2,Image 1,38,1000004431,4432,
1.15841e+10,,Spot,2,Image 1,39,1000004431,4433,
1.15699e+10,,Spot,2,Image 1,40,1000004431,4434,
1.15894e+10,,Spot,2,Image 1,41,1000004431,4435,
1.12011e+10,,Spot,2,Image 1,42,1000004431,4436,
1.16066e+10,,Spot,2,Image 1,43,1000004431,4437,
1.12536e+10,,Spot,2,Image 1,44,1000004431,4438,
1.15956e+10,,Spot,2,Image 1,45,1000004431,4439,
1.12165e+10,,Spot,2,Image 1,46,1000004431,4440,
1.11629e+10,,Spot,2,Image 1,47,1000004431,4441,
1.15089e+10,,Spot,2,Image 1,48,1000004431,4442,
1.15306e+10,,Spot,2,Image 1,49,1000004431,4443,
1.15628e+10,,Spot,2,Image 1,50,1000004431,4444,
1.12291e+10,,Spot,2,Image 1,51,1000004431,4445,
1.12352e+10,,Spot,2,Image 1,52,1000004431,4446,
1.12648e+10,,Spot,2,Image 1,53,1000004431,4447,
1.1263e+10,,Spot,2,Image 1,54,1000004431,4448,
1.15573e+10,,Spot,2,Image 1,55,1000004431,4449,
1.15925e+10,,Spot,2,Image 1,56,1000004431,4450,
1.12441e+10,,Spot,2,Image 1,57,1000004431,4451,
1.12448e+10,,Spot,2,Image 1,58,1000004431,4452,
1.1226e+10,,Spot,2,Image 1,59,1000004431,4453,
1.1247e+10,,Spot,2,Image 1,60,1000004431,4454,
1.12443e+10,,Spot,2,Image 1,61,1000004431,4455,
1.12193e+10,,Spot,2,Image 1,62,1000004431,4456,
1.15414e+10,,Spot,2,Image 1,63,1000004431,4457,
1.11669e+10,,Spot,2,Image 1,64,1000004431,4458,
1.1194e+10,,Spot,2,Image 1,65,1000004431,4459,
1.15005e+10,,Spot,2,Image 1,66,1000004431,4460,
1.11124e+10,,Spot,2,Image 1,67,1000004431,4461,
1.14574e+10,,Spot,2,Image 1,68,1000004431,4462,
1.10188e+10,,Spot,2,Image 1,69,1000004431,4463,
1.14124e+10,,Spot,2,Image 1,70,1000004431,4464,
1.10722e+10,,Spot,2,Image 1,71,1000004431,4465,
1.09737e+10,,Spot,2,Image 1,72,1000004431,4466,
1.0921e+10,,Spot,2,Image 1,73,1000004431,4467,
1.09921e+10,,Spot,2,Image 1,74,1000004468,4468,
1.1035e+10,,Spot,2,Image 1,75,1000004468,4469,
1.09832e+10,,Spot,2,Image 1,76,1000004468,4470,
1.08382e+10,,Spot,2,Image 1,77,1000004468,4471,
1.11847e+10,,Spot,2,Image 1,78,1000004468,4472,
1.07396e+10,,Spot,2,Image 1,79,1000004468,4473,
1.09091e+10,,Spot,2,Image 1,80,1000004468,4474,
1.05074e+10,,Spot,2,Image 1,81,1000004468,4475,
1.05097e+10,,Spot,2,Image 1,82,1000004468,4476,
1.04853e+10,,Spot,2,Image 1,83,1000004468,4477,
1.06127e+10,,Spot,2,Image 1,84,1000004479,4479,
1.07061e+10,,Spot,2,Image 1,85,1000004479,4480,
