
Shortest Distance to Spots Spots=Centrosome
 ==================== 
Shortest Distance to Spots,Unit,Category,Spots,Time,TrackID,ID,
9.69622,µm,Spot,Centrosome,1,1000004380,4380,
9.45366,µm,Spot,Centrosome,2,1000004380,4382,
8.08222,µm,Spot,Centrosome,3,,4386,
6.71767,µm,Spot,Centrosome,4,1000004387,4387,
5.98676,µm,Spot,Centrosome,5,1000004387,4388,
5.56368,µm,Spot,Centrosome,6,1000004389,4389,
5.7356,µm,Spot,Centrosome,7,1000004389,4390,
4.93789,µm,Spot,Centrosome,8,1000004389,4391,
6.33789,µm,Spot,Centrosome,9,1000004389,4392,
6.36324,µm,Spot,Centrosome,10,1000004389,4393,
5.97581,µm,Spot,Centrosome,11,1000004389,4394,
7.83189,µm,Spot,Centrosome,12,1000004389,4395,
8.89509,µm,Spot,Centrosome,13,1000004389,4396,
8.73064,µm,Spot,Centrosome,14,1000004389,4397,
7.48048,µm,Spot,Centrosome,15,1000004389,4398,
6.96242,µm,Spot,Centrosome,16,1000004389,4399,
6.7203,µm,Spot,Centrosome,17,1000004389,4400,
6.10046,µm,Spot,Centrosome,18,1000004389,4401,
4.78039,µm,Spot,Centrosome,19,1000004389,4402,
4.39343,µm,Spot,Centrosome,20,1000004389,4403,
4.78607,µm,Spot,Centrosome,21,1000004389,4404,
5.40612,µm,Spot,Centrosome,22,1000004389,4405,
5.18111,µm,Spot,Centrosome,23,1000004389,4406,
4.49648,µm,Spot,Centrosome,24,1000004389,4407,
4.46619,µm,Spot,Centrosome,25,1000004389,4408,
4.11358,µm,Spot,Centrosome,26,1000004389,4409,
5.4538,µm,Spot,Centrosome,27,1000004389,4410,
3.74096,µm,Spot,Centrosome,28,1000004389,4411,
4.1979,µm,Spot,Centrosome,29,1000004389,4412,
4.33744,µm,Spot,Centrosome,30,1000004389,4413,
5.56935,µm,Spot,Centrosome,31,1000004389,4414,
6.47109,µm,Spot,Centrosome,32,1000004389,4415,
10.2646,µm,Spot,Centrosome,33,1000004389,4416,
6.56454,µm,Spot,Centrosome,34,1000004389,4417,
5.5588,µm,Spot,Centrosome,35,1000004389,4418,
2.27617,µm,Spot,Centrosome,36,1000004389,4419,
5.3261,µm,Spot,Centrosome,37,1000004431,4431,
4.86363,µm,Spot,Centrosome,38,1000004431,4432,
4.14068,µm,Spot,Centrosome,39,1000004431,4433,
3.67121,µm,Spot,Centrosome,40,1000004431,4434,
4.91352,µm,Spot,Centrosome,41,1000004431,4435,
