
Track Position
 ==================== 
Track Position X Mean,Track Position Y Mean,Track Position Z Mean,Unit,Category,Collection,ID,
29.6682,35.6848,23.8021,µm,Track,Track Position,1000004380,
29.2091,36.8477,25.38,µm,Track,Track Position,1000004387,
34.3824,40.1374,25.3016,µm,Track,Track Position,1000004389,
36.4459,36.9013,25.8249,µm,Track,Track Position,1000004431,
36.468,36.2074,23.1271,µm,Track,Track Position,1000004468,
33.681,37.7471,23.3099,µm,Track,Track Position,1000004479,
34.8028,37.03,22.1433,µm,Track,Track Position,1000004496,
34.0072,34.9096,26.8043,µm,Track,Track Position,1000004791,
35.76,35.7708,25.4024,µm,Track,Track Position,1000004839,
34.1471,34.0389,25.0803,µm,Track,Track Position,1000004850,
34.6114,36.105,23.9336,µm,Track,Track Position,1000004864,
34.8724,35.2768,24.194,µm,Track,Track Position,1000004873,
34.7133,35.31,23.278,µm,Track,Track Position,1000004892,
35.554,38.5691,23.2831,µm,Track,Track Position,1000004952,
