
Track Position Start
 ==================== 
Track Position X Start,Track Position Y Start,Track Position Z Start,Unit,Category,Collection,ID,
29.8764,36.0641,24.03,µm,Track,Track Position Start,1000004380,
29.2543,36.5919,25.11,µm,Track,Track Position Start,1000004387,
30.2799,37.6451,26.19,µm,Track,Track Position Start,1000004389,
35.82,37.4745,26.1894,µm,Track,Track Position Start,1000004431,
36.42,34.8305,22.4837,µm,Track,Track Position Start,1000004468,
33.5092,39.66,23.9808,µm,Track,Track Position Start,1000004479,
34.0897,36.54,22.0643,µm,Track,Track Position Start,1000004496,
36.6443,37.98,21.3515,µm,Track,Track Position Start,1000004791,
37.38,36.5461,27.8765,µm,Track,Track Position Start,1000004839,
34.14,34.1655,23.1929,µm,Track,Track Position Start,1000004850,
35.7363,34.74,23.0646,µm,Track,Track Position Start,1000004864,
35.4928,36.3,24.7293,µm,Track,Track Position Start,1000004873,
34.7417,34.26,23.28,µm,Track,Track Position Start,1000004892,
34.8207,36.42,22.7956,µm,Track,Track Position Start,1000004952,
