
Track Shortest Distance to Spots Min Spots=Centrosome
 ==================== 
Track Shortest Distance to Spots Min,Unit,Category,Spots,ID,
9.45366,µm,Track,Centrosome,1000004380,
5.98676,µm,Track,Centrosome,1000004387,
2.27617,µm,Track,Centrosome,1000004389,
0.61662,µm,Track,Centrosome,1000004431,
10.075,µm,Track,Centrosome,1000004468,
5.31615,µm,Track,Centrosome,1000004479,
2.24213,µm,Track,Centrosome,1000004496,
2.6047,µm,Track,Centrosome,1000004791,
8.81252,µm,Track,Centrosome,1000004839,
4.2727,µm,Track,Centrosome,1000004850,
0.568525,µm,Track,Centrosome,1000004864,
0.352175,µm,Track,Centrosome,1000004873,
2.09968,µm,Track,Centrosome,1000004892,
3.18099,µm,Track,Centrosome,1000004952,
