
Track Shortest Distance to Spots Min Spots=Phagosomes
 ==================== 
Track Shortest Distance to Spots Min,Unit,Category,Spots,ID,
3.40282e+38,µm,Track,Phagosomes,1000004380,
3.40282e+38,µm,Track,Phagosomes,1000004387,
4.31766,µm,Track,Phagosomes,1000004389,
3.40282e+38,µm,Track,Phagosomes,1000004431,
13.3524,µm,Track,Phagosomes,1000004468,
7.17699,µm,Track,Phagosomes,1000004479,
5.03384,µm,Track,Phagosomes,1000004496,
6.80315,µm,Track,Phagosomes,1000004791,
3.1122,µm,Track,Phagosomes,1000004839,
5.62573,µm,Track,Phagosomes,1000004850,
3.40282e+38,µm,Track,Phagosomes,1000004864,
3.40282e+38,µm,Track,Phagosomes,1000004873,
12.5368,µm,Track,Phagosomes,1000004892,
3.40282e+38,µm,Track,Phagosomes,1000004952,
