
Distance to Image Border XY Img=1
 ==================== 
Distance to Image Border XY,Unit,Category,Image,Time,TrackID,ID,
31.6952,µm,Spot,Image 1,1,1000000001,1,
32.4495,µm,Spot,Image 1,2,1000000001,2,
33.3528,µm,Spot,Image 1,3,1000000001,3,
35.0586,µm,Spot,Image 1,4,1000000001,4,
34.1418,µm,Spot,Image 1,5,1000000001,5,
34.6217,µm,Spot,Image 1,6,1000000001,6,
35.0586,µm,Spot,Image 1,7,1000000001,7,
34.9624,µm,Spot,Image 1,8,1000000001,8,
34.2186,µm,Spot,Image 1,9,1000000001,9,
33.9786,µm,Spot,Image 1,10,1000000001,10,
33.4986,µm,Spot,Image 1,11,1000000001,11,
32.1786,µm,Spot,Image 1,12,1000000001,12,
31.6986,µm,Spot,Image 1,13,1000000001,13,
32.4199,µm,Spot,Image 1,14,1000000001,14,
33.2013,µm,Spot,Image 1,15,1000000001,15,
33.9964,µm,Spot,Image 1,16,1000000001,16,
33.579,µm,Spot,Image 1,17,1000000001,17,
33.2483,µm,Spot,Image 1,18,1000000001,18,
32.8084,µm,Spot,Image 1,19,1000000001,19,
33.4552,µm,Spot,Image 1,20,1000000001,20,
33.8405,µm,Spot,Image 1,21,1000000001,21,
33.3111,µm,Spot,Image 1,22,1000000001,22,
34.1727,µm,Spot,Image 1,23,1000000001,23,
33.898,µm,Spot,Image 1,24,1000000001,24,
34.214,µm,Spot,Image 1,25,1000000001,25,
33.3586,µm,Spot,Image 1,26,1000000001,26,
34.0432,µm,Spot,Image 1,27,1000000001,27,
33.8326,µm,Spot,Image 1,28,1000000001,28,
33.7299,µm,Spot,Image 1,29,1000000001,29,
33.5426,µm,Spot,Image 1,30,1000000001,30,
34.1414,µm,Spot,Image 1,31,1000000001,31,
33.2609,µm,Spot,Image 1,32,1000000001,32,
33.1032,µm,Spot,Image 1,33,1000000001,33,
32.8867,µm,Spot,Image 1,34,1000000001,34,
32.8719,µm,Spot,Image 1,35,1000000001,35,
33.8638,µm,Spot,Image 1,36,1000000001,36,
32.9987,µm,Spot,Image 1,37,1000000001,37,
33.4676,µm,Spot,Image 1,38,1000000001,38,
33.0108,µm,Spot,Image 1,39,1000000001,39,
33.2494,µm,Spot,Image 1,40,1000000001,40,
33.0665,µm,Spot,Image 1,41,1000000001,41,
33.6049,µm,Spot,Image 1,42,1000000001,42,
32.6994,µm,Spot,Image 1,43,1000000001,43,
32.7713,µm,Spot,Image 1,44,1000000001,44,
33.2119,µm,Spot,Image 1,45,1000000001,45,
33.3952,µm,Spot,Image 1,46,1000000001,46,
33.2142,µm,Spot,Image 1,47,1000000001,47,
33.2111,µm,Spot,Image 1,48,1000000001,48,
33.1551,µm,Spot,Image 1,49,1000000001,49,
34.0559,µm,Spot,Image 1,50,1000000001,50,
32.8504,µm,Spot,Image 1,51,1000000001,51,
32.3904,µm,Spot,Image 1,52,1000000001,52,
33.0019,µm,Spot,Image 1,53,1000000001,53,
33.3571,µm,Spot,Image 1,54,1000000001,54,
32.2598,µm,Spot,Image 1,55,1000000001,55,
31.173,µm,Spot,Image 1,56,1000000001,56,
31.5801,µm,Spot,Image 1,57,1000000001,57,
31.556,µm,Spot,Image 1,58,1000000001,58,
32.4186,µm,Spot,Image 1,59,1000000001,59,
32.6586,µm,Spot,Image 1,60,1000000001,60,
32.7786,µm,Spot,Image 1,61,1000000001,61,
33.4986,µm,Spot,Image 1,62,1000000001,62,
32.1786,µm,Spot,Image 1,63,1000000001,63,
30.6186,µm,Spot,Image 1,64,1000000001,64,
30.7386,µm,Spot,Image 1,65,1000000001,65,
31.8186,µm,Spot,Image 1,66,1000000001,66,
30.6981,µm,Spot,Image 1,67,1000000001,67,
28.3663,µm,Spot,Image 1,68,1000000001,68,
28.9789,µm,Spot,Image 1,69,1000000001,69,
29.877,µm,Spot,Image 1,70,1000000001,70,
30.5035,µm,Spot,Image 1,71,1000000001,71,
29.1002,µm,Spot,Image 1,72,1000000001,72,
30.2873,µm,Spot,Image 1,73,1000000001,73,
28.3845,µm,Spot,Image 1,74,1000000001,74,
25.6511,µm,Spot,Image 1,75,1000000001,75,
25.5236,µm,Spot,Image 1,76,1000000001,76,
25.1572,µm,Spot,Image 1,77,1000000001,77,
23.9844,µm,Spot,Image 1,78,1000000001,78,
22.1823,µm,Spot,Image 1,79,1000000001,79,
20.9504,µm,Spot,Image 1,80,1000000001,80,
21.3081,µm,Spot,Image 1,81,1000000001,81,
21.4216,µm,Spot,Image 1,82,1000000001,82,
22.0217,µm,Spot,Image 1,83,1000000001,83,
21.8906,µm,Spot,Image 1,84,1000000001,84,
22.1476,µm,Spot,Image 1,85,1000000001,85,
22.3474,µm,Spot,Image 1,86,1000000001,86,
22.8683,µm,Spot,Image 1,87,1000000001,87,
23.1371,µm,Spot,Image 1,88,1000000001,88,
24.0587,µm,Spot,Image 1,89,1000000001,89,
24.2592,µm,Spot,Image 1,90,1000000001,90,
24.1682,µm,Spot,Image 1,91,1000000001,91,
24.4329,µm,Spot,Image 1,92,1000000001,92,
24.4747,µm,Spot,Image 1,93,1000000001,93,
25.0533,µm,Spot,Image 1,94,1000000001,94,
25.774,µm,Spot,Image 1,95,1000000001,95,
27.17,µm,Spot,Image 1,96,1000000001,96,
