
Intensity Min Ch=2 Img=1
 ==================== 
Intensity Min,Unit,Category,Channel,Image,Time,TrackID,ID,
200,,Spot,2,Image 1,1,1000000001,1,
214,,Spot,2,Image 1,2,1000000001,2,
204,,Spot,2,Image 1,3,1000000001,3,
206,,Spot,2,Image 1,4,1000000001,4,
198,,Spot,2,Image 1,5,1000000001,5,
212,,Spot,2,Image 1,6,1000000001,6,
208,,Spot,2,Image 1,7,1000000001,7,
210,,Spot,2,Image 1,8,1000000001,8,
210,,Spot,2,Image 1,9,1000000001,9,
194,,Spot,2,Image 1,10,1000000001,10,
216,,Spot,2,Image 1,11,1000000001,11,
210,,Spot,2,Image 1,12,1000000001,12,
202,,Spot,2,Image 1,13,1000000001,13,
204,,Spot,2,Image 1,14,1000000001,14,
210,,Spot,2,Image 1,15,1000000001,15,
208,,Spot,2,Image 1,16,1000000001,16,
212,,Spot,2,Image 1,17,1000000001,17,
212,,Spot,2,Image 1,18,1000000001,18,
206,,Spot,2,Image 1,19,1000000001,19,
218,,Spot,2,Image 1,20,1000000001,20,
204,,Spot,2,Image 1,21,1000000001,21,
212,,Spot,2,Image 1,22,1000000001,22,
210,,Spot,2,Image 1,23,1000000001,23,
202,,Spot,2,Image 1,24,1000000001,24,
202,,Spot,2,Image 1,25,1000000001,25,
206,,Spot,2,Image 1,26,1000000001,26,
214,,Spot,2,Image 1,27,1000000001,27,
208,,Spot,2,Image 1,28,1000000001,28,
194,,Spot,2,Image 1,29,1000000001,29,
202,,Spot,2,Image 1,30,1000000001,30,
200,,Spot,2,Image 1,31,1000000001,31,
204,,Spot,2,Image 1,32,1000000001,32,
202,,Spot,2,Image 1,33,1000000001,33,
208,,Spot,2,Image 1,34,1000000001,34,
200,,Spot,2,Image 1,35,1000000001,35,
202,,Spot,2,Image 1,36,1000000001,36,
208,,Spot,2,Image 1,37,1000000001,37,
198,,Spot,2,Image 1,38,1000000001,38,
204,,Spot,2,Image 1,39,1000000001,39,
202,,Spot,2,Image 1,40,1000000001,40,
196,,Spot,2,Image 1,41,1000000001,41,
202,,Spot,2,Image 1,42,1000000001,42,
202,,Spot,2,Image 1,43,1000000001,43,
202,,Spot,2,Image 1,44,1000000001,44,
206,,Spot,2,Image 1,45,1000000001,45,
200,,Spot,2,Image 1,46,1000000001,46,
198,,Spot,2,Image 1,47,1000000001,47,
200,,Spot,2,Image 1,48,1000000001,48,
198,,Spot,2,Image 1,49,1000000001,49,
