
Position
 ==================== 
Position X,Position Y,Position Z,Unit,Category,Collection,Time,TrackID,ID,
39.5434,35.34,23.8266,µm,Spot,Position,1,1000000001,1,
38.7891,35.22,25.1017,µm,Spot,Position,2,1000000001,2,
37.8858,35.46,25.5524,µm,Spot,Position,3,1000000001,3,
35.917,35.82,24.7372,µm,Spot,Position,4,1000000001,4,
34.9032,35.58,24.8869,µm,Spot,Position,5,1000000001,5,
35.3831,35.46,25.8202,µm,Spot,Position,6,1000000001,6,
35.9465,35.82,26.0679,µm,Spot,Position,7,1000000001,7,
35.7238,35.94,25.6007,µm,Spot,Position,8,1000000001,8,
36.3514,34.98,25.7753,µm,Spot,Position,9,1000000001,9,
36.7719,34.74,25.3972,µm,Spot,Position,10,1000000001,10,
36.0493,34.26,24.4569,µm,Spot,Position,11,1000000001,11,
36.8612,32.94,25.4653,µm,Spot,Position,12,1000000001,12,
37.3576,32.46,24.8783,µm,Spot,Position,13,1000000001,13,
37.1566,33.1813,24.57,µm,Spot,Position,14,1000000001,14,
37.4596,33.9628,24.03,µm,Spot,Position,15,1000000001,15,
37.0887,34.7579,25.11,µm,Spot,Position,16,1000000001,16,
37.6595,34.9476,24.57,µm,Spot,Position,17,1000000001,17,
37.9902,35.8605,24.03,µm,Spot,Position,18,1000000001,18,
38.4302,36.7012,24.03,µm,Spot,Position,19,1000000001,19,
37.7833,36.7851,24.57,µm,Spot,Position,20,1000000001,20,
37.398,36.2027,24.57,µm,Spot,Position,21,1000000001,21,
37.9275,36.2227,24.57,µm,Spot,Position,22,1000000001,22,
37.0659,35.8741,24.57,µm,Spot,Position,23,1000000001,23,
37.3406,36.5336,24.03,µm,Spot,Position,24,1000000001,24,
36.9168,37.0246,24.03,µm,Spot,Position,25,1000000001,25,
37.0928,37.88,25.65,µm,Spot,Position,26,1000000001,26,
37.1954,37.1221,25.11,µm,Spot,Position,27,1000000001,27,
36.6021,37.4059,26.19,µm,Spot,Position,28,1000000001,28,
36.6238,37.5086,25.11,µm,Spot,Position,29,1000000001,29,
36.0069,37.696,24.57,µm,Spot,Position,30,1000000001,30,
34.9028,37.0049,21.87,µm,Spot,Position,31,1000000001,31,
34.0224,36.8177,20.25,µm,Spot,Position,32,1000000001,32,
33.8646,36.7717,19.71,µm,Spot,Position,33,1000000001,33,
33.6482,36.4597,19.17,µm,Spot,Position,34,1000000001,34,
33.6333,37.1431,18.09,µm,Spot,Position,35,1000000001,35,
34.6252,37.0432,20.79,µm,Spot,Position,36,1000000001,36,
33.7602,36.7596,21.33,µm,Spot,Position,37,1000000001,37,
34.2291,36.957,22.41,µm,Spot,Position,38,1000000001,38,
33.7722,37.2698,22.95,µm,Spot,Position,39,1000000001,39,
34.0109,37.7013,23.49,µm,Spot,Position,40,1000000001,40,
33.8279,37.5846,22.41,µm,Spot,Position,41,1000000001,41,
34.3664,37.5474,22.95,µm,Spot,Position,42,1000000001,42,
33.4608,37.0664,22.95,µm,Spot,Position,43,1000000001,43,
33.5327,36.7809,22.95,µm,Spot,Position,44,1000000001,44,
33.9733,37.0674,21.87,µm,Spot,Position,45,1000000001,45,
34.1567,37.2435,22.41,µm,Spot,Position,46,1000000001,46,
33.9756,37.182,20.79,µm,Spot,Position,47,1000000001,47,
33.9725,37.0118,22.41,µm,Spot,Position,48,1000000001,48,
33.9165,36.7525,22.41,µm,Spot,Position,49,1000000001,49,
34.8173,37.1263,23.49,µm,Spot,Position,50,1000000001,50,
36.293,38.3882,26.19,µm,Spot,Position,51,1000000001,51,
36.6522,38.8482,27.27,µm,Spot,Position,52,1000000001,52,
36.3902,38.2366,26.19,µm,Spot,Position,53,1000000001,53,
36.5742,37.8815,26.73,µm,Spot,Position,54,1000000001,54,
37.3169,38.9787,28.35,µm,Spot,Position,55,1000000001,55,
36.18,40.0655,26.6707,µm,Spot,Position,56,1000000001,56,
36.3,39.6584,27.9236,µm,Spot,Position,57,1000000001,57,
36.9,39.6825,27.9024,µm,Spot,Position,58,1000000001,58,
36.3196,38.82,26.8403,µm,Spot,Position,59,1000000001,59,
36.9663,38.58,26.5408,µm,Spot,Position,60,1000000001,60,
35.5874,38.46,25.3097,µm,Spot,Position,61,1000000001,61,
34.9971,37.74,24.4364,µm,Spot,Position,62,1000000001,62,
35.1019,39.06,25.7547,µm,Spot,Position,63,1000000001,63,
35.0624,40.62,26.9723,µm,Spot,Position,64,1000000001,64,
35.0699,40.5,27.4279,µm,Spot,Position,65,1000000001,65,
34.957,39.42,26.7161,µm,Spot,Position,66,1000000001,66,
34.5118,40.5404,26.73,µm,Spot,Position,67,1000000001,67,
34.553,42.8722,28.35,µm,Spot,Position,68,1000000001,68,
34.2146,42.2596,27.81,µm,Spot,Position,69,1000000001,69,
33.9938,41.3615,26.73,µm,Spot,Position,70,1000000001,70,
33.8861,40.735,27.27,µm,Spot,Position,71,1000000001,71,
33.2229,42.1383,26.73,µm,Spot,Position,72,1000000001,72,
33.1504,40.9513,26.73,µm,Spot,Position,73,1000000001,73,
32.6489,42.854,27.27,µm,Spot,Position,74,1000000001,74,
30.344,45.5875,27.81,µm,Spot,Position,75,1000000001,75,
29.9097,45.7149,27.81,µm,Spot,Position,76,1000000001,76,
27.8969,46.0814,27.81,µm,Spot,Position,77,1000000001,77,
25.2433,47.2542,25.65,µm,Spot,Position,78,1000000001,78,
22.9437,48.0911,23.49,µm,Spot,Position,79,1000000001,79,
21.7119,46.9506,22.95,µm,Spot,Position,80,1000000001,80,
