
Shortest Distance to Spots Spots=Cell-Soma
 ==================== 
Shortest Distance to Spots,Unit,Category,Spots,Time,TrackID,ID,
9.69622,µm,Spot,Cell-Soma,1,1000000001,1,
9.45366,µm,Spot,Cell-Soma,2,1000000001,2,
8.08222,µm,Spot,Cell-Soma,3,1000000001,3,
6.71767,µm,Spot,Cell-Soma,4,1000000001,4,
5.98676,µm,Spot,Cell-Soma,5,1000000001,5,
5.56368,µm,Spot,Cell-Soma,6,1000000001,6,
5.7356,µm,Spot,Cell-Soma,7,1000000001,7,
4.93789,µm,Spot,Cell-Soma,8,1000000001,8,
6.33789,µm,Spot,Cell-Soma,9,1000000001,9,
6.36324,µm,Spot,Cell-Soma,10,1000000001,10,
5.97581,µm,Spot,Cell-Soma,11,1000000001,11,
7.83189,µm,Spot,Cell-Soma,12,1000000001,12,
8.89509,µm,Spot,Cell-Soma,13,1000000001,13,
8.73064,µm,Spot,Cell-Soma,14,1000000001,14,
7.48048,µm,Spot,Cell-Soma,15,1000000001,15,
6.96242,µm,Spot,Cell-Soma,16,1000000001,16,
6.7203,µm,Spot,Cell-Soma,17,1000000001,17,
6.10046,µm,Spot,Cell-Soma,18,1000000001,18,
4.78039,µm,Spot,Cell-Soma,19,1000000001,19,
4.39343,µm,Spot,Cell-Soma,20,1000000001,20,
4.78607,µm,Spot,Cell-Soma,21,1000000001,21,
5.40612,µm,Spot,Cell-Soma,22,1000000001,22,
5.18111,µm,Spot,Cell-Soma,23,1000000001,23,
4.49648,µm,Spot,Cell-Soma,24,1000000001,24,
4.46619,µm,Spot,Cell-Soma,25,1000000001,25,
4.11358,µm,Spot,Cell-Soma,26,1000000001,26,
5.4538,µm,Spot,Cell-Soma,27,1000000001,27,
3.74096,µm,Spot,Cell-Soma,28,1000000001,28,
4.1979,µm,Spot,Cell-Soma,29,1000000001,29,
4.33744,µm,Spot,Cell-Soma,30,1000000001,30,
5.56935,µm,Spot,Cell-Soma,31,1000000001,31,
6.47109,µm,Spot,Cell-Soma,32,1000000001,32,
10.2646,µm,Spot,Cell-Soma,33,1000000001,33,
6.56454,µm,Spot,Cell-Soma,34,1000000001,34,
5.5588,µm,Spot,Cell-Soma,35,1000000001,35,
2.27617,µm,Spot,Cell-Soma,36,1000000001,36,
5.3261,µm,Spot,Cell-Soma,37,1000000001,37,
4.86363,µm,Spot,Cell-Soma,38,1000000001,38,
4.14068,µm,Spot,Cell-Soma,39,1000000001,39,
3.67121,µm,Spot,Cell-Soma,40,1000000001,40,
