
Shortest Distance to Spots Spots=Phagosomes
 ==================== 
Shortest Distance to Spots,Unit,Category,Spots,Time,TrackID,ID,
6.28865,,Spot,Phagosomes,12,1000000001,12,
5.5618,,Spot,Phagosomes,13,1000000001,13,
4.65805,,Spot,Phagosomes,14,1000000001,14,
3.96103,,Spot,Phagosomes,15,1000000001,15,
4.50613,,Spot,Phagosomes,16,1000000001,16,
4.4266,,Spot,Phagosomes,17,1000000001,17,
5.53647,,Spot,Phagosomes,18,1000000001,18,
5.19165,,Spot,Phagosomes,19,1000000001,19,
5.10725,,Spot,Phagosomes,20,1000000001,20,
4.89451,,Spot,Phagosomes,21,1000000001,21,
4.74833,,Spot,Phagosomes,22,1000000001,22,
3.82166,,Spot,Phagosomes,23,1000000001,23,
3.65206,,Spot,Phagosomes,24,1000000001,24,
3.9347,,Spot,Phagosomes,25,1000000001,25,
5.39946,,Spot,Phagosomes,26,1000000001,26,
4.99477,,Spot,Phagosomes,27,1000000001,27,
5.33016,,Spot,Phagosomes,28,1000000001,28,
3.74858,,Spot,Phagosomes,29,1000000001,29,
3.05481,,Spot,Phagosomes,30,1000000001,30,
3.04307,,Spot,Phagosomes,31,1000000001,31,
5.36566,,Spot,Phagosomes,32,1000000001,32,
13.1892,,Spot,Phagosomes,74,1000000001,74,
9.67373,,Spot,Phagosomes,75,1000000001,75,
9.26999,,Spot,Phagosomes,76,1000000001,76,
8.41525,,Spot,Phagosomes,77,1000000001,77,
4.62564,,Spot,Phagosomes,78,1000000001,78,
2.01769,,Spot,Phagosomes,79,1000000001,79,
2.69026,,Spot,Phagosomes,80,1000000001,80,
2.63947,,Spot,Phagosomes,81,1000000001,81,
2.63221,,Spot,Phagosomes,82,1000000001,82,
2.2518,,Spot,Phagosomes,83,1000000001,83,
3.58567,,Spot,Phagosomes,84,1000000001,84,
2.65618,,Spot,Phagosomes,85,1000000001,85,
3.25198,,Spot,Phagosomes,86,1000000001,86,
3.21633,,Spot,Phagosomes,87,1000000001,87,
1.66673,,Spot,Phagosomes,88,1000000001,88,
3.31024,,Spot,Phagosomes,89,1000000001,89,
3.17851,,Spot,Phagosomes,90,1000000001,90,
4.27006,,Spot,Phagosomes,91,1000000001,91,
4.87239,,Spot,Phagosomes,92,1000000001,92,
4.26914,,Spot,Phagosomes,93,1000000001,93,
5.16665,,Spot,Phagosomes,94,1000000001,94,
6.47441,,Spot,Phagosomes,95,1000000001,95,
6.82074,,Spot,Phagosomes,96,1000000001,96,
5.9046,,Spot,Phagosomes,97,1000000001,97,
5.44588,,Spot,Phagosomes,98,1000000001,98,
5.86208,,Spot,Phagosomes,99,1000000001,99,
5.95658,,Spot,Phagosomes,100,1000000001,100,
5.66535,,Spot,Phagosomes,101,1000000001,101,
5.48524,,Spot,Phagosomes,102,1000000001,102,
4.34675,,Spot,Phagosomes,103,1000000001,103,
5.32073,,Spot,Phagosomes,104,1000000001,104,
6.72053,,Spot,Phagosomes,105,1000000001,105,
7.08504,,Spot,Phagosomes,106,1000000001,106,
9.94187,,Spot,Phagosomes,107,1000000001,107,
7.27051,,Spot,Phagosomes,108,1000000001,108,
8.60529,,Spot,Phagosomes,109,1000000001,109,
8.27006,,Spot,Phagosomes,110,1000000001,110,
9.01482,,Spot,Phagosomes,111,1000000001,111,
8.60726,,Spot,Phagosomes,112,1000000001,112,
8.81586,,Spot,Phagosomes,113,1000000001,113,
8.87443,,Spot,Phagosomes,114,1000000001,114,
9.19206,,Spot,Phagosomes,115,1000000001,115,
9.04119,,Spot,Phagosomes,116,1000000001,116,
10.6811,,Spot,Phagosomes,117,1000000001,117,
8.36358,,Spot,Phagosomes,118,1000000001,118,
13.5322,,Spot,Phagosomes,159,1000000001,160,
13.6021,,Spot,Phagosomes,160,1000000001,161,
10.866,,Spot,Phagosomes,161,1000000001,162,
10.5683,,Spot,Phagosomes,162,1000000001,163,
8.69193,,Spot,Phagosomes,163,1000000001,164,
9.4909,,Spot,Phagosomes,164,1000000001,165,
10.0154,,Spot,Phagosomes,165,1000000001,166,
11.9359,,Spot,Phagosomes,166,1000000001,167,
13.2689,,Spot,Phagosomes,167,1000000001,168,
12.1769,,Spot,Phagosomes,168,1000000001,169,
8.02275,,Spot,Phagosomes,169,1000000001,170,
7.10857,,Spot,Phagosomes,170,1000000001,171,
6.09464,,Spot,Phagosomes,171,1000000001,172,
4.45592,,Spot,Phagosomes,172,1000000001,173,
3.327,,Spot,Phagosomes,173,1000000001,174,
4.44504,,Spot,Phagosomes,174,1000000001,175,
5.30623,,Spot,Phagosomes,175,1000000001,176,
4.31271,,Spot,Phagosomes,176,1000000001,177,
4.45106,,Spot,Phagosomes,177,1000000001,178,
3.83046,,Spot,Phagosomes,178,1000000001,179,
3.24343,,Spot,Phagosomes,179,1000000001,180,
4.27607,,Spot,Phagosomes,180,1000000001,181,
3.73925,,Spot,Phagosomes,181,1000000001,182,
5.32735,,Spot,Phagosomes,182,1000000001,183,
5.19817,,Spot,Phagosomes,183,1000000001,184,
5.14754,,Spot,Phagosomes,184,1000000001,185,
5.14024,,Spot,Phagosomes,185,1000000001,186,
5.52002,,Spot,Phagosomes,186,1000000001,187,
3.8875,,Spot,Phagosomes,187,1000000001,188,
4.16357,,Spot,Phagosomes,188,1000000001,189,
3.50798,,Spot,Phagosomes,189,1000000001,190,
3.92328,,Spot,Phagosomes,190,1000000001,191,
4.02274,,Spot,Phagosomes,191,1000000001,192,
4.94446,,Spot,Phagosomes,192,1000000001,193,
4.43829,,Spot,Phagosomes,193,1000000001,194,
5.38861,,Spot,Phagosomes,194,1000000001,195,
4.40266,,Spot,Phagosomes,195,1000000001,196,
2.71215,,Spot,Phagosomes,229,1000000001,230,
4.96057,,Spot,Phagosomes,230,1000000001,231,
7.30216,,Spot,Phagosomes,231,1000000001,232,
10.0983,,Spot,Phagosomes,232,1000000001,233,
10.4032,,Spot,Phagosomes,233,1000000001,234,
8.05933,,Spot,Phagosomes,234,1000000001,235,
8.23551,,Spot,Phagosomes,235,1000000001,236,
7.74286,,Spot,Phagosomes,236,1000000001,237,
8.18387,,Spot,Phagosomes,237,1000000001,238,
8.04957,,Spot,Phagosomes,238,1000000001,239,
8.83639,,Spot,Phagosomes,239,1000000001,240,
6.74697,,Spot,Phagosomes,240,1000000001,241,
6.99071,,Spot,Phagosomes,241,1000000001,242,
