
Time
 ==================== 
Time,Unit,Category,Time,TrackID,ID,
0,s,Spot,1,1000000001,1,
1,s,Spot,2,1000000001,2,
2,s,Spot,3,1000000001,3,
3,s,Spot,4,1000000001,4,
4,s,Spot,5,1000000001,5,
5,s,Spot,6,1000000001,6,
6,s,Spot,7,1000000001,7,
7,s,Spot,8,1000000001,8,
8,s,Spot,9,1000000001,9,
9,s,Spot,10,1000000001,10,
10,s,Spot,11,1000000001,11,
11,s,Spot,12,1000000001,12,
12,s,Spot,13,1000000001,13,
13,s,Spot,14,1000000001,14,
14,s,Spot,15,1000000001,15,
15,s,Spot,16,1000000001,16,
16,s,Spot,17,1000000001,17,
17,s,Spot,18,1000000001,18,
18,s,Spot,19,1000000001,19,
19,s,Spot,20,1000000001,20,
20,s,Spot,21,1000000001,21,
21,s,Spot,22,1000000001,22,
22,s,Spot,23,1000000001,23,
23,s,Spot,24,1000000001,24,
24,s,Spot,25,1000000001,25,
25,s,Spot,26,1000000001,26,
26,s,Spot,27,1000000001,27,
27,s,Spot,28,1000000001,28,
28,s,Spot,29,1000000001,29,
29,s,Spot,30,1000000001,30,
30,s,Spot,31,1000000001,31,
31,s,Spot,32,1000000001,32,
32,s,Spot,33,1000000001,33,
33,s,Spot,34,1000000001,34,
34,s,Spot,35,1000000001,35,
35,s,Spot,36,1000000001,36,
36,s,Spot,37,1000000001,37,
37,s,Spot,38,1000000001,38,
38,s,Spot,39,1000000001,39,
39,s,Spot,40,1000000001,40,
40,s,Spot,41,1000000001,41,
41,s,Spot,42,1000000001,42,
42,s,Spot,43,1000000001,43,
43,s,Spot,44,1000000001,44,
44,s,Spot,45,1000000001,45,
45,s,Spot,46,1000000001,46,
46,s,Spot,47,1000000001,47,
47,s,Spot,48,1000000001,48,
48,s,Spot,49,1000000001,49,
49,s,Spot,50,1000000001,50,
50,s,Spot,51,1000000001,51,
51,s,Spot,52,1000000001,52,
52,s,Spot,53,1000000001,53,
53,s,Spot,54,1000000001,54,
54,s,Spot,55,1000000001,55,
55,s,Spot,56,1000000001,56,
56,s,Spot,57,1000000001,57,
57,s,Spot,58,1000000001,58,
58,s,Spot,59,1000000001,59,
59,s,Spot,60,1000000001,60,
60,s,Spot,61,1000000001,61,
61,s,Spot,62,1000000001,62,
62,s,Spot,63,1000000001,63,
63,s,Spot,64,1000000001,64,
64,s,Spot,65,1000000001,65,
65,s,Spot,66,1000000001,66,
66,s,Spot,67,1000000001,67,
67,s,Spot,68,1000000001,68,
68,s,Spot,69,1000000001,69,
69,s,Spot,70,1000000001,70,
70,s,Spot,71,1000000001,71,
71,s,Spot,72,1000000001,72,
72,s,Spot,73,1000000001,73,
73,s,Spot,74,1000000001,74,
74,s,Spot,75,1000000001,75,
75,s,Spot,76,1000000001,76,
76,s,Spot,77,1000000001,77,
77,s,Spot,78,1000000001,78,
