
Diameter Z
 ==================== 
Diameter Z,Unit,Category,Collection,Time,TrackID,ID,
4.77946,µm,Spot,Diameter,126,1000180357,180357,
4.77946,µm,Spot,Diameter,127,1000180357,180358,
4.77946,µm,Spot,Diameter,128,1000180357,180359,
4.77946,µm,Spot,Diameter,200,1000180364,180364,
4.77946,µm,Spot,Diameter,201,1000180364,180365,
4.77946,µm,Spot,Diameter,202,1000180364,180366,
4.77946,µm,Spot,Diameter,195,1000180367,180367,
4.77946,µm,Spot,Diameter,196,1000180367,180368,
4.77946,µm,Spot,Diameter,197,1000180367,180369,
4.77946,µm,Spot,Diameter,198,1000180367,180370,
4.77946,µm,Spot,Diameter,199,1000180367,180371,
4.77946,µm,Spot,Diameter,200,1000180367,180372,
4.77946,µm,Spot,Diameter,201,1000180367,180373,
4.77946,µm,Spot,Diameter,202,1000180367,180374,
4.77946,µm,Spot,Diameter,237,1000180375,180375,
4.77946,µm,Spot,Diameter,238,1000180375,180376,
4.77946,µm,Spot,Diameter,241,1000180377,180377,
4.77946,µm,Spot,Diameter,242,1000180377,180378,
4.77946,µm,Spot,Diameter,243,1000180377,180379,
4.77946,µm,Spot,Diameter,302,1000180380,180380,
4.77946,µm,Spot,Diameter,303,1000180380,180381,
4.77946,µm,Spot,Diameter,304,1000180380,180382,
4.77946,µm,Spot,Diameter,305,1000180380,180383,
4.77946,µm,Spot,Diameter,306,1000180380,180384,
4.77946,µm,Spot,Diameter,307,1000180380,180385,
4.77946,µm,Spot,Diameter,308,1000180380,180386,
4.77946,µm,Spot,Diameter,309,1000180380,180387,
4.77946,µm,Spot,Diameter,310,1000180380,180388,
