
Intensity Max Ch=1 Img=1
 ==================== 
Intensity Max,Unit,Category,Channel,Image,Time,TrackID,ID,
482,,Spot,1,Image 1,126,1000180357,180357,
500,,Spot,1,Image 1,127,1000180357,180358,
452,,Spot,1,Image 1,128,1000180357,180359,
590,,Spot,1,Image 1,200,1000180364,180364,
614,,Spot,1,Image 1,201,1000180364,180365,
536,,Spot,1,Image 1,202,1000180364,180366,
476,,Spot,1,Image 1,195,1000180367,180367,
424,,Spot,1,Image 1,196,1000180367,180368,
444,,Spot,1,Image 1,197,1000180367,180369,
444,,Spot,1,Image 1,198,1000180367,180370,
426,,Spot,1,Image 1,199,1000180367,180371,
430,,Spot,1,Image 1,200,1000180367,180372,
388,,Spot,1,Image 1,201,1000180367,180373,
494,,Spot,1,Image 1,202,1000180367,180374,
438,,Spot,1,Image 1,237,1000180375,180375,
412,,Spot,1,Image 1,238,1000180375,180376,
424,,Spot,1,Image 1,241,1000180377,180377,
468,,Spot,1,Image 1,242,1000180377,180378,
482,,Spot,1,Image 1,243,1000180377,180379,
466,,Spot,1,Image 1,302,1000180380,180380,
556,,Spot,1,Image 1,303,1000180380,180381,
598,,Spot,1,Image 1,304,1000180380,180382,
560,,Spot,1,Image 1,305,1000180380,180383,
538,,Spot,1,Image 1,306,1000180380,180384,
590,,Spot,1,Image 1,307,1000180380,180385,
586,,Spot,1,Image 1,308,1000180380,180386,
592,,Spot,1,Image 1,309,1000180380,180387,
520,,Spot,1,Image 1,310,1000180380,180388,
