
Intensity Mean Ch=2 Img=1
 ==================== 
Intensity Mean,Unit,Category,Channel,Image,Time,TrackID,ID,
213.997,,Spot,2,Image 1,126,1000180357,180357,
210.652,,Spot,2,Image 1,127,1000180357,180358,
213.72,,Spot,2,Image 1,128,1000180357,180359,
215.587,,Spot,2,Image 1,200,1000180364,180364,
215.434,,Spot,2,Image 1,201,1000180364,180365,
215.273,,Spot,2,Image 1,202,1000180364,180366,
215.258,,Spot,2,Image 1,195,1000180367,180367,
214.945,,Spot,2,Image 1,196,1000180367,180368,
215.398,,Spot,2,Image 1,197,1000180367,180369,
215.346,,Spot,2,Image 1,198,1000180367,180370,
217.847,,Spot,2,Image 1,199,1000180367,180371,
218.12,,Spot,2,Image 1,200,1000180367,180372,
218.414,,Spot,2,Image 1,201,1000180367,180373,
218.473,,Spot,2,Image 1,202,1000180367,180374,
216.478,,Spot,2,Image 1,237,1000180375,180375,
213.052,,Spot,2,Image 1,238,1000180375,180376,
213.38,,Spot,2,Image 1,241,1000180377,180377,
216.42,,Spot,2,Image 1,242,1000180377,180378,
216.01,,Spot,2,Image 1,243,1000180377,180379,
212.947,,Spot,2,Image 1,302,1000180380,180380,
216.484,,Spot,2,Image 1,303,1000180380,180381,
216.867,,Spot,2,Image 1,304,1000180380,180382,
216.767,,Spot,2,Image 1,305,1000180380,180383,
214.275,,Spot,2,Image 1,306,1000180380,180384,
214.125,,Spot,2,Image 1,307,1000180380,180385,
217.1,,Spot,2,Image 1,308,1000180380,180386,
217.205,,Spot,2,Image 1,309,1000180380,180387,
213.499,,Spot,2,Image 1,310,1000180380,180388,
