
Intensity Min Ch=1 Img=1
 ==================== 
Intensity Min,Unit,Category,Channel,Image,Time,TrackID,ID,
198,,Spot,1,Image 1,126,1000180357,180357,
198,,Spot,1,Image 1,127,1000180357,180358,
188,,Spot,1,Image 1,128,1000180357,180359,
184,,Spot,1,Image 1,200,1000180364,180364,
192,,Spot,1,Image 1,201,1000180364,180365,
200,,Spot,1,Image 1,202,1000180364,180366,
200,,Spot,1,Image 1,195,1000180367,180367,
174,,Spot,1,Image 1,196,1000180367,180368,
198,,Spot,1,Image 1,197,1000180367,180369,
194,,Spot,1,Image 1,198,1000180367,180370,
182,,Spot,1,Image 1,199,1000180367,180371,
168,,Spot,1,Image 1,200,1000180367,180372,
174,,Spot,1,Image 1,201,1000180367,180373,
208,,Spot,1,Image 1,202,1000180367,180374,
168,,Spot,1,Image 1,237,1000180375,180375,
182,,Spot,1,Image 1,238,1000180375,180376,
180,,Spot,1,Image 1,241,1000180377,180377,
198,,Spot,1,Image 1,242,1000180377,180378,
188,,Spot,1,Image 1,243,1000180377,180379,
206,,Spot,1,Image 1,302,1000180380,180380,
232,,Spot,1,Image 1,303,1000180380,180381,
258,,Spot,1,Image 1,304,1000180380,180382,
268,,Spot,1,Image 1,305,1000180380,180383,
252,,Spot,1,Image 1,306,1000180380,180384,
280,,Spot,1,Image 1,307,1000180380,180385,
230,,Spot,1,Image 1,308,1000180380,180386,
242,,Spot,1,Image 1,309,1000180380,180387,
240,,Spot,1,Image 1,310,1000180380,180388,
