
Position X
 ==================== 
Position X,Unit,Category,Collection,Time,TrackID,ID,
32.824,µm,Spot,Position,126,1000180357,180357,
32.896,µm,Spot,Position,127,1000180357,180358,
32.5857,µm,Spot,Position,128,1000180357,180359,
45.9364,µm,Spot,Position,200,1000180364,180364,
46.2131,µm,Spot,Position,201,1000180364,180365,
46.5467,µm,Spot,Position,202,1000180364,180366,
29.9088,µm,Spot,Position,195,1000180367,180367,
29.9167,µm,Spot,Position,196,1000180367,180368,
29.7379,µm,Spot,Position,197,1000180367,180369,
29.7946,µm,Spot,Position,198,1000180367,180370,
29.4935,µm,Spot,Position,199,1000180367,180371,
29.3976,µm,Spot,Position,200,1000180367,180372,
29.5068,µm,Spot,Position,201,1000180367,180373,
29.5991,µm,Spot,Position,202,1000180367,180374,
27.9,µm,Spot,Position,237,1000180375,180375,
28.14,µm,Spot,Position,238,1000180375,180376,
29.34,µm,Spot,Position,241,1000180377,180377,
29.34,µm,Spot,Position,242,1000180377,180378,
28.98,µm,Spot,Position,243,1000180377,180379,
42.1903,µm,Spot,Position,302,1000180380,180380,
41.7808,µm,Spot,Position,303,1000180380,180381,
41.9092,µm,Spot,Position,304,1000180380,180382,
41.9628,µm,Spot,Position,305,1000180380,180383,
41.6198,µm,Spot,Position,306,1000180380,180384,
41.3855,µm,Spot,Position,307,1000180380,180385,
40.6249,µm,Spot,Position,308,1000180380,180386,
40.85,µm,Spot,Position,309,1000180380,180387,
41.3573,µm,Spot,Position,310,1000180380,180388,
