
Position Z
 ==================== 
Position Z,Unit,Category,Collection,Time,TrackID,ID,
28.35,µm,Spot,Position,126,1000180357,180357,
28.35,µm,Spot,Position,127,1000180357,180358,
26.73,µm,Spot,Position,128,1000180357,180359,
27.27,µm,Spot,Position,200,1000180364,180364,
25.65,µm,Spot,Position,201,1000180364,180365,
28.35,µm,Spot,Position,202,1000180364,180366,
36.0777,µm,Spot,Position,195,1000180367,180367,
36.2214,µm,Spot,Position,196,1000180367,180368,
35.0089,µm,Spot,Position,197,1000180367,180369,
35.5278,µm,Spot,Position,198,1000180367,180370,
36.1026,µm,Spot,Position,199,1000180367,180371,
35.6996,µm,Spot,Position,200,1000180367,180372,
36.1095,µm,Spot,Position,201,1000180367,180373,
36.8783,µm,Spot,Position,202,1000180367,180374,
27.9414,µm,Spot,Position,237,1000180375,180375,
27.7996,µm,Spot,Position,238,1000180375,180376,
24.7162,µm,Spot,Position,241,1000180377,180377,
24.3453,µm,Spot,Position,242,1000180377,180378,
25.168,µm,Spot,Position,243,1000180377,180379,
31.9893,µm,Spot,Position,302,1000180380,180380,
33.2845,µm,Spot,Position,303,1000180380,180381,
32.4819,µm,Spot,Position,304,1000180380,180382,
32.4925,µm,Spot,Position,305,1000180380,180383,
32.039,µm,Spot,Position,306,1000180380,180384,
31.321,µm,Spot,Position,307,1000180380,180385,
32.6595,µm,Spot,Position,308,1000180380,180386,
32.2483,µm,Spot,Position,309,1000180380,180387,
30.2285,µm,Spot,Position,310,1000180380,180388,
