
Velocity Angle
 ==================== 
Velocity Angle X,Velocity Angle Y,Velocity Angle Z,Unit,Category,Collection,Time,TrackID,ID,
8.71401,81.2886,90.0027,°,Spot,Velocity Angle,126,1000180357,180357,
98.0359,106.203,161.823,°,Spot,Velocity Angle,127,1000180357,180358,
100.397,106.445,160.393,°,Spot,Velocity Angle,128,1000180357,180359,
87.5741,50.1933,39.9139,°,Spot,Velocity Angle,195,1000180367,180367,
99.0276,96.3294,168.953,°,Spot,Velocity Angle,196,1000180367,180368,
99.9892,90.0027,170.019,°,Spot,Velocity Angle,197,1000180367,180369,
99.5388,49.4173,42.1707,°,Spot,Velocity Angle,198,1000180367,180370,
134.864,50.2354,72.2189,°,Spot,Velocity Angle,199,1000180367,180371,
80.4041,82.1303,167.544,°,Spot,Velocity Angle,200,1000180364,180364,
88.7345,178.576,89.3428,°,Spot,Velocity Angle,200,1000180367,180372,
60.7916,82.759,30.2685,°,Spot,Velocity Angle,201,1000180364,180365,
81.3403,63.3551,28.2366,°,Spot,Velocity Angle,201,1000180367,180373,
82.961,91.4675,7.19391,°,Spot,Velocity Angle,202,1000180364,180366,
85.3689,42.6708,47.7072,°,Spot,Velocity Angle,202,1000180367,180374,
64.2443,30.3182,104.886,°,Spot,Velocity Angle,237,1000180375,180375,
64.2443,30.3182,104.886,°,Spot,Velocity Angle,238,1000180375,180376,
90.0027,158.098,111.91,°,Spot,Velocity Angle,241,1000180377,180377,
109.369,147.86,65.4146,°,Spot,Velocity Angle,242,1000180377,180378,
113.637,89.7959,23.6354,°,Spot,Velocity Angle,243,1000180377,180379,
106.515,109.465,25.9722,°,Spot,Velocity Angle,302,1000180380,180380,
107.859,141.776,57.4893,°,Spot,Velocity Angle,303,1000180380,180381,
77.0636,90.0027,167.066,°,Spot,Velocity Angle,304,1000180380,180382,
122.244,77.2221,144.728,°,Spot,Velocity Angle,305,1000180380,180383,
116.237,90.0027,153.771,°,Spot,Velocity Angle,306,1000180380,180384,
131.042,50.693,65.8341,°,Spot,Velocity Angle,307,1000180380,180385,
118.298,71.4188,34.8333,°,Spot,Velocity Angle,308,1000180380,180386,
73.3128,84.6025,162.415,°,Spot,Velocity Angle,309,1000180380,180387,
76.6937,70.9302,156.445,°,Spot,Velocity Angle,310,1000180380,180388,
