
Velocity Angle X
 ==================== 
Velocity Angle X,Unit,Category,Collection,Time,TrackID,ID,
8.71401,°,Spot,Velocity Angle,126,1000180357,180357,
98.0359,°,Spot,Velocity Angle,127,1000180357,180358,
100.397,°,Spot,Velocity Angle,128,1000180357,180359,
80.4041,°,Spot,Velocity Angle,200,1000180364,180364,
60.7916,°,Spot,Velocity Angle,201,1000180364,180365,
82.961,°,Spot,Velocity Angle,202,1000180364,180366,
87.5741,°,Spot,Velocity Angle,195,1000180367,180367,
99.0276,°,Spot,Velocity Angle,196,1000180367,180368,
99.9892,°,Spot,Velocity Angle,197,1000180367,180369,
99.5388,°,Spot,Velocity Angle,198,1000180367,180370,
134.864,°,Spot,Velocity Angle,199,1000180367,180371,
88.7345,°,Spot,Velocity Angle,200,1000180367,180372,
81.3403,°,Spot,Velocity Angle,201,1000180367,180373,
85.3689,°,Spot,Velocity Angle,202,1000180367,180374,
64.2443,°,Spot,Velocity Angle,237,1000180375,180375,
64.2443,°,Spot,Velocity Angle,238,1000180375,180376,
90.0027,°,Spot,Velocity Angle,241,1000180377,180377,
109.369,°,Spot,Velocity Angle,242,1000180377,180378,
113.637,°,Spot,Velocity Angle,243,1000180377,180379,
106.515,°,Spot,Velocity Angle,302,1000180380,180380,
107.859,°,Spot,Velocity Angle,303,1000180380,180381,
77.0636,°,Spot,Velocity Angle,304,1000180380,180382,
122.244,°,Spot,Velocity Angle,305,1000180380,180383,
116.237,°,Spot,Velocity Angle,306,1000180380,180384,
131.042,°,Spot,Velocity Angle,307,1000180380,180385,
118.298,°,Spot,Velocity Angle,308,1000180380,180386,
73.3128,°,Spot,Velocity Angle,309,1000180380,180387,
76.6937,°,Spot,Velocity Angle,310,1000180380,180388,
