
Displacement Delta
 ==================== 
Displacement Delta X,Displacement Delta Y,Displacement Delta Z,Unit,Category,Collection,Time,TrackID,ID,
0.120102,-2.4,-0.377693,µm,Spot,Displacement Delta,12,1000000051,51,
0.0708809,1.56,-0.292099,µm,Spot,Displacement Delta,13,1000000051,53,
-0.190983,0.840004,0.669792,µm,Spot,Displacement Delta,14,1000000051,55,
0.973709,1.92,0.714149,µm,Spot,Displacement Delta,15,1000000051,57,
-0.589684,0.959999,0.437302,µm,Spot,Displacement Delta,16,1000000051,59,
0.0165558,0.239998,-0.20401,µm,Spot,Displacement Delta,17,1000000051,61,
-0.603008,0.84,-1.31429,µm,Spot,Displacement Delta,18,1000000051,63,
0.813412,-0.719997,1.27283,µm,Spot,Displacement Delta,19,1000000051,64,
-0.0642929,0.959999,-0.421288,µm,Spot,Displacement Delta,20,1000000051,65,
-0.350414,-0.720001,0.346451,µm,Spot,Displacement Delta,21,1000000051,66,
-0.444157,0.720001,0.459053,µm,Spot,Displacement Delta,22,1000000051,67,
-0.341442,0.119999,0.622551,µm,Spot,Displacement Delta,23,1000000051,68,
-0.320583,0.322422,0.976023,µm,Spot,Displacement Delta,24,1000000051,69,
0.609287,-0.682423,-0.689844,µm,Spot,Displacement Delta,25,1000000051,70,
-0.303509,0.240002,0.115608,µm,Spot,Displacement Delta,26,1000000051,71,
0.50211,-0.119999,-0.787117,µm,Spot,Displacement Delta,27,1000000051,72,
-0.131447,0.239998,0.439072,µm,Spot,Displacement Delta,28,1000000051,73,
-0.882996,0.766663,1.46228,µm,Spot,Displacement Delta,29,1000000051,74,
0.319256,-0.176701,1.08,µm,Spot,Displacement Delta,30,1000000051,75,
-0.0555267,-0.158043,-0.540001,µm,Spot,Displacement Delta,31,1000000051,76,
1.28618,0.888081,1.23657,µm,Spot,Displacement Delta,32,1000000051,77,
0,0,0,µm,Spot,Displacement Delta,74,1000000078,78,
0.360001,-0.369087,0.907043,µm,Spot,Displacement Delta,75,1000000078,79,
0.24,-0.0147095,-0.21788,µm,Spot,Displacement Delta,76,1000000078,80,
-0.599998,-0.17561,0.301926,µm,Spot,Displacement Delta,76,1000000115,115,
-0.24,0.0529213,-0.544952,µm,Spot,Displacement Delta,77,1000000078,116,
-0.480001,0.198868,0.508469,µm,Spot,Displacement Delta,77,1000000115,117,
0.359999,0.0897484,0.292908,µm,Spot,Displacement Delta,78,1000000078,118,
0.360001,0.874191,-0.847961,µm,Spot,Displacement Delta,78,1000000115,119,
1.2,-1.17603,0.874405,µm,Spot,Displacement Delta,79,1000000078,120,
0.141872,0.193642,-0.629547,µm,Spot,Displacement Delta,79,1000000115,121,
-0.6,-0.896557,-0.768616,µm,Spot,Displacement Delta,80,1000000078,122,
-1.08147,1.44,-0.976669,µm,Spot,Displacement Delta,80,1000000115,123,
0.480001,-1.34209,0.624001,µm,Spot,Displacement Delta,81,1000000078,124,
1.12749,0.84,1.19101,µm,Spot,Displacement Delta,81,1000000115,125,
0,-1.22137,-0.374268,µm,Spot,Displacement Delta,82,1000000078,126,
-0.905411,0.720001,-0.500534,µm,Spot,Displacement Delta,82,1000000115,127,
0.359999,-0.499001,-0.392403,µm,Spot,Displacement Delta,83,1000000078,128,
-0.632851,1.32,1.10886,µm,Spot,Displacement Delta,83,1000000115,129,
0.48,0.524807,-1.58284,µm,Spot,Displacement Delta,84,1000000078,130,
-1.04963,1.63604,0.336014,µm,Spot,Displacement Delta,84,1000000115,131,
-0.599998,-2.28227,0.57869,µm,Spot,Displacement Delta,85,1000000078,132,
0,0.925575,-0.168854,µm,Spot,Displacement Delta,85,1000000115,133,
-1.44,0.283905,1.36942,µm,Spot,Displacement Delta,86,1000000115,141,
1.32,-0.792095,0.099823,µm,Spot,Displacement Delta,86,1000000078,142,
0.120001,0.0864487,0.311691,µm,Spot,Displacement Delta,87,1000000115,143,
0.48,0.285545,-0.228073,µm,Spot,Displacement Delta,87,1000000078,144,
-7.99869,4.74028,-8.76174,µm,Spot,Displacement Delta,88,1000000115,145,
-1.2,-1.05744,0.812622,µm,Spot,Displacement Delta,88,1000000078,146,
-7.40536,4.16414,-7.85616,µm,Spot,Displacement Delta,89,1000000115,147,
0.84,0.369236,-0.105667,µm,Spot,Displacement Delta,89,1000000078,148,
-6.46063,3.28882,-7.97847,µm,Spot,Displacement Delta,90,1000000115,149,
0.84,-0.334389,-0.844528,µm,Spot,Displacement Delta,90,1000000078,150,
-6.07731,2.80737,-6.45215,µm,Spot,Displacement Delta,91,1000000115,151,
0.360001,0.40662,-0.442398,µm,Spot,Displacement Delta,91,1000000078,152,
-5.96133,2.925,-4.96417,µm,Spot,Displacement Delta,92,1000000115,153,
1.32,-0.292866,-0.313812,µm,Spot,Displacement Delta,92,1000000078,154,
-5.11429,1.94101,-4.28034,µm,Spot,Displacement Delta,93,1000000115,155,
-0.6,-0.885639,0.693085,µm,Spot,Displacement Delta,93,1000000078,156,
-3.39177,2.53141,-4.75502,µm,Spot,Displacement Delta,94,1000000115,157,
-4.3778,2.10374,-4.61338,µm,Spot,Displacement Delta,95,1000000115,158,
-4.30267,1.11408,-3.59363,µm,Spot,Displacement Delta,96,1000000115,159,
-4.26154,1.38198,-3.46925,µm,Spot,Displacement Delta,97,1000000115,160,
-3.86914,1.04036,-3.72333,µm,Spot,Displacement Delta,98,1000000115,161,
-3.41485,0.907379,1.50306,µm,Spot,Displacement Delta,99,1000000115,162,
-1.43506,0.0983582,-2.43975,µm,Spot,Displacement Delta,100,1000000115,163,
-0.564957,0.490334,-2.24889,µm,Spot,Displacement Delta,101,1000000115,164,
-1.02417,-1.26269,-2.08434,µm,Spot,Displacement Delta,102,1000000115,165,
5.73207,-12.6571,4.05793,µm,Spot,Displacement Delta,103,1000000115,166,
0.692101,0.320663,0,µm,Spot,Displacement Delta,104,1000000115,167,
0.684956,0.713631,2.08434,µm,Spot,Displacement Delta,105,1000000115,168,
0.715061,-0.671524,2.24889,µm,Spot,Displacement Delta,106,1000000115,169,
3.05485,-0.90382,-2.42025,µm,Spot,Displacement Delta,107,1000000115,170,
3.74914,-0.637299,3.35694,µm,Spot,Displacement Delta,108,1000000115,171,
4.02154,-1.05318,3.18333,µm,Spot,Displacement Delta,109,1000000115,172,
4.90266,-1.49029,4.00925,µm,Spot,Displacement Delta,110,1000000115,173,
4.6178,-1.12537,4.13363,µm,Spot,Displacement Delta,111,1000000115,174,
4.1243,-2.1918,4.61338,µm,Spot,Displacement Delta,112,1000000115,175,
