
Distance To Nearest Neighbour
 ==================== 
Distance To Nearest Neighbour,Unit,Category,Time,TrackID,ID,
7.03196,µm,Spot,76,1000000078,80,
7.03196,µm,Spot,76,1000000115,115,
6.33764,µm,Spot,77,1000000078,116,
6.33764,µm,Spot,77,1000000115,117,
6.9021,µm,Spot,78,1000000078,118,
6.9021,µm,Spot,78,1000000115,119,
7.87658,µm,Spot,79,1000000078,120,
7.87658,µm,Spot,79,1000000115,121,
6.6862,µm,Spot,80,1000000078,122,
6.6862,µm,Spot,80,1000000115,123,
6.006,µm,Spot,81,1000000078,124,
6.006,µm,Spot,81,1000000115,125,
7.43478,µm,Spot,82,1000000078,126,
7.43478,µm,Spot,82,1000000115,127,
6.40731,µm,Spot,83,1000000078,128,
6.40731,µm,Spot,83,1000000115,129,
5.78304,µm,Spot,84,1000000078,130,
5.78304,µm,Spot,84,1000000115,131,
5.36183,µm,Spot,85,1000000078,132,
5.36183,µm,Spot,85,1000000115,133,
6.11417,µm,Spot,86,1000000115,141,
6.11417,µm,Spot,86,1000000078,142,
6.45448,µm,Spot,87,1000000115,143,
6.45448,µm,Spot,87,1000000078,144,
7.07293,µm,Spot,88,1000000115,145,
7.07293,µm,Spot,88,1000000078,146,
6.93385,µm,Spot,89,1000000115,147,
6.93385,µm,Spot,89,1000000078,148,
7.02185,µm,Spot,90,1000000115,149,
7.02185,µm,Spot,90,1000000078,150,
6.29686,µm,Spot,91,1000000115,151,
6.29686,µm,Spot,91,1000000078,152,
7.02871,µm,Spot,92,1000000115,153,
7.02871,µm,Spot,92,1000000078,154,
6.37613,µm,Spot,93,1000000115,155,
6.37613,µm,Spot,93,1000000078,156,
12.9412,µm,Spot,169,1000000182,192,
12.9412,µm,Spot,169,1000000193,193,
12.9285,µm,Spot,170,1000000182,194,
12.9285,µm,Spot,170,1000000193,195,
12.5458,µm,Spot,171,1000000182,196,
12.5458,µm,Spot,171,1000000193,197,
11.1358,µm,Spot,172,1000000182,198,
11.1358,µm,Spot,172,1000000193,199,
9.13556,µm,Spot,173,1000000182,200,
9.13556,µm,Spot,173,1000000193,201,
9.89298,µm,Spot,174,1000000182,202,
9.89298,µm,Spot,174,1000000193,203,
10.5791,µm,Spot,175,1000000182,204,
10.5791,µm,Spot,175,1000000193,205,
10.6947,µm,Spot,176,1000000182,206,
10.6947,µm,Spot,176,1000000193,207,
11.8671,µm,Spot,177,1000000182,208,
11.8671,µm,Spot,177,1000000193,209,
11.1153,µm,Spot,178,1000000182,210,
11.1153,µm,Spot,178,1000000193,211,
10.4458,µm,Spot,179,1000000182,212,
10.4458,µm,Spot,179,1000000193,213,
10.8754,µm,Spot,180,1000000182,214,
10.8754,µm,Spot,180,1000000193,215,
10.5655,µm,Spot,181,1000000182,216,
10.5655,µm,Spot,181,1000000193,217,
