
Intensity Center Ch=2 Img=1
 ==================== 
Intensity Center,Unit,Category,Channel,Image,Time,TrackID,ID,
220,,Spot,2,Image 1,12,1000000051,51,
234,,Spot,2,Image 1,13,1000000051,53,
222,,Spot,2,Image 1,14,1000000051,55,
244,,Spot,2,Image 1,15,1000000051,57,
220,,Spot,2,Image 1,16,1000000051,59,
206,,Spot,2,Image 1,17,1000000051,61,
230,,Spot,2,Image 1,18,1000000051,63,
212,,Spot,2,Image 1,19,1000000051,64,
214,,Spot,2,Image 1,20,1000000051,65,
228,,Spot,2,Image 1,21,1000000051,66,
222,,Spot,2,Image 1,22,1000000051,67,
208,,Spot,2,Image 1,23,1000000051,68,
212,,Spot,2,Image 1,24,1000000051,69,
204,,Spot,2,Image 1,25,1000000051,70,
218,,Spot,2,Image 1,26,1000000051,71,
220,,Spot,2,Image 1,27,1000000051,72,
220,,Spot,2,Image 1,28,1000000051,73,
204,,Spot,2,Image 1,29,1000000051,74,
222,,Spot,2,Image 1,30,1000000051,75,
220,,Spot,2,Image 1,31,1000000051,76,
222,,Spot,2,Image 1,32,1000000051,77,
214,,Spot,2,Image 1,74,1000000078,78,
222,,Spot,2,Image 1,75,1000000078,79,
206,,Spot,2,Image 1,76,1000000078,80,
214,,Spot,2,Image 1,76,1000000115,115,
214,,Spot,2,Image 1,77,1000000078,116,
210,,Spot,2,Image 1,77,1000000115,117,
222,,Spot,2,Image 1,78,1000000078,118,
216,,Spot,2,Image 1,78,1000000115,119,
220,,Spot,2,Image 1,79,1000000078,120,
214,,Spot,2,Image 1,79,1000000115,121,
240,,Spot,2,Image 1,80,1000000078,122,
218,,Spot,2,Image 1,80,1000000115,123,
224,,Spot,2,Image 1,81,1000000078,124,
206,,Spot,2,Image 1,81,1000000115,125,
220,,Spot,2,Image 1,82,1000000078,126,
206,,Spot,2,Image 1,82,1000000115,127,
226,,Spot,2,Image 1,83,1000000078,128,
214,,Spot,2,Image 1,83,1000000115,129,
222,,Spot,2,Image 1,84,1000000078,130,
224,,Spot,2,Image 1,84,1000000115,131,
230,,Spot,2,Image 1,85,1000000078,132,
224,,Spot,2,Image 1,85,1000000115,133,
214,,Spot,2,Image 1,86,1000000115,141,
216,,Spot,2,Image 1,86,1000000078,142,
218,,Spot,2,Image 1,87,1000000115,143,
232,,Spot,2,Image 1,87,1000000078,144,
178,,Spot,2,Image 1,88,1000000115,145,
222,,Spot,2,Image 1,88,1000000078,146,
244,,Spot,2,Image 1,89,1000000115,147,
224,,Spot,2,Image 1,89,1000000078,148,
214,,Spot,2,Image 1,90,1000000115,149,
220,,Spot,2,Image 1,90,1000000078,150,
224,,Spot,2,Image 1,91,1000000115,151,
230,,Spot,2,Image 1,91,1000000078,152,
224,,Spot,2,Image 1,92,1000000115,153,
226,,Spot,2,Image 1,92,1000000078,154,
224,,Spot,2,Image 1,93,1000000115,155,
228,,Spot,2,Image 1,93,1000000078,156,
206,,Spot,2,Image 1,94,1000000115,157,
210,,Spot,2,Image 1,95,1000000115,158,
212,,Spot,2,Image 1,96,1000000115,159,
222,,Spot,2,Image 1,97,1000000115,160,
210,,Spot,2,Image 1,98,1000000115,161,
