
Intensity Mean Ch=2 Img=1
 ==================== 
Intensity Mean,Unit,Category,Channel,Image,Time,TrackID,ID,
220.049,,Spot,2,Image 1,12,1000000051,51,
217.989,,Spot,2,Image 1,13,1000000051,53,
220.66,,Spot,2,Image 1,14,1000000051,55,
222.396,,Spot,2,Image 1,15,1000000051,57,
221.611,,Spot,2,Image 1,16,1000000051,59,
222.151,,Spot,2,Image 1,17,1000000051,61,
216.718,,Spot,2,Image 1,18,1000000051,63,
216.789,,Spot,2,Image 1,19,1000000051,64,
221.006,,Spot,2,Image 1,20,1000000051,65,
218.148,,Spot,2,Image 1,21,1000000051,66,
220.926,,Spot,2,Image 1,22,1000000051,67,
217.607,,Spot,2,Image 1,23,1000000051,68,
221.513,,Spot,2,Image 1,24,1000000051,69,
216.744,,Spot,2,Image 1,25,1000000051,70,
215.98,,Spot,2,Image 1,26,1000000051,71,
219.07,,Spot,2,Image 1,27,1000000051,72,
216.5,,Spot,2,Image 1,28,1000000051,73,
218.026,,Spot,2,Image 1,29,1000000051,74,
221.995,,Spot,2,Image 1,30,1000000051,75,
221.988,,Spot,2,Image 1,31,1000000051,76,
224.839,,Spot,2,Image 1,32,1000000051,77,
212.967,,Spot,2,Image 1,74,1000000078,78,
212.728,,Spot,2,Image 1,75,1000000078,79,
212.921,,Spot,2,Image 1,76,1000000078,80,
214.181,,Spot,2,Image 1,76,1000000115,115,
213.243,,Spot,2,Image 1,77,1000000078,116,
213.972,,Spot,2,Image 1,77,1000000115,117,
217.605,,Spot,2,Image 1,78,1000000078,118,
217.654,,Spot,2,Image 1,78,1000000115,119,
220.683,,Spot,2,Image 1,79,1000000078,120,
214.284,,Spot,2,Image 1,79,1000000115,121,
240.179,,Spot,2,Image 1,80,1000000078,122,
217.531,,Spot,2,Image 1,80,1000000115,123,
229.675,,Spot,2,Image 1,81,1000000078,124,
215.093,,Spot,2,Image 1,81,1000000115,125,
222.277,,Spot,2,Image 1,82,1000000078,126,
214.361,,Spot,2,Image 1,82,1000000115,127,
227.794,,Spot,2,Image 1,83,1000000078,128,
215.323,,Spot,2,Image 1,83,1000000115,129,
235.955,,Spot,2,Image 1,84,1000000078,130,
215.42,,Spot,2,Image 1,84,1000000115,131,
230.994,,Spot,2,Image 1,85,1000000078,132,
215.71,,Spot,2,Image 1,85,1000000115,133,
215.671,,Spot,2,Image 1,86,1000000115,141,
228.195,,Spot,2,Image 1,86,1000000078,142,
218.813,,Spot,2,Image 1,87,1000000115,143,
233.217,,Spot,2,Image 1,87,1000000078,144,
215.544,,Spot,2,Image 1,88,1000000115,145,
227.259,,Spot,2,Image 1,88,1000000078,146,
218.913,,Spot,2,Image 1,89,1000000115,147,
233.768,,Spot,2,Image 1,89,1000000078,148,
215.548,,Spot,2,Image 1,90,1000000115,149,
229.809,,Spot,2,Image 1,90,1000000078,150,
215.506,,Spot,2,Image 1,91,1000000115,151,
239.661,,Spot,2,Image 1,91,1000000078,152,
215.305,,Spot,2,Image 1,92,1000000115,153,
230.717,,Spot,2,Image 1,92,1000000078,154,
218.968,,Spot,2,Image 1,93,1000000115,155,
238.02,,Spot,2,Image 1,93,1000000078,156,
216.004,,Spot,2,Image 1,94,1000000115,157,
215.114,,Spot,2,Image 1,95,1000000115,158,
214.46,,Spot,2,Image 1,96,1000000115,159,
218.79,,Spot,2,Image 1,97,1000000115,160,
218.715,,Spot,2,Image 1,98,1000000115,161,
214.682,,Spot,2,Image 1,99,1000000115,162,
218.107,,Spot,2,Image 1,100,1000000115,163,
219.157,,Spot,2,Image 1,101,1000000115,164,
215.213,,Spot,2,Image 1,102,1000000115,165,
219.086,,Spot,2,Image 1,103,1000000115,166,
219.599,,Spot,2,Image 1,104,1000000115,167,
215.401,,Spot,2,Image 1,105,1000000115,168,
218.942,,Spot,2,Image 1,106,1000000115,169,
216.328,,Spot,2,Image 1,107,1000000115,170,
218.329,,Spot,2,Image 1,108,1000000115,171,
215.007,,Spot,2,Image 1,109,1000000115,172,
214.626,,Spot,2,Image 1,110,1000000115,173,
218.609,,Spot,2,Image 1,111,1000000115,174,
218.533,,Spot,2,Image 1,112,1000000115,175,
218.266,,Spot,2,Image 1,113,1000000115,176,
214.611,,Spot,2,Image 1,114,1000000115,177,
218.994,,Spot,2,Image 1,115,1000000115,178,
215.635,,Spot,2,Image 1,116,1000000115,179,
216.434,,Spot,2,Image 1,117,1000000115,180,
216.531,,Spot,2,Image 1,118,1000000115,181,
214.973,,Spot,2,Image 1,159,1000000182,182,
214.475,,Spot,2,Image 1,160,1000000182,183,
217.485,,Spot,2,Image 1,161,1000000182,184,
214.075,,Spot,2,Image 1,162,1000000182,185,
213.683,,Spot,2,Image 1,163,1000000182,186,
217.132,,Spot,2,Image 1,164,1000000182,187,
217.656,,Spot,2,Image 1,165,1000000182,188,
217.407,,Spot,2,Image 1,166,1000000182,189,
214.424,,Spot,2,Image 1,167,1000000182,190,
213.964,,Spot,2,Image 1,168,1000000182,191,
217.528,,Spot,2,Image 1,169,1000000182,192,
219.67,,Spot,2,Image 1,169,1000000193,193,
214.142,,Spot,2,Image 1,170,1000000182,194,
216.532,,Spot,2,Image 1,170,1000000193,195,
214.557,,Spot,2,Image 1,171,1000000182,196,
215.81,,Spot,2,Image 1,171,1000000193,197,
214.841,,Spot,2,Image 1,172,1000000182,198,
217.007,,Spot,2,Image 1,172,1000000193,199,
220.67,,Spot,2,Image 1,173,1000000182,200,
221.053,,Spot,2,Image 1,173,1000000193,201,
220.053,,Spot,2,Image 1,174,1000000182,202,
219.518,,Spot,2,Image 1,174,1000000193,203,
220.516,,Spot,2,Image 1,175,1000000182,204,
219.665,,Spot,2,Image 1,175,1000000193,205,
216.169,,Spot,2,Image 1,176,1000000182,206,
216.055,,Spot,2,Image 1,176,1000000193,207,
217.012,,Spot,2,Image 1,177,1000000182,208,
217.127,,Spot,2,Image 1,177,1000000193,209,
219.3,,Spot,2,Image 1,178,1000000182,210,
220.278,,Spot,2,Image 1,178,1000000193,211,
216.117,,Spot,2,Image 1,179,1000000182,212,
218.336,,Spot,2,Image 1,179,1000000193,213,
219.951,,Spot,2,Image 1,180,1000000182,214,
220.251,,Spot,2,Image 1,180,1000000193,215,
216.31,,Spot,2,Image 1,181,1000000182,216,
217.542,,Spot,2,Image 1,181,1000000193,217,
219.826,,Spot,2,Image 1,182,1000000193,218,
220.16,,Spot,2,Image 1,183,1000000193,219,
218.021,,Spot,2,Image 1,184,1000000193,220,
217.976,,Spot,2,Image 1,185,1000000193,221,
218.009,,Spot,2,Image 1,186,1000000193,222,
219.38,,Spot,2,Image 1,187,1000000193,223,
218.624,,Spot,2,Image 1,188,1000000193,224,
222.337,,Spot,2,Image 1,189,1000000193,225,
226.028,,Spot,2,Image 1,190,1000000193,226,
219.845,,Spot,2,Image 1,191,1000000193,227,
221.083,,Spot,2,Image 1,192,1000000193,228,
223.797,,Spot,2,Image 1,193,1000000193,229,
225.086,,Spot,2,Image 1,194,1000000193,230,
224.992,,Spot,2,Image 1,195,1000000193,231,
220.936,,Spot,2,Image 1,229,1000000232,232,
219.162,,Spot,2,Image 1,230,1000000232,233,
215.65,,Spot,2,Image 1,231,1000000232,234,
215.925,,Spot,2,Image 1,232,1000000232,235,
