
Intensity Min Ch=2 Img=1
 ==================== 
Intensity Min,Unit,Category,Channel,Image,Time,TrackID,ID,
180,,Spot,2,Image 1,12,1000000051,51,
180,,Spot,2,Image 1,13,1000000051,53,
188,,Spot,2,Image 1,14,1000000051,55,
178,,Spot,2,Image 1,15,1000000051,57,
174,,Spot,2,Image 1,16,1000000051,59,
168,,Spot,2,Image 1,17,1000000051,61,
178,,Spot,2,Image 1,18,1000000051,63,
168,,Spot,2,Image 1,19,1000000051,64,
174,,Spot,2,Image 1,20,1000000051,65,
188,,Spot,2,Image 1,21,1000000051,66,
180,,Spot,2,Image 1,22,1000000051,67,
178,,Spot,2,Image 1,23,1000000051,68,
184,,Spot,2,Image 1,24,1000000051,69,
178,,Spot,2,Image 1,25,1000000051,70,
178,,Spot,2,Image 1,26,1000000051,71,
178,,Spot,2,Image 1,27,1000000051,72,
180,,Spot,2,Image 1,28,1000000051,73,
178,,Spot,2,Image 1,29,1000000051,74,
168,,Spot,2,Image 1,30,1000000051,75,
176,,Spot,2,Image 1,31,1000000051,76,
174,,Spot,2,Image 1,32,1000000051,77,
178,,Spot,2,Image 1,74,1000000078,78,
182,,Spot,2,Image 1,75,1000000078,79,
180,,Spot,2,Image 1,76,1000000078,80,
178,,Spot,2,Image 1,76,1000000115,115,
180,,Spot,2,Image 1,77,1000000078,116,
180,,Spot,2,Image 1,77,1000000115,117,
178,,Spot,2,Image 1,78,1000000078,118,
168,,Spot,2,Image 1,78,1000000115,119,
178,,Spot,2,Image 1,79,1000000078,120,
178,,Spot,2,Image 1,79,1000000115,121,
174,,Spot,2,Image 1,80,1000000078,122,
176,,Spot,2,Image 1,80,1000000115,123,
174,,Spot,2,Image 1,81,1000000078,124,
178,,Spot,2,Image 1,81,1000000115,125,
180,,Spot,2,Image 1,82,1000000078,126,
178,,Spot,2,Image 1,82,1000000115,127,
170,,Spot,2,Image 1,83,1000000078,128,
176,,Spot,2,Image 1,83,1000000115,129,
156,,Spot,2,Image 1,84,1000000078,130,
180,,Spot,2,Image 1,84,1000000115,131,
172,,Spot,2,Image 1,85,1000000078,132,
180,,Spot,2,Image 1,85,1000000115,133,
176,,Spot,2,Image 1,86,1000000115,141,
178,,Spot,2,Image 1,86,1000000078,142,
178,,Spot,2,Image 1,87,1000000115,143,
154,,Spot,2,Image 1,87,1000000078,144,
178,,Spot,2,Image 1,88,1000000115,145,
170,,Spot,2,Image 1,88,1000000078,146,
178,,Spot,2,Image 1,89,1000000115,147,
158,,Spot,2,Image 1,89,1000000078,148,
180,,Spot,2,Image 1,90,1000000115,149,
180,,Spot,2,Image 1,90,1000000078,150,
178,,Spot,2,Image 1,91,1000000115,151,
174,,Spot,2,Image 1,91,1000000078,152,
180,,Spot,2,Image 1,92,1000000115,153,
190,,Spot,2,Image 1,92,1000000078,154,
168,,Spot,2,Image 1,93,1000000115,155,
168,,Spot,2,Image 1,93,1000000078,156,
184,,Spot,2,Image 1,94,1000000115,157,
168,,Spot,2,Image 1,95,1000000115,158,
180,,Spot,2,Image 1,96,1000000115,159,
176,,Spot,2,Image 1,97,1000000115,160,
178,,Spot,2,Image 1,98,1000000115,161,
178,,Spot,2,Image 1,99,1000000115,162,
170,,Spot,2,Image 1,100,1000000115,163,
174,,Spot,2,Image 1,101,1000000115,164,
148,,Spot,2,Image 1,102,1000000115,165,
174,,Spot,2,Image 1,103,1000000115,166,
170,,Spot,2,Image 1,104,1000000115,167,
180,,Spot,2,Image 1,105,1000000115,168,
170,,Spot,2,Image 1,106,1000000115,169,
