
Intensity StdDev Ch=1 Img=1
 ==================== 
Intensity StdDev,Unit,Category,Channel,Image,Time,TrackID,ID,
89.4559,,Spot,1,Image 1,12,1000000051,51,
84.4705,,Spot,1,Image 1,13,1000000051,53,
122.876,,Spot,1,Image 1,14,1000000051,55,
94.6799,,Spot,1,Image 1,15,1000000051,57,
87.6848,,Spot,1,Image 1,16,1000000051,59,
87.2631,,Spot,1,Image 1,17,1000000051,61,
61.7645,,Spot,1,Image 1,18,1000000051,63,
75.0923,,Spot,1,Image 1,19,1000000051,64,
55.7692,,Spot,1,Image 1,20,1000000051,65,
74.3374,,Spot,1,Image 1,21,1000000051,66,
56.1574,,Spot,1,Image 1,22,1000000051,67,
66.8961,,Spot,1,Image 1,23,1000000051,68,
77.9148,,Spot,1,Image 1,24,1000000051,69,
80.6346,,Spot,1,Image 1,25,1000000051,70,
74.6202,,Spot,1,Image 1,26,1000000051,71,
56.7455,,Spot,1,Image 1,27,1000000051,72,
56.8932,,Spot,1,Image 1,28,1000000051,73,
64.962,,Spot,1,Image 1,29,1000000051,74,
64.3019,,Spot,1,Image 1,30,1000000051,75,
56.3847,,Spot,1,Image 1,31,1000000051,76,
50.3384,,Spot,1,Image 1,32,1000000051,77,
72.2014,,Spot,1,Image 1,74,1000000078,78,
71.6818,,Spot,1,Image 1,75,1000000078,79,
79.4655,,Spot,1,Image 1,76,1000000078,80,
68.802,,Spot,1,Image 1,76,1000000115,115,
79.6475,,Spot,1,Image 1,77,1000000078,116,
77.7465,,Spot,1,Image 1,77,1000000115,117,
81.0943,,Spot,1,Image 1,78,1000000078,118,
42.8764,,Spot,1,Image 1,78,1000000115,119,
82.08,,Spot,1,Image 1,79,1000000078,120,
61.5075,,Spot,1,Image 1,79,1000000115,121,
77.302,,Spot,1,Image 1,80,1000000078,122,
48.132,,Spot,1,Image 1,80,1000000115,123,
75.4114,,Spot,1,Image 1,81,1000000078,124,
55.0877,,Spot,1,Image 1,81,1000000115,125,
63.0831,,Spot,1,Image 1,82,1000000078,126,
66.3266,,Spot,1,Image 1,82,1000000115,127,
55.2136,,Spot,1,Image 1,83,1000000078,128,
78.0752,,Spot,1,Image 1,83,1000000115,129,
63.4957,,Spot,1,Image 1,84,1000000078,130,
59.4062,,Spot,1,Image 1,84,1000000115,131,
60.1162,,Spot,1,Image 1,85,1000000078,132,
54.0272,,Spot,1,Image 1,85,1000000115,133,
55.7173,,Spot,1,Image 1,86,1000000115,141,
48.1747,,Spot,1,Image 1,86,1000000078,142,
61.9369,,Spot,1,Image 1,87,1000000115,143,
47.3105,,Spot,1,Image 1,87,1000000078,144,
57.2088,,Spot,1,Image 1,88,1000000115,145,
48.8814,,Spot,1,Image 1,88,1000000078,146,
64.0074,,Spot,1,Image 1,89,1000000115,147,
65.3236,,Spot,1,Image 1,89,1000000078,148,
73.695,,Spot,1,Image 1,90,1000000115,149,
60.3457,,Spot,1,Image 1,90,1000000078,150,
47.2533,,Spot,1,Image 1,91,1000000115,151,
72.141,,Spot,1,Image 1,91,1000000078,152,
64.5667,,Spot,1,Image 1,92,1000000115,153,
41.0047,,Spot,1,Image 1,92,1000000078,154,
54.7092,,Spot,1,Image 1,93,1000000115,155,
74.8885,,Spot,1,Image 1,93,1000000078,156,
54.2332,,Spot,1,Image 1,94,1000000115,157,
52.8507,,Spot,1,Image 1,95,1000000115,158,
61.8416,,Spot,1,Image 1,96,1000000115,159,
47.5178,,Spot,1,Image 1,97,1000000115,160,
49.8989,,Spot,1,Image 1,98,1000000115,161,
61.6128,,Spot,1,Image 1,99,1000000115,162,
59.2794,,Spot,1,Image 1,100,1000000115,163,
61.8257,,Spot,1,Image 1,101,1000000115,164,
66.406,,Spot,1,Image 1,102,1000000115,165,
69.1435,,Spot,1,Image 1,103,1000000115,166,
69.8864,,Spot,1,Image 1,104,1000000115,167,
72.6199,,Spot,1,Image 1,105,1000000115,168,
63.2695,,Spot,1,Image 1,106,1000000115,169,
70.7042,,Spot,1,Image 1,107,1000000115,170,
57.6064,,Spot,1,Image 1,108,1000000115,171,
60.9573,,Spot,1,Image 1,109,1000000115,172,
60.9498,,Spot,1,Image 1,110,1000000115,173,
68.7577,,Spot,1,Image 1,111,1000000115,174,
46.4242,,Spot,1,Image 1,112,1000000115,175,
47.0562,,Spot,1,Image 1,113,1000000115,176,
46.5136,,Spot,1,Image 1,114,1000000115,177,
47.9428,,Spot,1,Image 1,115,1000000115,178,
