
Time
 ==================== 
Time,Unit,Category,Time,TrackID,ID,
11,s,Spot,12,1000000051,51,
12,s,Spot,13,1000000051,53,
13,s,Spot,14,1000000051,55,
14,s,Spot,15,1000000051,57,
15,s,Spot,16,1000000051,59,
16,s,Spot,17,1000000051,61,
17,s,Spot,18,1000000051,63,
18,s,Spot,19,1000000051,64,
19,s,Spot,20,1000000051,65,
20,s,Spot,21,1000000051,66,
21,s,Spot,22,1000000051,67,
22,s,Spot,23,1000000051,68,
23,s,Spot,24,1000000051,69,
24,s,Spot,25,1000000051,70,
25,s,Spot,26,1000000051,71,
26,s,Spot,27,1000000051,72,
27,s,Spot,28,1000000051,73,
28,s,Spot,29,1000000051,74,
29,s,Spot,30,1000000051,75,
30,s,Spot,31,1000000051,76,
31,s,Spot,32,1000000051,77,
73,s,Spot,74,1000000078,78,
74,s,Spot,75,1000000078,79,
75,s,Spot,76,1000000078,80,
75,s,Spot,76,1000000115,115,
76,s,Spot,77,1000000078,116,
76,s,Spot,77,1000000115,117,
77,s,Spot,78,1000000078,118,
77,s,Spot,78,1000000115,119,
78,s,Spot,79,1000000078,120,
78,s,Spot,79,1000000115,121,
79,s,Spot,80,1000000078,122,
79,s,Spot,80,1000000115,123,
80,s,Spot,81,1000000078,124,
80,s,Spot,81,1000000115,125,
81,s,Spot,82,1000000078,126,
81,s,Spot,82,1000000115,127,
82,s,Spot,83,1000000078,128,
82,s,Spot,83,1000000115,129,
83,s,Spot,84,1000000078,130,
83,s,Spot,84,1000000115,131,
84,s,Spot,85,1000000078,132,
84,s,Spot,85,1000000115,133,
85,s,Spot,86,1000000115,141,
85,s,Spot,86,1000000078,142,
86,s,Spot,87,1000000115,143,
86,s,Spot,87,1000000078,144,
87,s,Spot,88,1000000115,145,
87,s,Spot,88,1000000078,146,
88,s,Spot,89,1000000115,147,
88,s,Spot,89,1000000078,148,
89,s,Spot,90,1000000115,149,
89,s,Spot,90,1000000078,150,
90,s,Spot,91,1000000115,151,
90,s,Spot,91,1000000078,152,
91,s,Spot,92,1000000115,153,
91,s,Spot,92,1000000078,154,
92,s,Spot,93,1000000115,155,
92,s,Spot,93,1000000078,156,
93,s,Spot,94,1000000115,157,
94,s,Spot,95,1000000115,158,
95,s,Spot,96,1000000115,159,
96,s,Spot,97,1000000115,160,
97,s,Spot,98,1000000115,161,
98,s,Spot,99,1000000115,162,
99,s,Spot,100,1000000115,163,
100,s,Spot,101,1000000115,164,
101,s,Spot,102,1000000115,165,
102,s,Spot,103,1000000115,166,
103,s,Spot,104,1000000115,167,
104,s,Spot,105,1000000115,168,
105,s,Spot,106,1000000115,169,
106,s,Spot,107,1000000115,170,
107,s,Spot,108,1000000115,171,
108,s,Spot,109,1000000115,172,
109,s,Spot,110,1000000115,173,
110,s,Spot,111,1000000115,174,
111,s,Spot,112,1000000115,175,
112,s,Spot,113,1000000115,176,
113,s,Spot,114,1000000115,177,
114,s,Spot,115,1000000115,178,
115,s,Spot,116,1000000115,179,
116,s,Spot,117,1000000115,180,
117,s,Spot,118,1000000115,181,
158,s,Spot,159,1000000182,182,
159,s,Spot,160,1000000182,183,
160,s,Spot,161,1000000182,184,
161,s,Spot,162,1000000182,185,
162,s,Spot,163,1000000182,186,
163,s,Spot,164,1000000182,187,
164,s,Spot,165,1000000182,188,
165,s,Spot,166,1000000182,189,
166,s,Spot,167,1000000182,190,
167,s,Spot,168,1000000182,191,
168,s,Spot,169,1000000182,192,
168,s,Spot,169,1000000193,193,
169,s,Spot,170,1000000182,194,
169,s,Spot,170,1000000193,195,
170,s,Spot,171,1000000182,196,
170,s,Spot,171,1000000193,197,
171,s,Spot,172,1000000182,198,
171,s,Spot,172,1000000193,199,
172,s,Spot,173,1000000182,200,
172,s,Spot,173,1000000193,201,
173,s,Spot,174,1000000182,202,
173,s,Spot,174,1000000193,203,
174,s,Spot,175,1000000182,204,
174,s,Spot,175,1000000193,205,
175,s,Spot,176,1000000182,206,
175,s,Spot,176,1000000193,207,
176,s,Spot,177,1000000182,208,
176,s,Spot,177,1000000193,209,
177,s,Spot,178,1000000182,210,
177,s,Spot,178,1000000193,211,
178,s,Spot,179,1000000182,212,
178,s,Spot,179,1000000193,213,
179,s,Spot,180,1000000182,214,
179,s,Spot,180,1000000193,215,
180,s,Spot,181,1000000182,216,
180,s,Spot,181,1000000193,217,
181,s,Spot,182,1000000193,218,
182,s,Spot,183,1000000193,219,
183,s,Spot,184,1000000193,220,
184,s,Spot,185,1000000193,221,
185,s,Spot,186,1000000193,222,
186,s,Spot,187,1000000193,223,
187,s,Spot,188,1000000193,224,
188,s,Spot,189,1000000193,225,
189,s,Spot,190,1000000193,226,
190,s,Spot,191,1000000193,227,
191,s,Spot,192,1000000193,228,
192,s,Spot,193,1000000193,229,
193,s,Spot,194,1000000193,230,
194,s,Spot,195,1000000193,231,
228,s,Spot,229,1000000232,232,
229,s,Spot,230,1000000232,233,
230,s,Spot,231,1000000232,234,
231,s,Spot,232,1000000232,235,
232,s,Spot,233,1000000232,236,
233,s,Spot,234,1000000232,237,
234,s,Spot,235,1000000232,238,
235,s,Spot,236,1000000232,239,
236,s,Spot,237,1000000232,240,
237,s,Spot,238,1000000232,241,
238,s,Spot,239,1000000232,242,
239,s,Spot,240,1000000232,243,
240,s,Spot,241,1000000232,244,
241,s,Spot,242,1000000232,245,
242,s,Spot,243,1000000232,246,
243,s,Spot,244,1000000232,247,
244,s,Spot,245,1000000232,248,
245,s,Spot,246,1000000232,249,
246,s,Spot,247,1000000232,250,
255,s,Spot,256,1000000251,251,
256,s,Spot,257,1000000251,252,
257,s,Spot,258,1000000251,253,
258,s,Spot,259,1000000251,254,
259,s,Spot,260,1000000251,255,
260,s,Spot,261,1000000251,256,
261,s,Spot,262,1000000251,257,
262,s,Spot,263,1000000251,258,
263,s,Spot,264,1000000251,259,
264,s,Spot,265,1000000251,260,
265,s,Spot,266,1000000251,261,
266,s,Spot,267,1000000251,262,
302,s,Spot,303,1000000263,263,
303,s,Spot,304,1000000263,264,
304,s,Spot,305,1000000263,265,
305,s,Spot,306,1000000263,266,
306,s,Spot,307,1000000263,267,
307,s,Spot,308,1000000263,268,
308,s,Spot,309,1000000263,269,
309,s,Spot,310,1000000263,270,
310,s,Spot,311,1000000263,271,
311,s,Spot,312,1000000263,272,
