
Velocity Angle
 ==================== 
Velocity Angle X,Velocity Angle Y,Velocity Angle Z,Unit,Category,Collection,Time,TrackID,ID,
87.4454,10.9063,100.598,°,Spot,Velocity Angle,12,1000000051,51,
92.8328,9.37727,81.07,°,Spot,Velocity Angle,13,1000000051,53,
49.8109,75.0907,44.0082,°,Spot,Velocity Angle,14,1000000051,55,
61.0306,62.5381,41.9766,°,Spot,Velocity Angle,15,1000000051,57,
115.122,27.2791,80.0523,°,Spot,Velocity Angle,16,1000000051,59,
107.475,56.4356,141.016,°,Spot,Velocity Angle,17,1000000051,61,
31.1082,60.7708,99.7138,°,Spot,Velocity Angle,18,1000000051,63,
49.746,78.0541,42.7318,°,Spot,Velocity Angle,19,1000000051,64,
148.78,60.3395,98.8801,°,Spot,Velocity Angle,20,1000000051,65,
134.612,90.0027,44.6098,°,Spot,Velocity Angle,21,1000000051,66,
119.844,57.8578,46.7598,°,Spot,Velocity Angle,22,1000000051,67,
111.762,75.659,26.4787,°,Spot,Velocity Angle,23,1000000051,68,
57.8824,131.532,58.1965,°,Spot,Velocity Angle,24,1000000051,69,
67.131,124.221,136.88,°,Spot,Velocity Angle,25,1000000051,70,
73.7698,80.2781,160.942,°,Spot,Velocity Angle,26,1000000051,71,
44.8066,76.723,131.779,°,Spot,Velocity Angle,27,1000000051,72,
115.249,64.9638,36.9313,°,Spot,Velocity Angle,28,1000000051,73,
102.192,77.237,17.7957,°,Spot,Velocity Angle,29,1000000051,74,
67.4586,119.122,38.2806,°,Spot,Velocity Angle,30,1000000051,75,
39.3504,62.6967,64.0447,°,Spot,Velocity Angle,31,1000000051,76,
49.8097,63.5402,51.652,°,Spot,Velocity Angle,32,1000000051,77,
69.8174,110.721,29.6157,°,Spot,Velocity Angle,74,1000000078,78,
52.744,112.787,45.9452,°,Spot,Velocity Angle,75,1000000078,79,
90.0027,87.1349,177.138,°,Spot,Velocity Angle,76,1000000078,80,
30.2062,75.3504,115.782,°,Spot,Velocity Angle,76,1000000115,115,
67.4963,62.9311,143.516,°,Spot,Velocity Angle,77,1000000078,116,
36.8957,90.9895,126.881,°,Spot,Velocity Angle,77,1000000115,117,
45.6291,119.144,58.449,°,Spot,Velocity Angle,78,1000000078,118,
83.9165,161.455,72.548,°,Spot,Velocity Angle,78,1000000115,119,
73.8767,163.624,87.1957,°,Spot,Velocity Angle,79,1000000078,120,
105.395,124.388,38.6109,°,Spot,Velocity Angle,79,1000000115,121,
93.0647,175.207,93.6936,°,Spot,Velocity Angle,80,1000000078,122,
67.7022,131.284,49.5607,°,Spot,Velocity Angle,80,1000000115,123,
79.4455,168.086,84.5328,°,Spot,Velocity Angle,81,1000000078,124,
91.1539,174.513,95.3723,°,Spot,Velocity Angle,81,1000000115,125,
79.1815,153.792,113.57,°,Spot,Velocity Angle,82,1000000078,126,
97.4199,155.069,113.666,°,Spot,Velocity Angle,82,1000000115,127,
66.9655,89.3138,156.957,°,Spot,Velocity Angle,83,1000000078,128,
54.1495,140.967,103.395,°,Spot,Velocity Angle,83,1000000115,129,
93.3956,150.087,119.688,°,Spot,Velocity Angle,84,1000000078,130,
62.9188,143.125,113.019,°,Spot,Velocity Angle,84,1000000115,131,
77.1207,162.167,77.8747,°,Spot,Velocity Angle,85,1000000078,132,
67.7631,157.47,93.4583,°,Spot,Velocity Angle,85,1000000115,133,
49.8041,122.83,122.558,°,Spot,Velocity Angle,86,1000000115,141,
16.1883,105.683,93.9263,°,Spot,Velocity Angle,86,1000000078,142,
52.5202,99.8331,140.806,°,Spot,Velocity Angle,87,1000000115,143,
126.639,129.775,61.0251,°,Spot,Velocity Angle,87,1000000078,144,
97.2508,172.055,86.7543,°,Spot,Velocity Angle,88,1000000115,145,
110.05,130.945,47.6919,°,Spot,Velocity Angle,88,1000000078,146,
75.7332,163.161,98.7669,°,Spot,Velocity Angle,89,1000000115,147,
29.5095,88.9683,119.49,°,Spot,Velocity Angle,89,1000000078,148,
70.7844,158.158,80.0059,°,Spot,Velocity Angle,90,1000000115,149,
47.0482,87.6519,136.954,°,Spot,Velocity Angle,90,1000000078,150,
110.862,109.128,28.9384,°,Spot,Velocity Angle,91,1000000115,151,
24.4752,86.4694,114.188,°,Spot,Velocity Angle,91,1000000078,152,
100.407,130.505,42.3858,°,Spot,Velocity Angle,92,1000000115,153,
59.8209,145.378,74.6458,°,Spot,Velocity Angle,92,1000000078,154,
15.3234,103.212,82.3738,°,Spot,Velocity Angle,93,1000000115,155,
118.084,134.016,57.0626,°,Spot,Velocity Angle,93,1000000078,156,
68.2711,43.3484,54.6916,°,Spot,Velocity Angle,94,1000000115,157,
123.724,138.797,69.2271,°,Spot,Velocity Angle,95,1000000115,158,
144.216,125.56,86.4518,°,Spot,Velocity Angle,96,1000000115,159,
159.019,82.9408,109.66,°,Spot,Velocity Angle,97,1000000115,160,
69.8387,134.492,51.3494,°,Spot,Velocity Angle,98,1000000115,161,
70.3813,106.53,26.1101,°,Spot,Velocity Angle,99,1000000115,162,
49.0809,69.792,47.778,°,Spot,Velocity Angle,100,1000000115,163,
