
Position
 ==================== 
Position X,Position Y,Position Z,Unit,Category,Collection,Time,TrackID,ID,
16639.5,-2354.51,-3.00291,µm,Spot,Position,1,1000000055,55,
16664.1,-2395.04,1.20025,µm,Spot,Position,1,1000000057,57,
16774.7,-2472.17,4.34959,µm,Spot,Position,1,1000000063,63,
16683.1,-2436.6,6.00658,µm,Spot,Position,1,1000000065,65,
16569.9,-2337.06,20.7483,µm,Spot,Position,1,1000000083,83,
16757.6,-2430.99,32.0593,µm,Spot,Position,1,1000000093,93,
16760.1,-2411,36.4278,µm,Spot,Position,1,1000000121,121,
16639.2,-2354.43,-2.60181,µm,Spot,Position,2,1000000055,209,
16664.5,-2395.36,1.40452,µm,Spot,Position,2,1000000057,212,
16774.4,-2472.19,4.64704,µm,Spot,Position,2,1000000063,218,
16683,-2436.88,6.03195,µm,Spot,Position,2,1000000065,219,
16569.6,-2337.1,20.2744,µm,Spot,Position,2,1000000083,234,
16757.8,-2431.09,31.8317,µm,Spot,Position,2,1000000093,242,
16761.1,-2412.11,36.4278,µm,Spot,Position,2,1000000121,266,
16639.3,-2354.21,-2.10638,µm,Spot,Position,3,1000000055,344,
16664,-2395.14,1.77775,µm,Spot,Position,3,1000000057,348,
16774.2,-2472,4.95649,µm,Spot,Position,3,1000000063,352,
16682.4,-2436.82,6.51853,µm,Spot,Position,3,1000000065,353,
16569.6,-2337.2,20.2934,µm,Spot,Position,3,1000000083,373,
16758,-2431,32.6846,µm,Spot,Position,3,1000000093,382,
16761.1,-2412.16,36.4278,µm,Spot,Position,3,1000000121,405,
16639,-2353.99,-2.27932,µm,Spot,Position,4,1000000055,491,
16662,-2396.26,2.58565,µm,Spot,Position,4,1000000057,496,
16774.2,-2472.3,4.95932,µm,Spot,Position,4,1000000063,497,
16681.7,-2436.68,6.30451,µm,Spot,Position,4,1000000065,498,
16569.2,-2337.35,19.8867,µm,Spot,Position,4,1000000083,511,
16758.1,-2430.98,33.4005,µm,Spot,Position,4,1000000093,521,
16760.5,-2411.26,36.4278,µm,Spot,Position,4,1000000121,546,
16639.7,-2353.94,-2.1623,µm,Spot,Position,5,1000000055,624,
16662.6,-2395.06,2.109,µm,Spot,Position,5,1000000057,631,
16774.1,-2472.1,5.16575,µm,Spot,Position,5,1000000063,636,
16681.3,-2436.53,6.77119,µm,Spot,Position,5,1000000065,638,
16569.2,-2337.6,20.4009,µm,Spot,Position,5,1000000083,656,
16758,-2430.89,33.6848,µm,Spot,Position,5,1000000093,661,
16760.4,-2411.68,36.4278,µm,Spot,Position,5,1000000121,686,
16639,-2354.2,-2.23363,µm,Spot,Position,6,1000000055,760,
16662.6,-2395.2,2.21278,µm,Spot,Position,6,1000000057,769,
16774,-2472.14,5.32528,µm,Spot,Position,6,1000000063,774,
16681.1,-2435.79,6.82773,µm,Spot,Position,6,1000000065,777,
16568.8,-2337.59,21.3355,µm,Spot,Position,6,1000000083,792,
16758.1,-2430.92,33.2457,µm,Spot,Position,6,1000000093,798,
16760.5,-2411.78,36.4278,µm,Spot,Position,6,1000000121,823,
16638.8,-2354.22,-1.99411,µm,Spot,Position,7,1000000055,900,
16663.5,-2394.19,1.72434,µm,Spot,Position,7,1000000057,905,
16772.6,-2473.56,5.22268,µm,Spot,Position,7,1000000063,909,
16680.8,-2435.16,6.8695,µm,Spot,Position,7,1000000065,911,
16568.5,-2337.55,21.653,µm,Spot,Position,7,1000000083,934,
16758,-2430.64,32.6713,µm,Spot,Position,7,1000000093,943,
16760.4,-2412.25,36.4278,µm,Spot,Position,7,1000000121,968,
