
Detailed
 ==================== 
Position X,Position Y,Position Z,Unit,Category,Collection,Time,TrackID,ID,
21467.8,4099.57,-26.5127,um,Spot,Position,1,1000000000,0,
21460.6,4143.02,-16.1245,um,Spot,Position,1,1000000001,1,
21342,4101.22,-14.7951,um,Spot,Position,1,1000000002,2,
21488.8,4184.5,-13.7271,um,Spot,Position,1,1000000003,3,
21397.1,4107.26,-11.7224,um,Spot,Position,1,1000000004,4,
21424.2,4115.49,-11.4085,um,Spot,Position,1,1000000005,5,
21494.2,4208.78,-11.9928,um,Spot,Position,1,1000000006,6,
21457.1,4077.15,-5.7067,um,Spot,Position,1,1000000007,7,
21450.1,4048.49,-4.77082,um,Spot,Position,1,1000000008,8,
21474.9,4034.06,-2.12674,um,Spot,Position,1,1000000009,9,
21498.2,4235.23,-1.96916,um,Spot,Position,1,1000000010,10,
21324.9,4167.99,1.74567,um,Spot,Position,1,1000000011,11,
21448.7,4099.23,11.8099,um,Spot,Position,1,1000000012,12,
21460.4,4166.55,16.2842,um,Spot,Position,1,1000000013,13,
21344.3,4125.94,18.8302,um,Spot,Position,1,1000000014,14,
21304.9,4108.68,24.6195,um,Spot,Position,1,1000000015,15,
21393.1,4152.56,32.8783,um,Spot,Position,1,1000000016,16,
21456.3,4001.68,36.4278,um,Spot,Position,1,1000000017,17,
21484.1,4246.86,36.4278,um,Spot,Position,1,1000000018,18,
21508.2,4247.08,36.4278,um,Spot,Position,1,1000000019,19,
21382.9,4094.31,12.8755,um,Spot,Position,1,1000000020,20,
21380.3,4108.18,20.8722,um,Spot,Position,1,1000000021,21,
21464,4137.33,-0.792084,um,Spot,Position,1,1000000022,22,
21468.4,4099.72,-26.1976,um,Spot,Position,2,1000000000,23,
21462.6,4142.9,-15.6968,um,Spot,Position,2,1000000001,24,
21342.7,4101.27,-14.3913,um,Spot,Position,2,1000000002,25,
21489.4,4183.94,-13.75,um,Spot,Position,2,1000000003,26,
21398.1,4107.36,-11.4321,um,Spot,Position,2,1000000004,27,
21424.7,4115.82,-11.3426,um,Spot,Position,2,1000000005,28,
21495,4208.99,-11.5911,um,Spot,Position,2,1000000006,29,
21451.5,4047.77,-6.04352,um,Spot,Position,2,1000000008,30,
21458.5,4076.35,-3.52087,um,Spot,Position,2,1000000007,31,
21499,4235.05,-2.28706,um,Spot,Position,2,1000000010,32,
21475.1,4033.24,-1.1775,um,Spot,Position,2,1000000009,33,
21325.6,4167.78,1.01486,um,Spot,Position,2,1000000011,34,
21449.6,4099.15,11.7804,um,Spot,Position,2,1000000012,35,
21461.2,4166.73,16.6432,um,Spot,Position,2,1000000013,36,
21344.9,4125.66,19.138,um,Spot,Position,2,1000000014,37,
21305.6,4109.08,25.1548,um,Spot,Position,2,1000000015,38,
21393.9,4152.91,32.9131,um,Spot,Position,2,1000000016,39,
21456.2,4001.63,36.4278,um,Spot,Position,2,1000000017,40,
21484.4,4246.88,36.4278,um,Spot,Position,2,1000000018,41,
21508.4,4246.4,36.4278,um,Spot,Position,2,1000000019,42,
21380.7,4092.92,11.15,um,Spot,Position,2,1000000020,43,
21379.7,4108.58,20.8722,um,Spot,Position,2,1000000021,44,
21465.5,4136.89,-0.0154724,um,Spot,Position,2,1000000022,45,
21468.5,4099.62,-26.6846,um,Spot,Position,3,1000000000,46,
21463.1,4141.07,-15.7691,um,Spot,Position,3,1000000001,47,
21487.6,4183.98,-14.3657,um,Spot,Position,3,1000000003,48,
21398.9,4107.54,-11.6568,um,Spot,Position,3,1000000004,49,
21425.1,4115.55,-11.5341,um,Spot,Position,3,1000000005,50,
21495.3,4208.69,-11.2412,um,Spot,Position,3,1000000006,51,
21451.8,4047.48,-5.63457,um,Spot,Position,3,1000000008,52,
21472.2,4032.73,-2.02092,um,Spot,Position,3,1000000009,53,
21459.3,4075.16,-3.10856,um,Spot,Position,3,1000000007,54,
21499.3,4235.45,-2.84179,um,Spot,Position,3,1000000010,55,
21325.6,4167.73,0.59282,um,Spot,Position,3,1000000011,56,
21450.1,4099.27,10.4309,um,Spot,Position,3,1000000012,57,
21461.5,4166.57,16.9621,um,Spot,Position,3,1000000013,58,
21345,4125.32,19.2392,um,Spot,Position,3,1000000014,59,
21305.7,4109.07,25.0396,um,Spot,Position,3,1000000015,60,
21394.5,4152.79,33.5235,um,Spot,Position,3,1000000016,61,
21456.7,4001.99,36.4278,um,Spot,Position,3,1000000017,62,
21484.9,4246.6,36.4278,um,Spot,Position,3,1000000018,63,
21507.9,4246.3,36.4278,um,Spot,Position,3,1000000019,64,
21349.5,4101.04,-18.0167,um,Spot,Position,3,1000000002,65,
21381.4,4093.58,11.15,um,Spot,Position,3,1000000020,66,
21377.2,4108.49,22.8167,um,Spot,Position,3,1000000021,67,
21465.5,4136.9,-0.856995,um,Spot,Position,3,1000000022,68,
21468.6,4099.75,-26.604,um,Spot,Position,4,1000000000,69,
21344.4,4101.39,-16.0197,um,Spot,Position,4,1000000002,70,
21465.7,4141.67,-15.6683,um,Spot,Position,4,1000000001,71,
21485,4183.49,-14.2678,um,Spot,Position,4,1000000003,72,
21398.8,4107.68,-12.2381,um,Spot,Position,4,1000000004,73,
21425.8,4115.62,-12.056,um,Spot,Position,4,1000000005,74,
21495.5,4208.71,-10.9242,um,Spot,Position,4,1000000006,75,
21452.4,4048.04,-3.46631,um,Spot,Position,4,1000000008,76,
21473.1,4032.94,-1.58347,um,Spot,Position,4,1000000009,77,
21459.5,4074.62,-2.26734,um,Spot,Position,4,1000000007,78,
21499,4235.86,-2.90492,um,Spot,Position,4,1000000010,79,
21325.2,4168.2,1.93829,um,Spot,Position,4,1000000011,80,
21449.5,4098.85,11.0078,um,Spot,Position,4,1000000012,81,
21385.7,4095.94,14.8338,um,Spot,Position,4,1000000020,82,
21461.8,4166.74,17.4058,um,Spot,Position,4,1000000013,83,
21344.9,4124.51,19.659,um,Spot,Position,4,1000000014,84,
21306.2,4108.63,24.8921,um,Spot,Position,4,1000000015,85,
21394.4,4152.73,32.8572,um,Spot,Position,4,1000000016,86,
21457.4,4002.45,36.4278,um,Spot,Position,4,1000000017,87,
21484.7,4246.38,36.4278,um,Spot,Position,4,1000000018,88,
21509,4246.48,36.4278,um,Spot,Position,4,1000000019,89,
21379,4108.38,22.8167,um,Spot,Position,4,1000000021,90,
21466.6,4135.97,-0.796936,um,Spot,Position,4,1000000022,91,
21468.7,4099.46,-26.5932,um,Spot,Position,5,1000000000,92,
21343.3,4101.46,-15.5027,um,Spot,Position,5,1000000002,93,
21467.1,4140.24,-14.8808,um,Spot,Position,5,1000000001,94,
21479.7,4183.38,-14.4771,um,Spot,Position,5,1000000003,95,
21400.6,4107.68,-13.0934,um,Spot,Position,5,1000000004,96,
21426.1,4115.21,-11.9974,um,Spot,Position,5,1000000005,97,
21496,4208.33,-10.6861,um,Spot,Position,5,1000000006,98,
21473.8,4032.89,-1.96338,um,Spot,Position,5,1000000009,99,
21499,4235.68,-2.52168,um,Spot,Position,5,1000000010,100,
21454.8,4049.16,0.136762,um,Spot,Position,5,1000000008,101,
21460.1,4073.72,-1.46412,um,Spot,Position,5,1000000007,102,
21325.2,4168.16,2.09528,um,Spot,Position,5,1000000011,103,
21450.6,4099.42,11.2581,um,Spot,Position,5,1000000012,104,
21384.5,4096.03,14.3955,um,Spot,Position,5,1000000020,105,
21345,4124.44,19.8947,um,Spot,Position,5,1000000014,106,
21462.1,4166.88,18.0519,um,Spot,Position,5,1000000013,107,
21306.5,4108.73,24.9556,um,Spot,Position,5,1000000015,108,
21394,4153.08,33.6311,um,Spot,Position,5,1000000016,109,
